"hh_id","hh_cluster","hhweight","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","monthly_exp","monthly_exp_per_cap","country","dried","fresh","any_fish"
"1_546_6","1_546",69.32568359375,7101,12.5423902,-12.2191362,"rural",7,3,4,4200,600,"SEN","no","yes","yes"
"2_24_1","2_24",416.390502929688,7101,14.7384433,-17.4461247,"urban",2,2,0,6900,3450,"SEN","no","yes","yes"
"1_466_7","1_466",181.12873840332,7101,15.9910695,-13.6583389,"rural",11,6,5,10800,981.818181818182,"SEN","no","yes","yes"
"1_27_3","1_27",501.935974121094,7101,14.740425,-17.4519927,"urban",6,3,3,14000,2333.33333333333,"SEN","yes","yes","yes"
"2_80_2","2_80",603.549438476563,7101,14.7850293,-17.3832008,"urban",5,2,3,6900,1380,"SEN","yes","yes","yes"
"1_208_11","1_208",237.063842773438,7101,15.9996792,-16.4869715,"urban",10,8,2,2800,280,"SEN","no","yes","yes"
"2_113_2","2_113",140.95166015625,7101,12.57059729,-16.27179809,"urban",24,17,7,258200,10758.3333333333,"SEN","no","yes","yes"
"2_140_3","2_140",101.169662475586,7101,14.64786275,-16.21847826,"urban",8,2,6,26800,3350,"SEN","yes","yes","yes"
"2_158_1","2_158",605.516967773438,7101,14.85909621,-15.84484949,"rural",8,2,6,15750,1968.75,"SEN","yes","yes","yes"
"1_222_2","1_222",113.442848205566,7101,13.7720519,-13.7087932,"urban",6,2,4,2250,375,"SEN","yes","yes","yes"
"1_327_9","1_327",367.231323242188,7101,14.7777857,-16.9304995,"urban",15,8,7,59500,3966.66666666667,"SEN","yes","yes","yes"
"1_430_2","1_430",232.856536865234,7101,12.7939151,-14.8475167,"rural",10,4,6,850,85,"SEN","no","no","no"
"2_490_2","2_490",227.365707397461,7101,15.25906563,-14.46075766,"rural",11,4,7,15000,1363.63636363636,"SEN","yes","yes","yes"
"2_128_1","2_128",75.4125518798828,7101,14.70144199,-16.44991381,"urban",24,10,14,101900,4245.83333333333,"SEN","yes","yes","yes"
"1_129_6","1_129",481.601745605469,7101,14.8754314,-16.6127192,"rural",10,4,6,3800,380,"SEN","yes","yes","yes"
"2_10_2","2_10",271.430480957031,7101,14.71614683,-17.44776352,"urban",1,1,0,6300,6300,"SEN","no","no","no"
"2_229_1","2_229",169.099075317383,7101,13.76127674,-13.6628134,"urban",7,4,3,2900,414.285714285714,"SEN","yes","yes","yes"
"2_490_3","2_490",227.365707397461,7101,15.25906563,-14.46075766,"rural",10,6,4,7400,740,"SEN","yes","yes","yes"
"2_547_3","2_547",67.8463973999023,7101,12.63437535,-12.4154818,"rural",6,4,2,4950,825,"SEN","yes","no","yes"
"2_334_1","2_334",473.897705078125,7101,15.14172487,-16.89037868,"urban",11,7,4,7500,681.818181818182,"SEN","yes","yes","yes"
"1_321_3","1_321",251.954498291016,7101,14.8128249,-16.8753523,"rural",8,4,4,28500,3562.5,"SEN","yes","yes","yes"
"2_121_1","2_121",128.982574462891,7101,12.57488088,-16.26187584,"urban",11,5,6,8500,772.727272727273,"SEN","no","yes","yes"
