"hh_id","form2","lat","lon","country","distance_to_marine","distance_to_inland","proximity_to_water_km","proximity_to_city_mins"
"10001","dried",5.53545594433,7.53153560163,"NGA",91958.3464816966,162840.057552011,91.9583464816966,2
"10002","dried",5.53545594433,7.53153560163,"NGA",91958.3464816966,162840.057552011,91.9583464816966,2
"10003","dried",5.53545594433,7.53153560163,"NGA",91958.3464816966,162840.057552011,91.9583464816966,2
"100032","dried",6.11554285941,6.17661906842,"NGA",87281.5849607407,219530.985895289,87.2815849607407,15
"100033","dried",6.11554285941,6.17661906842,"NGA",87281.5849607407,219530.985895289,87.2815849607407,15
"100039","dried",6.11554285941,6.17661906842,"NGA",87281.5849607407,219530.985895289,87.2815849607407,15
"10004","dried",5.53545594433,7.53153560163,"NGA",91958.3464816966,162840.057552011,91.9583464816966,2
"100040","dried",6.11554285941,6.17661906842,"NGA",87281.5849607407,219530.985895289,87.2815849607407,15
"10005","dried",5.53545594433,7.53153560163,"NGA",91958.3464816966,162840.057552011,91.9583464816966,2
"10009","dried",5.46540908966,7.56949383789,"NGA",84147.7888319715,155062.623163331,84.1477888319715,0
"100111","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100113","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100117","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100118","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100119","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100120","dried",5.4978516061,5.82187907485,"NGA",20730.5730313636,205544.644979149,20.7305730313636,0
"100132","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"100133","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"100134","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"100135","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"100136","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"100138","dried",5.51610389484,5.70809600899,"NGA",8028.96978778085,193663.153267359,8.02896978778085,21
"10031","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10032","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10033","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10035","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10036","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10038","dried",5.14203254737,7.37471602851,"NGA",51698.1854224697,159011.30043907,51.6981854224697,0
"10051","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10053","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10055","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10057","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10058","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10059","dried",5.09037333332,7.36620770377,"NGA",46776.9776211139,158130.445056843,46.7769776211139,0
"10061","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10063","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10064","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10065","dried",5.11615185902,7.39632754995,"NGA",48142.9688179829,155813.763740029,48.1429688179829,0
"10067","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10068","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10070","dried",5.31524834074,7.4334346461,"NGA",68549.4963246258,160262.715319391,68.5494963246258,6
"10073","dried",5.91892832509,7.42249845731,"NGA",133207.273707556,198710.613200148,133.207273707556,7
"10074","dried",5.91892832509,7.42249845731,"NGA",133207.273707556,198710.613200148,133.207273707556,7
"10077","dried",5.91892832509,7.42249845731,"NGA",133207.273707556,198710.613200148,133.207273707556,7
"10080","dried",5.91892832509,7.42249845731,"NGA",133207.273707556,198710.613200148,133.207273707556,7
"10091","dried",5.38520298007,7.5278870437,"NGA",75215.4148902347,154513.585987993,75.2154148902347,6
"10092","dried",5.38520298007,7.5278870437,"NGA",75215.4148902347,154513.585987993,75.2154148902347,6
"10093","dried",5.28980449205,7.57803727898,"NGA",64605.6713501224,144579.358788536,64.6056713501224,3
"10094","dried",5.38520298007,7.5278870437,"NGA",75215.4148902347,154513.585987993,75.2154148902347,6
"10098","dried",5.38520298007,7.5278870437,"NGA",75215.4148902347,154513.585987993,75.2154148902347,6
"101011000043","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011000053","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011000107","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011000117","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011000150","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011000160","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011003077","dried",-9.507538,33.259649,"MWI",679938.379038865,74715.4183755633,74.7154183755633,133
"101011010011","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011010036","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011010052","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011010102","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011010110","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011010126","dried",-9.550397,33.291558,"MWI",677523.424510675,69721.8223984688,69.7218223984687,143
"101011020045","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020056","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020067","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020077","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020122","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020146","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020157","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
"101011020168","dried",-9.624898,33.254616,"MWI",683415.966270095,71398.6462910695,71.3986462910695,140
