"species","Selenium_mu","Zinc_mu","Protein_mu","Omega_3_mu","Calcium_mu","Iron_mu","Vitamin_A_mu"
"Limnothrissa miodon",51.9040179743051,2.80434623788792,18.0883806270517,0.505058375083797,309.782953216919,4.56667784714614,10.3863436559023
"Oreochromis aureus",66.9511992068804,2.01420171405298,17.2249542438012,0.427772708739768,28.0355402028401,1.72990362741051,5.68764115783944
"Rastrineobola argentea",32.2540731662761,2.78205100805265,18.0330557765405,0.586289327291686,836.853393284494,3.36595147654445,82.2175687988083
"Stolothrissa tanganicae",46.3658602753801,2.95508187611985,17.9109341804586,0.452024873376433,540.419989691496,4.12847126521981,25.1119356522842
"Engraulis encrasicolus",18.1913154692665,1.58879391285589,17.6177175157519,2.04572336594329,228.703728107397,1.80165994488699,16.3192558616969
"Sardina pilchardus",37.1016203199833,1.80486443678587,18.4316424563757,2.41048767143116,233.833517195304,4.07650158738709,14.5230285643521
"Sardinella aurita",57.8940135938649,1.06775333865257,19.9903390440651,1.09804551371502,142.578109416582,3.38845524893164,23.7134510863325
"Sardinella maderensis",49.6899942596707,1.19038573107778,19.7075695153944,1.11314875286596,146.557993909011,3.2653970843449,36.4575448280007
