Country (Name),ASFIS species (Name),FAO major fishing area (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S
Bulgaria,European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,19,,6,,15,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,848,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Bulgaria,European pilchard(=Sardine),"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,1215,,1862,,4417,,19869,,13848,,30105,,22124,,0,,24783,,8458,,0,,505,,0,,0,,0,,0,,0,,0,,0,,9225,,2062,,0,,0,,0,,0,,0,,48,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Bulgaria,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2604,,952,,3624,,165,,582,,212,,261,,199,,423,,0,,536,,0,,1289,,1458,,0,,0,,0,,0,,0,,0,,333,,17,,0,,0,,0,,0,,0,,0,,3216,,0,,665,,115,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...
Burundi,Lake Tanganyika sardine,Africa - Inland waters,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,124,,21,,81,,86,,159,,117,,61,,77,,189,,132,,299,,372,,268,I,313,I,18,I,15,I,15,I
Burundi,Lake Tanganyika sprat,Africa - Inland waters,Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8600,I,9422,,6141,,11510,,8346,,11650,,7264,,9731,,7410,,8833,,8027,,8320,,8639,,8330,I,8430,I,8466,I,8465,I,8635,I
Cameroon,Bonga shad,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",3700,,3700,,3700,,4000,,5000,,7000,,7000,,7000,,8000,,6000,,6000,,7000,,7000,,7200,,7200,,6500,,7000,,7500,,8500,,10000,,10000,I,10000,I,10000,I,10000,I,10000,I,15000,I,15000,I,15000,I,15000,I,18000,,18000,,18000,,18000,,18000,,18000,,18000,,18000,,18000,,18000,I,18000,,18000,I,17480,I,16000,,16000,,18600,I,24000,,24000,,23500,I,23000,I,23500,I,21609,,21645,,21782,,20226,,30800,I,41699,,41593,,41493,,46000,I,51000,I,55500,I,60000,I,64500,,69000,,73500,,78000,,82313,,89510,,95128,,100678,,95100,I,97960,I,100900,I
Cameroon,Madeiran sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,496,,527,,558,,520,I,540,I,555,I
Cameroon,Round sardinella,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,142,,151,,159,,150,I,160,I,165,I
Cameroon,Sardinellas nei,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",4000,,4000,,4000,,4000,,6000,,7400,,7300,,7400,,8000,,7000,,6000,,7400,,8000,,8000,,8000,,6500,,7000,,7500,,8500,,10000,,8420,,10000,I,10000,I,10000,I,10000,I,15000,I,15000,I,15000,I,15000,I,18000,,18000,,18027,,18058,,18033,,18065,,18047,,18000,,18000,,18000,I,18000,,18000,I,17490,I,16008,,16006,,18600,I,24002,,24002,,23500,I,23000,I,23500,I,21611,,21645,,22540,,21760,,11800,I,1805,,2103,,2103,,2100,I,2100,I,2200,I,2300,I,2400,,2500,,2600,,2700,,2808,,2329,,2475,,2619,,2470,I,2550,I,2625,I
China,European anchovy,"Atlantic, Eastern Central",Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,68,,1749,,0,...,0,...,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...
