"hh_id","hh_cluster","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","country","dried","any_fish"
"1_7_10","1_7",12774,NA,NA,"urban",1,1,0,"CIV","yes","yes"
"1_465_12","1_465",12774,7.4286478,-6.0544332,"urban",1,1,0,"CIV","no","no"
"2_764_8","2_764",12774,9.27313040010631,-2.99601196311414,"urban",7,5,2,"CIV","no","yes"
"1_433_2","1_433",12774,6.894237,-6.1525828,"urban",10,5,5,"CIV","no","yes"
"2_188_2","2_188",12774,7.67065610736609,-5.06994601339102,"urban",1,1,0,"CIV","yes","yes"
"2_500_10","2_500",12774,5.28172665741295,-2.90985999628901,"rural",5,3,2,"CIV","yes","yes"
"2_156_2","2_156",12774,9.52184644527733,-5.7341447006911,"rural",3,3,0,"CIV","yes","yes"
"2_28_11","2_28",12774,5.24957279674709,-3.94413798116148,"urban",6,3,3,"CIV","yes","yes"
"2_302_8","2_302",12774,6.77964173723012,-5.27232756838202,"urban",2,2,0,"CIV","yes","yes"
"2_364_1","2_364",12774,4.75101074203849,-6.93436123430729,"rural",4,2,2,"CIV","no","yes"
"1_479_8","1_479",12774,5.9610619,-3.1750028,"rural",7,4,3,"CIV","yes","yes"
"1_837_5","1_837",12774,NA,NA,"urban",3,2,1,"CIV","yes","yes"
"1_905_3","1_905",12774,8.2620933,-4.5789218,"rural",5,2,3,"CIV","yes","yes"
"2_326_10","2_326",12774,8.1724073,-2.7085735,"urban",3,2,1,"CIV","yes","yes"
"1_67_13","1_67",12774,5.3215066,-4.0983044,"urban",6,5,1,"CIV","yes","yes"
"1_829_9","1_829",12774,5.1831395,-5.7879432,"rural",4,2,2,"CIV","yes","yes"
"1_851_3","1_851",12774,5.1914181,-5.4502045,"rural",4,2,2,"CIV","no","yes"
"1_707_14","1_707",12774,10.4819479,-6.4142438,"urban",3,2,1,"CIV","no","yes"
"1_43_14","1_43",12774,NA,NA,"urban",4,2,2,"CIV","yes","yes"
"2_678_1","2_678",12774,7.8847278,-7.6710211,"rural",8,4,4,"CIV","no","yes"
"2_760_1","2_760",12774,8.39815559796989,-6.04577816091478,"rural",7,4,3,"CIV","no","yes"
"1_633_2","1_633",12774,6.4731107,-5.6088981,"rural",3,2,1,"CIV","yes","yes"
"1_23_10","1_23",12774,NA,NA,"urban",4,2,2,"CIV","yes","yes"
"2_170_7","2_170",12774,9.51213236432523,-5.48016272485256,"rural",5,2,3,"CIV","yes","yes"
"2_348_7","2_348",12774,7.4945868,-3.1240577,"rural",1,1,0,"CIV","yes","yes"
"1_449_13","1_449",12774,6.6561768,-5.6065357,"urban",3,2,1,"CIV","yes","yes"
"1_693_2","1_693",12774,9.5193321,-6.323351,"rural",7,6,1,"CIV","yes","yes"
"1_223_7","1_223",12774,7.02823641244322,-3.68337169289589,"rural",1,1,0,"CIV","yes","yes"
"2_338_4","2_338",12774,7.9608558,-3.8964524,"rural",6,2,4,"CIV","yes","yes"
"2_94_8","2_94",12774,6.86529938131571,-6.44629416055977,"urban",2,1,1,"CIV","no","no"
"1_421_6","1_421",12774,6.642281,-4.7070436,"urban",1,1,0,"CIV","yes","yes"
"2_120_11","2_120",12774,6.96979153901339,-6.89628610387444,"rural",8,6,2,"CIV","yes","yes"
"1_443_6","1_443",12774,6.7884726,-5.8717126,"rural",5,2,3,"CIV","no","yes"
"2_692_14","2_692",12774,9.51959108468145,-6.19108155369759,"urban",2,2,0,"CIV","no","no"
"2_472_1","2_472",12774,5.60844955500215,-3.33602394908667,"rural",1,1,0,"CIV","no","yes"
"1_1009_6","1_1009",12774,5.519211,-6.8357052,"rural",5,4,1,"CIV","yes","yes"
"2_634_9","2_634",12774,6.36197963263839,-5.71245753206313,"rural",2,2,0,"CIV","yes","yes"
"1_537_11","1_537",12774,6.1172197,-5.3009939,"rural",2,2,0,"CIV","yes","yes"
"2_238_4","2_238",12774,6.91202735994011,-3.24384002946317,"rural",5,2,3,"CIV","no","no"
"1_927_4","1_927",12774,9.1322774,-5.161851,"rural",1,1,0,"CIV","no","yes"
"1_1015_12","1_1015",12774,5.9123678,-6.4875393,"rural",8,3,5,"CIV","yes","yes"
"1_287_4","1_287",12774,6.96420449763536,-8.25034090317786,"rural",6,4,2,"CIV","yes","yes"
"2_90_13","2_90",12774,6.85817681718618,-6.43351217731833,"urban",2,2,0,"CIV","yes","yes"
"2_820_3","2_820",12774,5.06218168884516,-6.26137311570346,"rural",7,6,1,"CIV","yes","yes"
"1_411_3","1_411",12774,7.047686,-4.4114059,"rural",4,3,1,"CIV","no","yes"
"1_61_10","1_61",12774,5.4349714,-4.0180006,"urban",2,2,0,"CIV","yes","yes"
"2_510_10","2_510",12774,8.0475585674867,-6.59056196920574,"rural",3,3,0,"CIV","no","yes"
"1_889_7","1_889",12774,6.8902036,-7.5228813,"rural",2,2,0,"CIV","no","yes"
"1_393_12","1_393",12774,9.3208354,-7.6285974,"rural",6,2,4,"CIV","no","no"
"2_374_12","2_374",12774,4.7202303,-6.7375121,"rural",3,2,1,"CIV","no","yes"
"2_732_5","2_732",12774,6.55538714490831,-5.02935966476798,"urban",11,8,3,"CIV","yes","yes"
"1_543_14","1_543",12774,5.6679772,-5.5163171,"urban",6,5,1,"CIV","yes","yes"
"1_129_11","1_129",12774,7.2320462,-6.4766176,"rural",8,4,4,"CIV","yes","yes"
"1_647_13","1_647",12774,6.4288109,-7.4772718,"urban",2,2,0,"CIV","no","no"
"2_282_6","2_282",12774,6.70317468233407,-8.35979799740016,"rural",9,3,6,"CIV","yes","yes"
"2_422_1","2_422",12774,6.65440566837788,-4.70463970676064,"urban",10,4,6,"CIV","yes","yes"
"2_20_9","2_20",12774,5.43230138719082,-4.04569513164461,"urban",9,4,5,"CIV","yes","yes"
"1_229_3","1_229",12774,6.6446363,-3.382128,"rural",1,1,0,"CIV","no","yes"
"2_926_9","2_926",12774,9.06507857143879,-5.1657899748534,"urban",7,3,4,"CIV","no","yes"
"1_397_1","1_397",12774,9.495716,-7.5613702,"urban",23,11,12,"CIV","no","no"
"1_73_12","1_73",12774,NA,NA,"urban",6,2,4,"CIV","no","yes"
"1_963_6","1_963",12774,5.9099345,-4.0131192,"urban",2,1,1,"CIV","yes","yes"
"2_212_3","2_212",12774,7.6309272274375,-5.20525985397398,"rural",2,1,1,"CIV","no","yes"
"1_169_3","1_169",12774,9.9034651,-5.7290637,"rural",7,2,5,"CIV","no","yes"
"2_284_7","2_284",12774,6.98591358494014,-8.1578716635704,"rural",3,2,1,"CIV","yes","yes"
"1_991_10","1_991",12774,5.9932582,-6.9734545,"rural",11,4,7,"CIV","yes","yes"
"1_281_11","1_281",12774,6.7822874,-8.3111911,"urban",1,1,0,"CIV","no","yes"
"2_784_7","2_784",12774,9.56613218877465,-3.88686343096197,"rural",4,2,2,"CIV","no","yes"
"1_853_7","1_853",12774,5.2578502,-4.9920094,"urban",3,1,2,"CIV","yes","yes"
"2_328_2","2_328",12774,8.1053737,-3.0381198,"rural",3,3,0,"CIV","yes","yes"
"2_440_6","2_440",12774,6.92688667215407,-5.63740680925548,"rural",6,2,4,"CIV","no","yes"
"1_611_6","1_611",12774,6.2141215,-6.0207561,"rural",2,1,1,"CIV","yes","yes"
"2_836_14","2_836",12774,5.3350141,-4.3837141,"urban",7,5,2,"CIV","yes","yes"
"2_1062_1","2_1062",12774,6.65229057893157,-4.10183217376471,"rural",5,3,2,"CIV","no","yes"
"1_769_7","1_769",12774,8.8190839,-2.8938465,"rural",4,3,1,"CIV","no","yes"
"1_371_15","1_371",12774,NA,NA,"urban",6,3,3,"CIV","yes","yes"
"1_11_1","1_11",12774,5.3072385,-3.9749248,"urban",5,2,3,"CIV","no","yes"
"1_1075_7","1_1075",12774,6.7056591,-4.3450238,"rural",5,3,2,"CIV","yes","yes"
"1_1005_5","1_1005",12774,5.4438861,-6.6784382,"rural",2,1,1,"CIV","yes","yes"
"1_535_5","1_535",12774,5.69119126070291,-5.27622113004327,"rural",7,4,3,"CIV","yes","yes"
"1_933_11","1_933",12774,6.9763738,-3.8008332,"urban",2,2,0,"CIV","yes","yes"
"2_1074_12","2_1074",12774,6.63527644705027,-4.30243156850338,"urban",6,3,3,"CIV","yes","yes"
"2_696_13","2_696",12774,9.75886743050069,-6.46490282379091,"urban",7,3,4,"CIV","no","yes"
"1_381_1","1_381",12774,NA,NA,"rural",8,2,6,"CIV","yes","yes"
"2_1066_12","2_1066",12774,6.91028870176524,-4.05432522296906,"rural",4,3,1,"CIV","yes","yes"
"2_36_1","2_36",12774,5.36707450635731,-4.00816197507083,"urban",4,2,2,"CIV","no","yes"
"1_381_13","1_381",12774,NA,NA,"rural",3,2,1,"CIV","no","yes"
"2_928_5","2_928",12774,8.76689634751529,-5.6864245980978,"urban",4,2,2,"CIV","no","yes"
