"hh_id","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","country"
"2_136_3",12774,9.06572988722473,-5.76830741018057,"urban",9,3,6,"CIV"
"2_576_8",12774,6.01890556979924,-4.36798006296158,"rural",2,2,0,"CIV"
"2_402_8",12774,9.75443080533296,-7.67900113016367,"rural",3,2,1,"CIV"
"2_450_6",12774,6.6510152,-5.6056416,"urban",1,1,0,"CIV"
"1_395_1",12774,9.1024098,-7.3734498,"rural",4,2,2,"CIV"
"1_625_1",12774,6.1881646,-5.6444724,"rural",5,2,3,"CIV"
"1_981_3",12774,6.0771054,-3.6338477,"urban",4,2,2,"CIV"
"2_168_12",12774,9.98083854094148,-5.88509925641119,"rural",4,2,2,"CIV"
"2_1068_5",12774,6.751172,-4.1112748,"rural",4,3,1,"CIV"
"2_508_7",12774,8.81941793952137,-6.74517254345119,"rural",1,1,0,"CIV"
"1_1079_9",12774,6.4660868,-4.3597262,"urban",2,2,0,"CIV"
"2_552_11",12774,5.64848232083023,-5.60749347321689,"rural",3,2,1,"CIV"
"2_928_7",12774,8.76689634751529,-5.6864245980978,"urban",5,2,3,"CIV"
"1_15_3",12774, , ,"urban",3,2,1,"CIV"
"1_649_3",12774,6.6341482,-7.6026215,"rural",3,2,1,"CIV"
"1_505_5",12774,8.479734,-6.6046214,"urban",1,1,0,"CIV"
"1_741_9",12774,8.7621617,-6.2419833,"urban",10,3,7,"CIV"
"1_975_12",12774,5.4865211,-3.7418379,"rural",3,2,1,"CIV"
"1_159_3",12774,9.2886089,-6.2377935,"rural",2,1,1,"CIV"
"2_328_7",12774,8.1053737,-3.0381198,"rural",3,2,1,"CIV"
"1_829_11",12774,5.1831395,-5.7879432,"rural",5,2,3,"CIV"
"2_344_7",12774,7.9230338,-3.2042354,"rural",4,2,2,"CIV"
"1_499_14",12774,5.2950224,-2.7855585,"urban",1,1,0,"CIV"
"1_789_3",12774,9.9855379,-7.3867021,"rural",3,2,1,"CIV"
"1_129_13",12774,7.2320462,-6.4766176,"rural",7,2,5,"CIV"
"1_479_7",12774,5.9610619,-3.1750028,"rural",8,4,4,"CIV"
"1_855_6",12774,5.3545453,-4.8901789,"rural",2,2,0,"CIV"
"1_207_2",12774, , ,"rural",1,1,0,"CIV"
"1_363_1",12774,4.7471997,-7.1209962,"rural",5,2,3,"CIV"
"2_474_13",12774,5.40954879485071,-3.38085263036191,"rural",5,2,3,"CIV"
"1_923_3",12774,8.6606825,-5.2815366,"urban",2,2,0,"CIV"
"2_960_10",12774,5.91677618678659,-3.93767955712974,"rural",4,3,1,"CIV"
"1_785_4",12774,10.0211078,-7.1991626,"urban",3,2,1,"CIV"
"2_1012_1",12774,6.27631075680256,-6.56559253111482,"rural",6,4,2,"CIV"
"2_236_5",12774,7.14341813698411,-3.20404350757599,"urban",1,1,0,"CIV"
"2_812_4",12774,5.46469953842461,-5.58750280179083,"urban",3,1,2,"CIV"
"1_733_5",12774,6.557643,-5.0250241,"urban",3,3,0,"CIV"
"2_76_8",12774,5.35327160730958,-4.09552671946585,"urban",4,4,0,"CIV"
"1_53_5",12774, , ,"urban",4,4,0,"CIV"
"1_943_10",12774, , ,"urban",6,1,5,"CIV"
"2_200_1",12774,7.6941132824868,-5.01009956002235,"urban",8,4,4,"CIV"
"1_609_3",12774,6.1287602,-5.9567214,"urban",3,2,1,"CIV"
"2_134_13",12774,6.9529597973451,-6.79349195212126,"rural",4,2,2,"CIV"
"2_148_9",12774,9.46793840266764,-5.63844683580101,"urban",4,2,2,"CIV"
"2_558_7",12774,5.75521475169808,-5.86298720911145,"rural",2,1,1,"CIV"
"2_848_9",12774,5.3677531,-4.7919879,"rural",4,3,1,"CIV"
"2_474_11",12774,5.40954879485071,-3.38085263036191,"rural",2,2,0,"CIV"
"1_711_9",12774,7.2016987,-4.8331793,"rural",6,3,3,"CIV"
"2_594_2",12774,6.01425524801016,-4.82178702950478,"rural",6,2,4,"CIV"
"1_251_1",12774,7.7162043,-7.4171551,"rural",3,2,1,"CIV"
"2_158_12",12774,9.68139094300568,-5.50845617428422,"rural",3,3,0,"CIV"
"1_613_6",12774,6.0040401,-6.2926386,"urban",3,2,1,"CIV"
"1_1067_2",12774,6.8613873,-4.0786804,"rural",3,1,2,"CIV"
"2_110_3",12774,6.40424814540893,-6.14370150491595,"rural",1,1,0,"CIV"
"1_43_11",12774, , ,"urban",3,2,1,"CIV"
"1_233_10",12774,6.3247105,-3.4429135,"rural",3,2,1,"CIV"
"1_977_7",12774,5.671858,-3.7682647,"urban",4,2,2,"CIV"
