y4_hhid,hh_a06,hh_a13,y4_rural,domain,strataid,clusterid,wardtype,clustertype,y4_weights,occ,hh_a01_1,hh_a01_2,hh_a02_1,hh_a02_2,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,hh_a07_1,hh_a07_2,hh_a08,hh_a09,hh_a10,hh_a11,hh_a12_2,hh_a12_1,hh_a14,hh_a15,hh_a16,hh_a17_1,hh_a17_2,hh_a18,hh_a18_1,hh_a18_2,hh_a18_3,hh_a19,hh_a20,hh_a21,hh_a21_1,hh_a21_2,hh_a21_3,hh_a22,hh_a23,hh_a24,hh_a24_1,hh_a24_2,hh_a24_3,hh_a25,hh_a26,hh_a26_1,hh_a26_2,hh_a26_3,hh_a27
0012-003,12,3,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,12377.164,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,23,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0011-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,3,YES,**CONFIDENTIAL**,21,10,13,20278,9,JULY,2015,**CONFIDENTIAL**,1,20278,9,JULY,2015,**CONFIDENTIAL**,20,20281,12,JULY,2015,101,7022016,7,FEBRUARY,2016,YES
0013-001,13,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,25001.854,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,32,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0012-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,21,4,5,20279,10,JULY,2015,**CONFIDENTIAL**,1,20279,10,JULY,2015,**CONFIDENTIAL**,20,20280,11,JULY,2015,101,6022016,6,FEBRUARY,2016,YES
0014-001,14,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,24257.695,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,3,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0013-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,23,3,45,20278,9,JULY,2015,**CONFIDENTIAL**,1,20278,9,JULY,2015,**CONFIDENTIAL**,20,20279,10,JULY,2015,101,6022016,6,FEBRUARY,2016,YES
0015-001,15,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,12298.104,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,32,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0014-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,25,3,55,20278,9,JULY,2015,**CONFIDENTIAL**,1,20278,9,JULY,2015,**CONFIDENTIAL**,20,20281,12,JULY,2015,101,8022016,8,FEBRUARY,2016,YES
0016-001,16,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,12298.104,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,33,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0014-007,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,21,9,42,20279,10,JULY,2015,**CONFIDENTIAL**,1,20279,10,JULY,2015,**CONFIDENTIAL**,20,20280,11,JULY,2015,101,7022016,7,FEBRUARY,2016,YES
0017-001,17,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,4256.8672,1,MOROGORO,MOROGORO,1,KILOSA,271,**CONFIDENTIAL**,0,**CONFIDENTIAL**,14,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0015-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,71,9,3,20167,20,MARCH,2015,**CONFIDENTIAL**,7,20168,21,MARCH,2015,**CONFIDENTIAL**,70,20169,22,MARCH,2015,,,,,,YES
0017-002,17,2,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,8667.0713,1,MOROGORO,MOROGORO,1,MOROGORO MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0015-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,71,12,50,20170,23,MARCH,2015,**CONFIDENTIAL**,7,20170,23,MARCH,2015,**CONFIDENTIAL**,70,20170,23,MARCH,2015,,,,,,YES
0018-001,18,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,24874.637,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,32,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0016-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,23,3,56,20279,10,JULY,2015,**CONFIDENTIAL**,1,20279,10,JULY,2015,**CONFIDENTIAL**,20,20280,11,JULY,2015,101,7022016,7,FEBRUARY,2016,YES
0019-001,19,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,12437.318,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,33,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0017-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,20,20279,10,JULY,2015,**CONFIDENTIAL**,1,20279,10,JULY,2015,**CONFIDENTIAL**,20,20280,11,JULY,2015,101,7022016,7,FEBRUARY,2016,YES
0020-001,20,1,RURAL,MAINLAND RURAL,DODOMA - URBAN,1203003,,,25006.178,1,DODOMA,DODOMA,2,MPWAPWA,31,**CONFIDENTIAL**,0,**CONFIDENTIAL**,31,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0018-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,15,20278,9,JULY,2015,**CONFIDENTIAL**,1,20278,9,JULY,2015,**CONFIDENTIAL**,20,20278,9,JULY,2015,101,6022016,6,FEBRUARY,2016,YES
0021-001,21,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,10960.223,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,302,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0139-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,12,10,6,20077,20,DECEMBER,2014,**CONFIDENTIAL**,1,20083,26,DECEMBER,2014,**CONFIDENTIAL**,10,20084,27,DECEMBER,2014,103,29012016,29,JANUARY,2016,YES
0022-001,22,1,RURAL,MAINLAND RURAL,MOROGORO - RURAL,2224305,,,24363.791,1,ARUSHA,ARUSHA,2,MERU,83,**CONFIDENTIAL**,0,**CONFIDENTIAL**,34,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0140-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,15,4,52,20069,12,DECEMBER,2014,**CONFIDENTIAL**,1,20070,13,DECEMBER,2014,**CONFIDENTIAL**,10,20074,17,DECEMBER,2014,,,,,,YES
0023-001,23,1,RURAL,MAINLAND RURAL,MOROGORO - RURAL,2224305,,,12286.005,1,ARUSHA,ARUSHA,3,ARUSHA MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0141-007,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,14,1,59,20066,9,DECEMBER,2014,**CONFIDENTIAL**,1,20066,9,DECEMBER,2014,**CONFIDENTIAL**,10,20074,17,DECEMBER,2014,,,,,,YES
0024-001,24,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,10525.302,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,320,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0141-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,9,32,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20080,23,DECEMBER,2014,**CONFIDENTIAL**,10,20081,24,DECEMBER,2014,103,28012016,28,JANUARY,2016,YES
0025-001,25,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,5441.6494,1,ARUSHA,ARUSHA,2,MERU,123,**CONFIDENTIAL**,0,**CONFIDENTIAL**,321,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0142-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,12,2,8,20077,20,DECEMBER,2014,**CONFIDENTIAL**,1,20080,23,DECEMBER,2014,**CONFIDENTIAL**,10,20083,26,DECEMBER,2014,103,29012016,29,JANUARY,2016,YES
0026-001,26,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,3278.1621,1,ARUSHA,ARUSHA,2,MERU,123,**CONFIDENTIAL**,0,**CONFIDENTIAL**,321,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0142-003,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,14,6,12,20077,20,DECEMBER,2014,**CONFIDENTIAL**,1,20077,20,DECEMBER,2014,**CONFIDENTIAL**,10,20079,22,DECEMBER,2014,103,27012016,27,JANUARY,2016,YES
0027-001,27,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,19867.408,1,ARUSHA,ARUSHA,2,ARUSHA MJINI,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,21,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0143-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,15,11,29,20147,28,FEBRUARY,2015,**CONFIDENTIAL**,1,20147,28,FEBRUARY,2015,**CONFIDENTIAL**,10,20148,1,MARCH,2015,,,,,,YES
0028-001,28,1,URBAN,MAINLAND OTHER URBAN,MOROGORO - RURAL,2224305,,,10421.701,1,ARUSHA,ARUSHA,2,MERU,273,**CONFIDENTIAL**,0,**CONFIDENTIAL**,302,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0144-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,3,52,20078,21,DECEMBER,2014,**CONFIDENTIAL**,1,20080,23,DECEMBER,2014,**CONFIDENTIAL**,10,20081,24,DECEMBER,2014,103,28012016,28,JANUARY,2016,YES
