y4_hhid,hh_a06,hh_a13,y4_rural,domain,strataid,clusterid,wardtype,clustertype,y4_weights,occ,hh_a01_1,hh_a01_2,hh_a02_1,hh_a02_2,hh_a03_1,hh_a03_2,hh_a03_3a,hh_a03_3b,hh_a04_1,hh_a04_2,hh_a05,hh_a07_1,hh_a07_2,hh_a08,hh_a09,hh_a10,hh_a11,hh_a12_2,hh_a12_1,hh_a14,hh_a15,hh_a16,hh_a17_1,hh_a17_2,hh_a18,hh_a18_1,hh_a18_2,hh_a18_3,hh_a19,hh_a20,hh_a21,hh_a21_1,hh_a21_2,hh_a21_3,hh_a22,hh_a23,hh_a24,hh_a24_1,hh_a24_2,hh_a24_3,hh_a25,hh_a26,hh_a26_1,hh_a26_2,hh_a26_3,hh_a27
0197-001,197,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7109049,,,2594.8892,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,0,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0805-012,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,64,8,18,20020,24,OCTOBER,2014,**CONFIDENTIAL**,6,20023,27,OCTOBER,2014,**CONFIDENTIAL**,60,20025,29,OCTOBER,2014,104,29062015,29,JUNE,2015,YES
0198-001,198,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7109049,,,2682.4143,1,DAR ES SALAAM,DAR ES SALAAM,2,ILALA,213,**CONFIDENTIAL**,0,**CONFIDENTIAL**,33,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0805-013,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,3,52,20164,17,MARCH,2015,**CONFIDENTIAL**,1,20164,17,MARCH,2015,**CONFIDENTIAL**,10,20165,18,MARCH,2015,,,,,,YES
0199-001,199,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7109049,,,1187.0074,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,92,**CONFIDENTIAL**,0,**CONFIDENTIAL**,49,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0805-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,64,5,2,20013,17,OCTOBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20075,18,DECEMBER,2014,104,30062015,30,JUNE,2015,YES
0199-008,199,8,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7109049,,,574.1745,1,PWANI,PWANI,2,KIBAHA RURAL,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0805-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,8,YES,**CONFIDENTIAL**,64,8,30,20118,30,JANUARY,2015,**CONFIDENTIAL**,6,20121,2,FEBRUARY,2015,**CONFIDENTIAL**,60,20123,4,FEBRUARY,2015,104,1072015,1,JULY,2015,YES
0200-001,200,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,12144.009,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,112,**CONFIDENTIAL**,0,**CONFIDENTIAL**,67,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0838-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,65,5,0,20188,10,APRIL,2015,**CONFIDENTIAL**,6,20208,30,APRIL,2015,**CONFIDENTIAL**,60,20181,3,APRIL,2015,105,9022016,9,FEBRUARY,2016,YES
0201-001,201,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,7597.2827,1,DAR ES SALAAM,DAR ES SALAAM,2,ILALA,202,**CONFIDENTIAL**,0,**CONFIDENTIAL**,119,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0839-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,12,1,3,20164,17,MARCH,2015,**CONFIDENTIAL**,1,20164,17,MARCH,2015,**CONFIDENTIAL**,10,20165,18,MARCH,2015,,,,,,YES
0202-002,202,2,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,12247.874,1,DAR ES SALAAM,DAR ES SALAAM,3,TEMEKE,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0839-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,63,3,30,20479,26,JANUARY,2016,**CONFIDENTIAL**,4,20479,26,JANUARY,2016,**CONFIDENTIAL**,20,20479,26,JANUARY,2016,,,,,,YES
0203-001,203,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,7654.1045,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,112,**CONFIDENTIAL**,0,**CONFIDENTIAL**,55,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0840-005,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,64,5,38,20188,10,APRIL,2015,**CONFIDENTIAL**,6,20190,12,APRIL,2015,**CONFIDENTIAL**,60,20196,18,APRIL,2015,105,9022016,9,FEBRUARY,2016,YES
0204-001,204,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,5761.272,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,112,**CONFIDENTIAL**,0,**CONFIDENTIAL**,66,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0840-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,62,4,44,20188,10,APRIL,2015,**CONFIDENTIAL**,6,20190,12,APRIL,2015,**CONFIDENTIAL**,60,20196,18,APRIL,2015,105,8022016,8,FEBRUARY,2016,YES
0204-008,204,8,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,3028.2183,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0840-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,8,YES,**CONFIDENTIAL**,66,3,0,20189,11,APRIL,2015,**CONFIDENTIAL**,6,20195,17,APRIL,2015,**CONFIDENTIAL**,60,20196,18,APRIL,2015,105,9022016,9,FEBRUARY,2016,YES
0205-001,205,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7111066,,,6650.6646,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0841-001,ORIGINAL HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,12,3,22,20168,21,MARCH,2015,**CONFIDENTIAL**,1,20168,21,MARCH,2015,**CONFIDENTIAL**,10,20169,22,MARCH,2015,,,,,,YES
0208-001,208,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,4349.6982,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,360,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0875-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,62,4,6,20060,3,DECEMBER,2014,**CONFIDENTIAL**,6,20073,16,DECEMBER,2014,**CONFIDENTIAL**,60,20075,18,DECEMBER,2014,106,20062015,20,JUNE,2015,YES
0208-004,208,4,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7116357,,,442.42468,1,KAGERA,KAGERA,3,MULEBA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0875-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,4,YES,**CONFIDENTIAL**,72,8,2,20163,16,MARCH,2015,**CONFIDENTIAL**,7,20163,16,MARCH,2015,**CONFIDENTIAL**,70,20163,16,MARCH,2015,,,,,,YES
0208-005,208,5,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,4525.8228,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0875-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,5,YES,**CONFIDENTIAL**,62,8,56,20100,12,JANUARY,2015,**CONFIDENTIAL**,6,20110,22,JANUARY,2015,**CONFIDENTIAL**,60,20111,23,JANUARY,2015,106,23062015,23,JUNE,2015,YES
0209-001,209,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,16357.977,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,330,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0876-003,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,61,5,27,20061,4,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20068,11,DECEMBER,2014,106,20062015,20,JUNE,2015,YES
0210-001,210,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,2744.0747,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0877-005,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,12,7,46,20171,24,MARCH,2015,**CONFIDENTIAL**,1,20171,24,MARCH,2015,**CONFIDENTIAL**,10,20172,25,MARCH,2015,,,,,,YES
0210-002,210,2,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7116357,,,3736.7849,1,LINDI,LINDI,6,LINDI MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0877-005,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,65,12,45,20458,5,JANUARY,2016,,,20459,6,JANUARY,2016,**CONFIDENTIAL**,70,20465,12,JANUARY,2016,,,,,,YES
0211-001,211,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,2335.0549,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,304,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0877-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,64,3,30,20061,4,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20067,10,DECEMBER,2014,106,19062015,19,JUNE,2015,YES
0211-005,211,5,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,4997.791,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,304,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0877-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,5,YES,**CONFIDENTIAL**,64,5,9,20062,5,DECEMBER,2014,**CONFIDENTIAL**,6,20073,16,DECEMBER,2014,**CONFIDENTIAL**,60,20075,18,DECEMBER,2014,106,22062015,22,JUNE,2015,YES
0211-006,211,6,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,4997.791,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,304,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0877-001,SPLIT-OFF HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,6,YES,**CONFIDENTIAL**,64,4,7,20062,5,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20067,10,DECEMBER,2014,106,18062015,18,JUNE,2015,YES
0212-001,212,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,11033.985,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,357,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0878-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,64,3,37,20060,3,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20067,10,DECEMBER,2014,106,18062015,18,JUNE,2015,YES
0214-001,214,1,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7116357,,,610.07324,1,KAGERA,KAGERA,6,BUKOBA MJINI,72,**CONFIDENTIAL**,0,**CONFIDENTIAL**,1,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0880-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,74,7,35,20133,14,FEBRUARY,2015,**CONFIDENTIAL**,7,20133,14,FEBRUARY,2015,**CONFIDENTIAL**,70,20133,14,FEBRUARY,2015,,,,,,YES
0215-001,215,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,6830.1743,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,357,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0881-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,63,4,15,20030,3,NOVEMBER,2014,**CONFIDENTIAL**,6,20079,22,DECEMBER,2014,**CONFIDENTIAL**,60,20079,22,DECEMBER,2014,106,22062015,22,JUNE,2015,YES
0216-001,216,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,5362.2134,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,357,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0882-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,66,7,3,20060,3,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20067,10,DECEMBER,2014,106,19062015,19,JUNE,2015,YES
0216-006,216,6,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,2789.668,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,162,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0882-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,6,YES,**CONFIDENTIAL**,66,6,50,20064,7,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20067,10,DECEMBER,2014,106,18062015,18,JUNE,2015,YES
0217-001,217,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,13308.112,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,183,**CONFIDENTIAL**,0,**CONFIDENTIAL**,12,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0883-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,61,3,7,20062,5,DECEMBER,2014,**CONFIDENTIAL**,6,20067,10,DECEMBER,2014,**CONFIDENTIAL**,60,20068,11,DECEMBER,2014,106,18062015,18,JUNE,2015,YES
0217-002,217,2,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7116357,,,4322.1563,1,MOROGORO,MOROGORO,1,KILOSA,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0883-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,2,YES,**CONFIDENTIAL**,73,10,1,20169,22,MARCH,2015,**CONFIDENTIAL**,7,20170,23,MARCH,2015,**CONFIDENTIAL**,70,20170,23,MARCH,2015,,,,,,YES
0218-001,218,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7116357,,,16357.977,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,163,**CONFIDENTIAL**,0,**CONFIDENTIAL**,357,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0884-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,63,4,5,20061,4,DECEMBER,2014,**CONFIDENTIAL**,6,20092,4,JANUARY,2015,**CONFIDENTIAL**,60,20095,7,JANUARY,2015,106,23062015,23,JUNE,2015,YES
0219-001,219,1,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7121174,,,5754.3247,1,MOROGORO,MOROGORO,5,MOROGORO MJINI,32,**CONFIDENTIAL**,0,**CONFIDENTIAL**,9,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0929-001,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,71,4,23,20171,24,MARCH,2015,**CONFIDENTIAL**,7,20171,24,MARCH,2015,**CONFIDENTIAL**,70,20171,24,MARCH,2015,,,,,,YES
0219-005,219,5,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7121174,,,2999.646,1,MOROGORO,MOROGORO,5,MOROGORO MJINI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0929-001,SPLIT-OFF HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,5,YES,**CONFIDENTIAL**,70,11,50,20172,25,MARCH,2015,**CONFIDENTIAL**,7,20172,25,MARCH,2015,**CONFIDENTIAL**,70,20172,25,MARCH,2015,,,,,,YES
0220-001,220,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,5808.1196,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,74,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0930-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,65,4,0,20251,12,JUNE,2015,**CONFIDENTIAL**,6,20257,18,JUNE,2015,**CONFIDENTIAL**,60,20259,20,JUNE,2015,103,17122015,17,DECEMBER,2015,YES
0221-001,221,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,16607.361,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0931-001,ORIGINAL HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,66,3,56,20302,2,AUGUST,2015,**CONFIDENTIAL**,6,20307,7,AUGUST,2015,**CONFIDENTIAL**,60,20308,8,AUGUST,2015,103,18122015,18,DECEMBER,2015,YES
0222-001,222,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,3621.6755,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,107,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0932-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,63,4,23,20329,29,AUGUST,2015,**CONFIDENTIAL**,6,20331,31,AUGUST,2015,**CONFIDENTIAL**,60,20334,3,SEPTEMBER,2015,103,18122015,18,DECEMBER,2015,YES
0223-001,223,1,RURAL,MAINLAND RURAL,ARUSHA - RURAL,7121174,,,2790.1655,1,TANGA,TANGA,1,LUSHOTO (BUMBULI),111,**CONFIDENTIAL**,0,**CONFIDENTIAL**,62,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0933-003,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,11,12,21,20070,13,DECEMBER,2014,**CONFIDENTIAL**,1,20070,13,DECEMBER,2014,**CONFIDENTIAL**,10,20075,18,DECEMBER,2014,,,,,,YES
0224-001,224,1,URBAN,MAINLAND OTHER URBAN,ARUSHA - RURAL,7121174,,,3342.1748,1,MOROGORO,MOROGORO,1,KILOSA,63,**CONFIDENTIAL**,0,**CONFIDENTIAL**,307,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0933-004,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,74,8,55,20166,19,MARCH,2015,**CONFIDENTIAL**,7,20167,20,MARCH,2015,**CONFIDENTIAL**,70,20168,21,MARCH,2015,,,,,,YES
0225-001,225,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,6355.2383,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,22,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0933-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,66,5,38,20250,11,JUNE,2015,**CONFIDENTIAL**,6,20257,18,JUNE,2015,**CONFIDENTIAL**,60,20259,20,JUNE,2015,103,17122015,17,DECEMBER,2015,YES
0226-001,226,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,15073.286,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,174,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0934-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,63,4,10,20251,12,JUNE,2015,**CONFIDENTIAL**,6,20255,16,JUNE,2015,**CONFIDENTIAL**,60,20256,17,JUNE,2015,103,17122015,17,DECEMBER,2015,YES
0227-001,227,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,3117.9258,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,,**CONFIDENTIAL**,,**CONFIDENTIAL**,,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0936-005,ORIGINAL HOUSEHOLD,LOCAL TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,11,1,30,20169,22,MARCH,2015,**CONFIDENTIAL**,1,20169,22,MARCH,2015,**CONFIDENTIAL**,10,20170,23,MARCH,2015,,,,,,YES
0228-001,228,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,1518.7643,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,212,**CONFIDENTIAL**,0,**CONFIDENTIAL**,22,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0936-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,62,4,2,20251,12,JUNE,2015,**CONFIDENTIAL**,6,20255,16,JUNE,2015,**CONFIDENTIAL**,60,20256,17,JUNE,2015,103,17122015,17,DECEMBER,2015,YES
0229-001,229,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7121174,,,6054.4155,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,12,**CONFIDENTIAL**,0,**CONFIDENTIAL**,173,,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0937-001,ORIGINAL HOUSEHOLD,DISTANCE TRACKING,**CONFIDENTIAL**,1,YES,**CONFIDENTIAL**,63,3,30,20463,10,JANUARY,2016,**CONFIDENTIAL**,4,20463,10,JANUARY,2016,**CONFIDENTIAL**,20,20475,22,JANUARY,2016,,,,,,YES
0230-001,230,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7124001,,,4872.6138,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,242,**CONFIDENTIAL**,0,**CONFIDENTIAL**,1,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0981-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,66,5,28,20057,30,NOVEMBER,2014,**CONFIDENTIAL**,6,20122,3,FEBRUARY,2015,**CONFIDENTIAL**,60,20125,6,FEBRUARY,2015,101,27052015,27,MAY,2015,YES
0231-001,231,1,URBAN,DAR ES SALAAM,ARUSHA - RURAL,7124001,,,12619.329,1,DAR ES SALAAM,DAR ES SALAAM,1,KINONDONI,242,**CONFIDENTIAL**,0,**CONFIDENTIAL**,97,**CONFIDENTIAL**,**CONFIDENTIAL**,**CONFIDENTIAL**,YES,**CONFIDENTIAL**,0982-001,ORIGINAL HOUSEHOLD,IN SAME DWELLING,,,YES,**CONFIDENTIAL**,63,4,0,20053,26,NOVEMBER,2014,**CONFIDENTIAL**,6,20058,1,DECEMBER,2014,**CONFIDENTIAL**,60,20059,2,DECEMBER,2014,101,26052015,26,MAY,2015,YES
