"occ","y4_hhid","hh_a06","hh_a13","y4_rural","domain","strataid","clusterid","wardtype","clustertype","y4_weights","hh_a01_1","hh_a01_2","hh_a02_1","hh_a02_2","hh_a03_1","hh_a03_2","hh_a03_3a","hh_a03_3b","hh_a04_1","hh_a04_2","hh_a05","hh_a07_1","hh_a07_2","hh_a08","hh_a09","hh_a10","hh_a11","hh_a12_2","hh_a12_1","hh_a14","hh_a15","hh_a16","hh_a17_1","hh_a17_2","hh_a18","hh_a18_1","hh_a18_2","hh_a18_3","hh_a19","hh_a20","hh_a21","hh_a21_1","hh_a21_2","hh_a21_3","hh_a22","hh_a23","hh_a24","hh_a24_1","hh_a24_2","hh_a24_3","hh_a25","hh_a26","hh_a26_1","hh_a26_2","hh_a26_3","hh_a27"
1,"1021-001",1021,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,2,53,20076,19,12,2014,"**CONFIDENTIAL**",1,20077,20,12,2014,"**CONFIDENTIAL**",10,20079,22,12,2014,106,12052015,12,5,2015,1
1,"1022-001",1022,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,3,50,20076,19,12,2014,"**CONFIDENTIAL**",1,20076,19,12,2014,"**CONFIDENTIAL**",10,20077,20,12,2014,106,11052015,11,5,2015,1
1,"1023-001",1023,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,8,9,20076,19,12,2014,"**CONFIDENTIAL**",1,20076,19,12,2014,"**CONFIDENTIAL**",10,20077,20,12,2014,106,11052015,11,5,2015,1
1,"1024-001",1024,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,5,13,20076,19,12,2014,"**CONFIDENTIAL**",1,20077,20,12,2014,"**CONFIDENTIAL**",10,20079,22,12,2014,106,12052015,12,5,2015,1
1,"1025-001",1025,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,9,15,20076,19,12,2014,"**CONFIDENTIAL**",1,20077,20,12,2014,"**CONFIDENTIAL**",10,20079,22,12,2014,106,11052015,11,5,2015,1
1,"1026-001",1026,1,,2,3,20210303304,3,2,5792.78125,2,"ARUSHA",2,"MERU",103,"**CONFIDENTIAL**",3,"USA RIVER",304,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",13,4,19,20076,19,12,2014,"**CONFIDENTIAL**",1,20077,20,12,2014,"**CONFIDENTIAL**",10,20079,22,12,2014,106,12052015,12,5,2015,1
1,"1038-001",1038,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,3,28,20025,29,10,2014,"**CONFIDENTIAL**",1,20026,30,10,2014,"**CONFIDENTIAL**",10,20027,31,10,2014,104,24032015,24,3,2015,1
1,"1039-001",1039,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,40,20025,29,10,2014,"**CONFIDENTIAL**",1,20026,30,10,2014,"**CONFIDENTIAL**",10,20026,30,10,2014,104,23032015,23,3,2015,1
1,"1040-001",1040,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,7,43,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20026,30,10,2014,104,25032015,25,3,2015,1
1,"1041-001",1041,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,18,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20026,30,10,2014,104,24032015,24,3,2015,1
1,"1042-001",1042,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,4,7,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20025,29,10,2014,104,23032015,23,3,2015,1
1,"1043-001",1043,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",13,10,17,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20026,30,10,2014,104,24032015,24,3,2015,1
1,"1044-001",1044,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,6,9,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20025,29,10,2014,104,23032015,23,3,2015,1
1,"1045-001",1045,1,,2,3,20318204003,2,2,5305.06005859375,2,"ARUSHA",3,"ARUSHA MJINI",182,"**CONFIDENTIAL**",4,"NGARAMTONI CHINI",3,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,4,7,20024,28,10,2014,"**CONFIDENTIAL**",1,20025,29,10,2014,"**CONFIDENTIAL**",10,20025,29,10,2014,104,22032014,22,3,2014,1
1,"1057-001",1057,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,2,29,20050,23,11,2014,"**CONFIDENTIAL**",1,20050,23,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,13052015,13,5,2015,1
1,"1058-001",1058,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",13,3,37,20050,23,11,2014,"**CONFIDENTIAL**",1,20051,24,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,14052015,14,5,2015,1
1,"1059-001",1059,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",11,7,46,20050,23,11,2014,"**CONFIDENTIAL**",1,20050,23,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,13052015,13,5,2015,1
1,"1060-001",1060,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,7,4,20050,23,11,2014,"**CONFIDENTIAL**",1,20051,24,11,2014,"**CONFIDENTIAL**",10,20053,26,11,2014,104,14052015,14,5,2015,1
1,"1061-001",1061,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,2,44,20050,23,11,2014,"**CONFIDENTIAL**",1,20050,23,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,13052015,13,5,2015,1
1,"1062-001",1062,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",15,2,43,20050,23,11,2014,"**CONFIDENTIAL**",1,20051,24,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,14052015,14,5,2015,1
1,"1063-001",1063,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,2,31,20050,23,11,2014,"**CONFIDENTIAL**",1,20051,24,11,2014,"**CONFIDENTIAL**",10,20052,25,11,2014,104,14052015,14,5,2015,1
1,"1064-001",1064,1,,3,4,20406105001,1,1,2855.916015625,2,"ARUSHA",4,"KARATU",61,"**CONFIDENTIAL**",5,"MATALA",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",10,2,35,20050,23,11,2014,"**CONFIDENTIAL**",1,20050,23,11,2014,"**CONFIDENTIAL**",10,20051,24,11,2014,104,12112015,12,11,2015,1
1,"1076-001",1076,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",13,4,19,20045,18,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20046,19,11,2014,102,4032015,4,3,2015,1
1,"1077-001",1077,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",12,4,12,20045,18,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20046,19,11,2014,102,2042014,2,4,2014,1
1,"1078-001",1078,1,,3,4,20601102004,1,1,3485.89770507813,2,"ARUSHA",6,"ARUSHA",11,"**CONFIDENTIAL**",2,"OLDONYOWAS",4,"**CONFIDENTIAL**","**CONFIDENTIAL**","**CONFIDENTIAL**",2,,,,,,,1,"**CONFIDENTIAL**",14,4,17,20045,18,11,2014,"**CONFIDENTIAL**",1,20046,19,11,2014,"**CONFIDENTIAL**",10,20046,19,11,2014,102,1042014,1,4,2014,1
