"vague","grappe","menage","s09cq01","s09cq02","s09cq03"
1,74,12,320,1,6500
1,74,12,307,1,1500
1,74,12,321,1,3000
1,74,12,318,1,2000
1,74,12,306,1,7000
1,74,12,310,1,1000
2,378,1,321,1,1000
2,378,1,306,1,750
1,85,9,306,1,200
1,85,9,317,1,300
2,521,1,320,1,1000
2,521,1,306,1,3000
2,521,1,321,1,2500
2,521,1,305,1,1500
2,521,1,318,1,2000
2,431,1,317,1,2000
2,431,1,306,1,2000
2,431,1,318,1,750
2,458,1,320,1,600
2,458,1,306,1,3500
2,187,1,306,1,2400
2,187,1,317,1,2400
1,477,10,316,1,8000
1,477,10,321,1,1500
1,477,10,317,1,2000
1,477,10,320,1,4500
1,477,10,306,1,15000
1,477,10,309,1,3000
1,477,10,305,1,750
1,529,4,318,1,700
1,529,4,306,1,500
1,529,4,307,1,1000
1,529,4,317,1,500
2,156,1,318,1,600
2,156,1,303,1,3000
2,156,1,321,1,2000
2,156,1,306,1,1500
1,224,9,305,1,1200
1,224,9,318,1,500
1,224,9,306,1,10000
2,245,1,317,1,600
2,245,1,318,1,2500
2,245,1,306,1,10000
1,355,4,318,1,500
1,355,4,322,1,100
1,355,4,306,1,2000
1,355,4,317,1,2000
1,355,4,321,1,3000
2,166,1,309,1,3000
2,166,1,320,1,1000
2,166,1,321,1,3500
2,166,1,306,1,11000
2,166,1,317,1,8000
2,166,1,322,1,700
2,166,1,303,1,4600
2,166,1,318,1,2500
2,166,1,319,1,1000
1,449,9,321,1,2000
1,449,9,306,1,2000
1,449,9,318,1,1400
1,449,9,308,1,29000
2,326,1,318,1,3000
2,326,1,306,1,6000
2,326,1,303,1,3100
1,440,12,318,1,500
1,440,12,316,1,2000
1,440,12,306,1,2500
1,440,12,307,1,600
1,440,12,320,1,500
1,440,12,317,1,1000
1,440,12,321,1,2500
1,440,12,305,1,500
1,355,8,316,1,1000
1,355,8,320,1,4000
1,355,8,318,1,500
1,355,8,310,1,1000
1,355,8,321,1,2500
1,355,8,305,1,1000
1,355,8,306,1,1800
1,550,7,306,1,2500
2,384,1,303,1,3000
2,384,1,320,1,4000
2,384,1,321,1,1000
2,384,1,306,1,3000
2,384,1,305,1,100
1,163,6,320,1,3200
1,163,6,306,1,5000
1,163,6,303,1,3500
1,163,6,316,1,2000
1,163,6,321,1,5500
1,491,12,318,1,2000
1,491,12,321,1,1200
1,491,12,306,1,2500
1,491,12,322,1,100
1,491,12,317,1,1500
2,124,1,306,1,600
2,124,1,317,1,500
1,9,10,318,1,1600
1,9,10,309,1,10000
1,9,10,320,1,8500
1,9,10,306,1,3200
1,9,10,307,1,1000
1,9,10,317,1,700
1,9,10,321,1,1000
1,9,10,316,1,1400
1,9,10,303,1,6400
1,451,1,317,1,500
1,451,1,321,1,1000
1,451,1,305,1,1000
1,451,1,306,1,2000
2,467,1,321,1,1000
2,467,1,305,1,500
2,467,1,306,1,3500
2,528,1,318,1,1700
2,528,1,309,1,10000
2,528,1,321,1,1000
2,528,1,317,1,5000
2,528,1,306,1,7000
2,504,1,306,1,2000
2,504,1,320,1,1000
2,504,1,321,1,500
1,191,6,306,1,6000
1,159,5,321,1,800
1,159,5,305,1,625
1,159,5,316,1,500
1,159,5,306,1,2300
1,453,8,305,1,800
1,453,8,317,1,1500
2,547,1,306,1,1800
1,329,8,317,1,1500
1,329,8,306,1,2400
1,329,8,303,1,11200
2,67,1,316,1,500
2,67,1,307,1,1000
