"vague","grappe","menage","s09bq01","s09bq02","s09bq03"
2,412,1,207,1,50
2,412,1,214,1,1000
2,412,1,203,1,2800
2,294,1,203,1,1400
2,294,1,207,1,100
2,294,1,205,1,800
2,172,1,201,1,1500
2,172,1,205,1,3500
2,172,1,207,1,75
2,172,1,206,1,200
2,172,1,217,1,250
1,518,5,212,1,2000
2,207,1,211,1,3150
2,207,1,203,1,1400
2,207,1,207,1,75
2,207,1,210,1,1000
2,136,1,207,1,25
2,136,1,215,1,875
2,382,2,203,1,1500
2,254,1,210,1,500
2,254,1,207,1,50
2,254,1,212,1,1000
2,254,1,203,1,1750
2,216,1,207,1,200
1,161,5,207,1,50
1,161,5,203,1,1750
1,112,11,211,1,600
1,112,11,204,1,400
1,112,11,203,1,2800
1,133,5,208,1,20000
1,133,5,204,1,600
1,133,5,207,1,25
1,133,5,203,1,600
1,133,5,210,1,1750
1,389,6,207,1,150
1,389,6,205,1,1000
1,389,6,204,1,1400
2,238,1,207,1,100
2,82,1,203,1,3500
2,82,1,211,1,2000
1,554,1,216,1,300
1,554,1,208,1,30000
1,554,1,210,1,1500
1,554,1,203,1,3500
1,554,1,209,1,3000
2,575,1,206,1,100
2,575,1,205,1,3500
2,575,1,207,1,75
2,575,1,212,1,3500
2,203,1,207,1,50
2,203,1,211,1,1400
2,203,1,203,1,3150
1,242,7,207,1,25
1,239,5,205,1,2000
1,239,5,209,1,2500
1,239,5,207,1,25
2,486,1,201,1,700
2,486,1,207,1,50
2,369,1,207,1,25
2,369,1,203,1,700
2,369,1,210,1,1000
2,306,1,207,1,100
2,306,1,203,1,3500
2,306,1,211,1,7000
1,565,10,207,1,50
1,565,10,204,1,1400
2,136,2,205,1,2100
2,136,2,207,1,100
2,136,2,210,1,600
2,136,2,212,1,300
2,417,1,207,1,25
2,417,1,204,1,1000
2,367,1,210,1,4200
2,424,1,207,1,100
2,424,1,209,1,14000
2,424,1,203,1,150
2,424,1,205,1,3500
2,422,1,212,1,500
2,422,1,204,1,1400
2,422,1,211,1,1800
2,422,1,207,1,50
2,280,1,205,1,1500
2,280,1,209,1,2000
1,499,10,207,1,25
1,499,10,212,1,1050
1,499,10,203,1,2625
1,152,12,204,1,1400
1,152,12,207,1,100
1,152,12,211,1,8800
1,83,1,211,1,3500
1,83,1,206,1,200
1,83,1,207,1,300
1,83,1,201,1,200
1,83,1,203,1,1400
1,83,1,205,1,100
1,83,1,217,1,200
1,402,3,217,1,150
1,402,3,204,1,1400
1,402,3,205,1,800
1,402,3,212,1,750
1,402,3,203,1,2000
1,402,3,207,1,25
1,479,5,207,1,25
1,479,5,204,1,1400
1,483,7,205,1,900
1,483,7,207,1,25
1,333,4,210,1,1000
2,417,2,203,1,1400
2,417,2,207,1,25
2,140,1,207,1,50
1,545,7,209,1,7000
1,545,7,206,1,200
1,545,7,205,1,1000
2,62,1,203,1,300
2,62,1,211,1,1000
2,62,1,207,1,25
2,62,1,209,1,5000
2,62,1,210,1,2000
1,19,7,211,1,2500
2,573,1,206,1,200
1,408,5,207,1,50
1,408,5,203,1,2500
1,578,11,209,1,3000
1,411,4,212,1,1500
1,411,4,214,1,200
1,411,4,203,1,1000
1,411,4,216,1,200
1,411,4,205,1,3500
1,411,4,210,1,2500
2,132,1,205,1,2000
