"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
498,2,14.09955965,-15.53904728,10.7200002670288,33,"2019-05-15T17:18:52"
371,2,15.62948014,-16.22627289,3.21600008010864,75,"2019-07-02T18:11:00"
56,2,14.74850211,-17.36794673,9.64800071716309,32,"2019-06-19T15:15:54"
24,2,14.7384433,-17.4461247,39.5999984741211,0,"2019-06-24T15:54:41"
369,2,15.61988723,-16.22988059,21.4400005340576,4,"2019-05-05T12:07:43"
223,2,13.76926609,-13.68231244,46.0960006713867,60,"2019-05-23T11:43:32"
579,2,13.05858917,-15.6428511,6.43200016021729,56,"2019-07-01T17:04:04"
523,2,14.08799438,-15.29022636,10.6189994812012,91,"2019-06-13T10:37:13"
240,2,13.6993529,-13.60542237,9.10199928283691,84,"2019-07-02T14:06:25"
361,2,15.4702873,-15.50516677,5.3600001335144,79,"2019-05-09T14:17:52"
219,2,14.84091483,-12.39866098,4.28800010681152,52,"2019-05-17T11:27:57"
187,2,16.3990684,-14.31904957,5.3600001335144,55,"2019-04-14T17:08:05"
534,2,12.56082537,-12.18271707,19.7209987640381,145,"2019-04-16T17:10:40"
420,2,14.53007902,-16.1418634,4.28800010681152,55,"2019-06-30T14:35:13"
115,2,12.55297183,-16.26922617,20.3680000305176,30,"2019-04-15T11:46:08"
280,2,13.749039,-15.53420993,15.0080003738403,18,"2019-04-20T16:05:42"
388,2,14.19277239,-16.6616965,3.21600008010864,43,"2019-05-11T09:56:53"
556,2,12.41166992,-12.41830906,8.57600021362305,153,"2019-05-01T10:10:34"
426,2,12.90890905,-14.93644324,24.6560001373291,58,"2019-04-17T10:13:30"
521,2,14.28012555,-14.92901856,6.06799983978271,65,"2019-05-29T10:21:43"
340,2,15.05323755,-16.29352563,3.21600008010864,62,"2019-06-16T17:23:39"
22,2,14.7492458,-17.4693982,26.5400009155273,60.1999969482422,"2019-06-23T12:03:25"
588,2,12.57256411,-15.87232298,7.50400018692017,37,"2019-06-16T17:10:17"
50,2,14.74270815,-17.41955227,36.4480018615723,97,"2019-07-06T12:33:42"
