"HHID","lat_mod","lon_mod","source","nogps","dist_y0","loc_type","urban","hh_status","y2_qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_uga","twi_uga","srtm_uga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","rf_regime","anntot_avg","wetQ_avg","wetQ_avgstart","anntot_2010","wetQ_2010","wetQstart_2010","wetQ2_avg","wetQ2_avgstart","wetQ2_2010","wetQ2start_2010","eviarea_avg","evimax_avg","grn_avg","sen_avg","eviarea_2010","evimax_2010","grn_2010","sen_2010","eviarea2_avg","evimax2_avg","grn2_avg","sen2_avg","eviarea2_2010","evimax2_2010","grn2_2010","sen2_2010"
"1021000312",0.303095519542694,32.5733451843262,2,,,"EA-based offset",1,1,1,1.8695,0.0807,0.0807,170.7068,0.0807,216,218,1281,181,447,0,190,324,7.38,1189,1198,8,2,2,1,1,1,1,1,"bimodal",1124,459,5,1200,635,5,329,25,247,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000313",0.303095519542694,32.5733451843262,2,,,"EA-based offset",1,1,1,2.0253,0.2232,0.2232,170.5776,0.2232,213,216,1293,180,448,0,190,324,9.33,1198,1204,8,2,2,1,1,1,1,1,"bimodal",1123,459,5,1199,634,5,329,25,247,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000401",0.345752984285355,32.5462989807129,2,,,"EA-based offset",1,1,1,0.036,4.0233,4.0233,171.7854,4.0233,216,218,1265,176,435,0,190,324,3.88,1173,1171,8,2,2,1,1,1,1,1,"bimodal",1150,466,6,1218,643,5,338,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000402",0.345752984285355,32.5462989807129,2,,,"EA-based offset",1,1,1,0.0683,4.0583,4.0583,171.8176,4.0583,216,218,1265,176,435,0,190,324,3.88,1173,1171,8,2,2,1,1,1,1,1,"bimodal",1150,466,6,1218,643,5,338,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000405",0.345752984285355,32.5462989807129,2,,,"EA-based offset",1,1,1,0.0558,3.9988,3.9988,171.8053,3.9988,216,218,1265,176,435,0,190,324,3.88,1173,1171,8,2,2,1,1,1,1,1,"bimodal",1150,466,6,1218,643,5,338,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"102100040502",0.345752984285355,32.5462989807129,2,,,"EA-based offset",1,1,61,1.2323,2.5357,5.9156,173.2548,8.3616,214,216,1253,168,422,12,140,324,10.83,1234,1226,13,2,2,1,1,1,1,1,"bimodal",1159,468,6,1225,646,5,342,26,252,24,49.38,0.54163,89.2,135.8,58.98,0.5468,77,139,42.861,0.54681,238.9,322.3,39.95,0.5292,233,324
"1021000408",0.345752984285355,32.5462989807129,2,,,"EA-based offset",1,1,61,0.0711,4.0344,4.0344,171.8205,4.0344,216,218,1265,176,435,0,190,324,3.88,1173,1171,8,2,2,1,1,1,1,1,"bimodal",1150,466,6,1218,643,5,338,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000503",0.378049045801163,32.5941276550293,2,,,"EA-based offset",1,1,61,0.2583,5.8982,5.8982,169.8555,5.8982,215,218,1271,175,434,6,140,324,9.66,1212,1217,8,2,2,1,1,1,1,1,"bimodal",1161,471,6,1223,645,5,341,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000504",0.378049045801163,32.5941276550293,2,,,"EA-based offset",1,1,1,0.1458,5.7432,5.7432,169.9768,5.7432,215,218,1271,175,434,8,140,324,9.66,1200,1206,8,2,2,1,1,1,1,1,"bimodal",1160,470,6,1222,645,5,341,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000506",0.378049045801163,32.5941276550293,2,,,"EA-based offset",1,1,61,0.1981,5.7134,5.7134,169.9266,5.7134,215,218,1271,175,434,8,140,324,9.66,1197,1204,8,2,2,1,1,1,1,1,"bimodal",1160,470,6,1222,645,5,341,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000604",0.371428996324539,32.5650596618652,2,,,"EA-based offset",1,1,1,0.7341,4.4388,5.961,171.3185,5.961,213,216,1263,170,427,2,140,324,8.08,1245,1240,8,2,2,1,1,1,1,1,"bimodal",1162,470,6,1224,646,5,342,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000607",0.371428996324539,32.5650596618652,2,,,"EA-based offset",1,1,1,0.8683,4.5855,5.9495,171.1718,5.9495,213,216,1263,170,427,2,140,324,8.08,1228,1223,8,2,2,1,1,1,1,1,"bimodal",1162,470,6,1224,646,5,342,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000608",,,,1,,,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1021000610",0.371428996324539,32.5650596618652,2,,,"EA-based offset",1,1,1,0.7552,4.445,5.9966,171.3139,5.9966,213,216,1263,170,427,2,140,324,8.08,1241,1235,8,2,2,1,1,1,1,1,"bimodal",1162,470,6,1225,646,5,342,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000612",0.371428996324539,32.5650596618652,2,,,"EA-based offset",1,1,1,0.8855,4.6069,5.9399,171.1501,5.9399,213,216,1263,170,427,2,140,324,8.08,1228,1223,8,2,2,1,1,1,1,1,"bimodal",1162,470,6,1224,646,5,342,26,253,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000701",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,1,2.1203,5.4432,5.4964,168.0673,5.4964,215,217,1284,178,440,33,30,324,5.52,1190,1195,8,2,2,1,1,1,1,1,"bimodal",1153,469,6,1215,642,5,338,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000702",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,1,2.6355,5.1639,5.3553,167.6451,5.3553,215,217,1284,178,440,20,140,324,5.52,1207,1204,8,2,2,1,1,1,1,1,"bimodal",1150,468,6,1212,641,5,337,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000703",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,1,1.6804,5.55,7.2258,168.3091,7.2258,215,217,1273,174,433,63,30,314,7.64,1228,1231,8,2,2,1,1,1,1,1,"bimodal",1168,474,6,1226,647,5,343,26,255,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000705",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,61,2.4845,5.1632,5.5236,167.7301,5.5236,215,217,1284,178,440,22,30,324,5.52,1213,1216,3,2,2,1,1,1,1,1,"bimodal",1152,469,6,1214,642,5,338,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000709",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,61,2.4598,5.2024,5.4817,167.7623,5.4817,215,217,1284,178,440,22,30,324,5.52,1213,1216,3,2,2,1,1,1,1,1,"bimodal",1151,469,6,1214,641,5,338,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000710",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,61,2.3678,5.3096,5.3096,167.8913,5.3096,215,217,1284,178,440,22,30,324,5.52,1207,1207,3,2,2,1,1,1,1,1,"bimodal",1151,469,6,1213,641,5,338,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000711",0.36514076590538,32.5970153808594,2,,,"EA-based offset",1,1,1,2.6564,5.1563,5.3476,167.6297,5.3476,215,217,1284,178,440,20,140,324,5.52,1207,1204,8,2,2,1,1,1,1,1,"bimodal",1149,468,6,1212,641,5,337,25,252,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000802",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,61,0.7641,3.713,3.713,169.9623,3.713,217,219,1274,178,439,0,140,314,7.54,1197,1197,8,2,2,1,1,1,1,1,"bimodal",1146,466,6,1213,641,5,336,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000805",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,1,0.7683,3.6567,3.6567,169.9702,3.6567,217,219,1274,178,439,0,140,314,7.54,1191,1190,8,2,2,1,1,1,1,1,"bimodal",1146,466,6,1213,641,5,336,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"102100080503",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,1,0.997,3.779,3.779,169.7231,3.779,217,219,1274,178,439,2,140,314,7.54,1214,1210,8,2,2,1,1,1,1,1,"bimodal",1146,466,6,1213,641,5,336,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000807",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,61,0.7749,3.6988,3.6988,169.9546,3.6988,217,219,1274,178,439,0,140,314,7.54,1191,1190,8,2,2,1,1,1,1,1,"bimodal",1146,466,6,1213,641,5,336,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000808",0.294149309396744,32.4947814941406,1,,13.1000003814697,"household-based offset",1,1,61,0.9816,10.0669,11.0743,181.6602,11.9641,215,218,1257,176,437,60,30,314,6.57,1199,1205,8,2,2,1,1,1,1,1,"bimodal",1150,465,5,1244,649,5,338,26,246,24,49.38,0.54163,89.2,135.8,58.98,0.5468,77,139,42.861,0.54681,238.9,322.3,39.95,0.5292,233,324
"102100080803",0.785026848316193,33.3249053955078,1,,96,"household-based offset",1,1,1,19.506,24.3753,24.3753,93.3434,24.3753,226,229,1249,187,453,60,30,314,4.7,1130,1133,8,2,2,1,1,1,1,1,"bimodal",1261,490,6,1175,539,5,388,24,311,24,66.536,0.53012,64.7,150.5,71.14,0.5155,50,153,49.14,0.51646,238,320.7,49.97,0.4955,235,313
"1021000809",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,61,1.1041,3.8543,3.8543,169.6052,3.8543,217,219,1274,178,439,2,140,314,7.54,1216,1214,8,2,2,1,1,1,1,1,"bimodal",1146,466,6,1213,641,5,336,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000810",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,1,0.72,3.7299,3.7299,170.0021,3.7299,217,219,1274,178,439,0,140,314,7.54,1197,1197,8,2,2,1,1,1,1,1,"bimodal",1147,466,6,1213,641,5,337,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000811",0.356909781694412,32.5883522033691,2,,,"EA-based offset",1,1,1,0.6742,3.8314,3.8314,170.0273,3.8314,217,219,1274,178,439,0,140,314,7.54,1194,1197,8,2,2,1,1,1,1,1,"bimodal",1147,466,6,1214,641,5,337,25,251,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000904",0.362534463405609,32.5747261047363,2,,,"EA-based offset",1,1,1,0.0447,2.9139,2.9139,171.1148,2.9139,217,219,1272,178,439,0,190,314,6.8,1173,1171,3,2,2,1,1,1,1,1,"bimodal",1143,465,5,1213,641,5,335,25,250,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000906",0.362534463405609,32.5747261047363,2,,,"EA-based offset",1,1,61,0.4982,3.0201,3.0201,171.791,3.0201,217,218,1267,177,437,0,190,314,7.45,1186,1196,8,2,2,1,1,1,1,1,"bimodal",1144,465,5,1214,642,5,336,25,250,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000909",0.362534463405609,32.5747261047363,2,,,"EA-based offset",1,1,1,0.0283,3.0278,3.0278,171.2013,3.0278,217,219,1272,178,439,0,190,314,6.8,1173,1173,3,2,2,1,1,1,1,1,"bimodal",1144,465,6,1213,641,5,336,25,250,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001003",0.345997929573059,32.5832252502441,2,,,"EA-based offset",1,1,1,0.1811,5.5335,6.4345,170.2617,6.4345,215,218,1264,172,429,2,140,324,6.94,1215,1203,8,2,2,1,1,1,1,1,"bimodal",1165,472,6,1225,647,5,343,26,254,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001004",0.345997929573059,32.5832252502441,2,,,"EA-based offset",1,1,1,0.2076,2.4013,2.4013,170.7557,2.4013,217,219,1272,178,439,0,190,314,6.8,1177,1186,8,2,2,1,1,1,1,1,"bimodal",1139,464,5,1210,640,5,334,25,249,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001007",0.345997929573059,32.5832252502441,2,,,"EA-based offset",1,1,1,0.5067,2.2919,2.2919,170.4851,2.2919,217,219,1272,178,439,0,190,314,6.8,1207,1210,8,2,2,1,1,1,1,1,"bimodal",1138,463,5,1209,639,5,334,25,249,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001011",0.345997929573059,32.5832252502441,2,,,"EA-based offset",1,1,1,0.2525,2.5782,2.5782,170.6595,2.5782,217,219,1272,178,439,0,190,314,6.8,1191,1195,8,2,2,1,1,1,1,1,"bimodal",1140,464,5,1210,640,5,334,25,250,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001102",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,61,2.2443,5.7789,5.7789,165.7617,5.7789,218,219,1314,189,464,50,14,314,4.38,1146,1151,3,3,2,2,1,1,1,2,"bimodal",1116,457,5,1186,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001105",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,61,2.1321,5.9949,5.9949,165.567,5.9949,216,218,1326,189,468,50,14,314,9.59,1143,1145,8,3,2,2,1,1,1,2,"bimodal",1117,457,5,1187,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001107",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,1,2.3058,5.7086,5.7086,165.8389,5.7086,218,219,1314,189,464,42,140,314,4.38,1150,1156,8,3,2,2,1,1,1,2,"bimodal",1115,457,5,1186,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001109",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,1,2.3165,5.7155,5.7155,165.8409,5.7155,218,219,1314,189,464,42,140,314,4.38,1150,1156,8,3,2,2,1,1,1,2,"bimodal",1115,457,5,1186,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"102100110901",0.2386794090271,32.6208229064941,1,,7.19999980926514,"household-based offset",1,1,1,6.6248,10.7568,10.7568,166.9773,10.7568,217,219,1378,203,506,37,30,314,5.36,1169,1161,8,7,7,7,7,7,7,7,"bimodal",1152,467,5,1190,601,5,332,26,240,28,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"102100110904",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,61,2.0187,6.1714,6.1714,165.3905,6.1714,216,218,1326,189,468,65,14,314,9.59,1138,1138,8,3,2,2,1,1,1,2,"bimodal",1119,458,5,1188,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001110",0.289272874593735,32.6159744262695,2,,,"EA-based offset",1,1,1,2.2811,5.7306,5.7306,165.8116,5.7306,218,219,1314,189,464,42,140,314,4.38,1150,1156,8,3,2,2,1,1,1,2,"bimodal",1115,457,5,1186,625,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001202",0.322076350450516,32.5258026123047,1,,8.60000038146973,"household-based offset",1,1,1,2.0132,4.3064,4.9271,175.4463,4.9271,216,219,1263,176,436,39,30,314,5.78,1184,1191,8,2,2,1,1,1,1,1,"bimodal",1144,464,5,1223,645,5,336,26,249,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001205",0.312796533107758,32.6114730834961,2,,,"EA-based offset",1,1,1,3.4726,3.9207,3.9207,167.9464,3.9207,215,217,1319,187,464,10,140,324,7.98,1189,1187,8,3,2,2,1,1,1,2,"bimodal",1097,453,5,1174,623,5,323,25,243,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001206",0.312796533107758,32.6114730834961,2,,,"EA-based offset",1,1,1,3.3947,3.8514,3.8514,168.0251,3.8514,215,217,1319,187,464,10,140,324,7.98,1184,1184,8,3,2,2,1,1,1,2,"bimodal",1097,453,5,1174,623,5,323,25,243,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001208",0.312796533107758,32.6114730834961,2,,,"EA-based offset",1,1,1,3.4408,3.8884,3.8884,167.9787,3.8884,215,217,1319,187,464,10,140,324,7.98,1189,1187,8,3,2,2,1,1,1,2,"bimodal",1097,453,5,1174,623,5,323,25,243,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001210",0.312796533107758,32.6114730834961,2,,,"EA-based offset",1,1,1,3.4048,3.8451,3.8451,168.0159,3.8451,215,217,1319,187,464,10,140,324,7.36,1184,1184,8,3,2,2,1,1,1,2,"bimodal",1097,453,5,1174,623,5,323,25,243,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001211",0.312796533107758,32.6114730834961,2,,,"EA-based offset",1,1,60,3.4068,3.8885,3.8885,168.0115,3.8885,215,217,1319,187,464,10,140,324,7.98,1184,1184,8,3,2,2,1,1,1,2,"bimodal",1097,453,5,1174,623,5,323,25,243,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021001301",0.303221106529236,32.6197471618652,2,,,"EA-based offset",1,1,61,3.0732,3.35,3.35,168.1319,3.35,217,219,1302,186,459,6,190,314,7.66,1177,1183,8,3,2,2,1,1,1,2,"bimodal",1101,454,5,1178,625,5,324,25,244,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
