"HHID","lat_mod","lon_mod","source","nogps","dist_y0","loc_type","urban","hh_status","y2_qa_type","dist_road","dist_popcenter","dist_market","dist_borderpost","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","fsrad3_agpct","fsrad3_lcmaj","ssa_aez09","afmnslp_pct","srtm_uga","twi_uga","srtm_uga_5_15","sq1","sq2","sq3","sq4","sq5","sq6","sq7","rf_regime","anntot_avg","wetQ_avg","wetQ_avgstart","anntot_2010","wetQ_2010","wetQstart_2010","wetQ2_avg","wetQ2_avgstart","wetQ2_2010","wetQ2start_2010","eviarea_avg","evimax_avg","grn_avg","sen_avg","eviarea_2010","evimax_2010","grn_2010","sen_2010","eviarea2_avg","evimax2_avg","grn2_avg","sen2_avg","eviarea2_2010","evimax2_2010","grn2_2010","sen2_2010"
"1013000201",-0.530627489089966,32.3274917602539,2,,,"EA-based offset",0,1,1,40.4345,65.5281,65.5281,110.3699,25.7498,217,219,2036,328,891,0,210,314,5.42,1134,1146,13,7,7,7,7,7,7,7,"bimodal",1524,594,6,1502,659,5,397,28,383,28,34.24,0.41825,93.6,124.8,48.37,0.4458,95,113,27.569,0.41367,243,304.4,35.84,0.4315,255,299
"1013000204",-0.530627489089966,32.3274917602539,2,,,"EA-based offset",0,1,1,40.4835,65.554,65.554,110.3275,25.8308,217,219,2036,328,891,0,210,314,5.42,1134,1150,13,7,7,7,7,7,7,7,"bimodal",1524,594,6,1502,658,5,397,28,383,28,34.24,0.41825,93.6,124.8,48.37,0.4458,95,113,27.569,0.41367,243,304.4,35.84,0.4315,255,299
"1013000206",0.289080739021301,32.5606498718262,1,,82,"household-based offset",1,1,1,0.8136,4.0912,4.0912,172.8479,4.0912,216,218,1299,187,462,22,140,314,4.89,1186,1188,8,2,2,1,1,1,1,1,"bimodal",1123,459,5,1199,631,5,328,25,242,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000102",0.33318766951561,32.5706558227539,2,,,"EA-based offset",1,1,1,1.1306,0.8804,0.8804,171.2686,0.8804,215,217,1279,179,443,0,190,324,9.1,1207,1198,8,2,2,1,1,1,1,1,"bimodal",1130,461,5,1205,637,5,331,25,248,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000108",0.33318766951561,32.5706558227539,2,,,"EA-based offset",1,1,1,1.0973,0.8722,0.8722,171.3049,0.8722,215,217,1279,179,443,0,190,324,9.1,1206,1200,8,2,2,1,1,1,1,1,"bimodal",1130,461,5,1205,637,5,331,25,248,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000109",0.33318766951561,32.5706558227539,2,,,"EA-based offset",1,1,1,1.1476,0.7923,0.7923,171.263,0.7923,215,217,1279,179,443,0,190,324,9.1,1200,1191,8,2,2,1,1,1,1,1,"bimodal",1129,461,5,1204,637,5,331,25,248,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000111",0.33318766951561,32.5706558227539,2,,,"EA-based offset",1,1,1,1.139,0.8115,0.8115,171.2687,0.8115,215,217,1279,179,443,0,190,324,9.1,1200,1191,8,2,2,1,1,1,1,1,"bimodal",1129,461,5,1204,637,5,331,25,248,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000113",0.33318766951561,32.5706558227539,2,,,"EA-based offset",1,1,1,1.1269,0.8459,0.8459,171.2763,0.8459,215,217,1279,179,443,0,190,324,9.1,1207,1198,8,2,2,1,1,1,1,1,"bimodal",1130,461,5,1205,637,5,331,25,248,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000201",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.4203,1.5445,1.5445,170.9093,1.5445,216,218,1292,184,455,2,190,314,6.9,1164,1168,8,2,2,1,1,1,1,1,"bimodal",1114,457,5,1194,632,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000202",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.4453,1.508,1.508,170.9488,1.508,216,218,1292,184,455,4,190,314,6.9,1161,1163,8,2,2,1,1,1,1,1,"bimodal",1114,457,5,1194,632,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000203",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.344,1.5936,1.5936,171.0832,1.5936,216,218,1292,184,455,4,190,314,6.9,1167,1175,8,2,2,1,1,1,1,1,"bimodal",1114,457,5,1194,632,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"102100020304",0.419838577508926,32.6081809997559,1,,12.6999998092651,"household-based offset",1,1,1,0.1846,6.4744,11.1196,167.5533,13.1363,216,219,1268,175,433,60,30,314,6.5,1192,1199,8,2,2,1,1,1,1,1,"bimodal",1183,476,6,1235,648,5,351,26,258,24,49.38,0.54163,89.2,135.8,58.98,0.5468,77,139,42.861,0.54681,238.9,322.3,39.95,0.5292,233,324
"1021000204",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.3611,1.5799,1.5799,171.1976,1.5799,216,218,1292,184,455,4,190,314,6.9,1168,1177,8,2,2,1,1,1,1,1,"bimodal",1115,457,5,1195,633,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000207",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,61,1.4802,1.6065,1.6065,171.6972,1.6065,213,215,1286,180,447,12,190,324,9.17,1176,1175,8,2,2,1,1,1,1,1,"bimodal",1118,458,5,1198,634,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000212",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.4074,1.5642,1.5642,170.8906,1.5642,216,218,1292,184,455,2,190,314,6.9,1164,1168,8,2,2,1,1,1,1,1,"bimodal",1114,457,5,1193,632,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
"1021000213",0.313044756650925,32.5691452026367,2,,,"EA-based offset",1,1,1,1.4433,1.5182,1.5182,170.9163,1.5182,216,218,1292,184,455,2,190,314,6.9,1161,1163,8,2,2,1,1,1,1,1,"bimodal",1114,457,5,1194,632,5,327,25,245,24,31.224,0.37743,105.8,118.2,24.58,0.3357,108,97,30.015,0.38049,246.7,304,24.16,0.3638,252,312
