"clusterid","wardtype","clustertype","lat_modified","lon_modified"
40513101003,1,1,-5.81652647131,38.6663036387
40613103001,1,1,-5.51735430698,38.472838632
40706103001,1,1,-5.71372407983,37.6352502392
40720105002,1,1,-5.8419265051,37.2570670872
50119302001,3,1,-7.51521967191,36.8511579143
50119303318,3,2,-7.4088293557,36.9879981253
50203101005,1,1,-7.19139028499,37.8775434587
50220103002,1,1,-6.96121829966,37.6789258734
50307305012,3,1,-8.1026184687,36.6699035135
50308303311,3,2,-8.14482490559,36.6845935093
50401101008,1,1,-8.20363604197,36.7126866565
50424102003,1,1,-8.54309098598,36.4731908651
50505210001,2,2,-6.80922232698,37.6722848168
50510202005,2,2,-6.77473060842,37.6446823338
50516203002,2,2,-6.79097822687,37.6921376366
50611101008,1,1,-7.16942060509,37.5763623273
50706303005,3,1,-6.06950640164,36.8800228307
50706304315,3,2,-6.148942317,36.8843874324
60101102012,1,1,-6.36615403961,38.5799257909
60105302305,3,2,-6.44765801782,38.8894743257
60115304001,3,1,-6.07236089715,38.244657789
60210305307,3,2,-6.71987720105,38.7565600595
60304104001,1,1,-7.19080881367,38.9276247999
60408101006,1,1,-7.29017409032,39.2105958185
60508301305,3,2,-7.72434862405,38.9431380073
60510102004,1,1,-7.64011607954,39.1654208906
60704202011,2,2,-6.74970443655,38.9424031456
70102201005,2,2,-6.81490523707,39.2321460433
70102206016,2,2,-6.80589492904,39.2281852492
70104202038,2,2,-6.79642083671,39.2467404792
70105203017,2,2,-6.78562096094,39.2680258682
70106204019,2,2,-6.76135615495,39.2548628065
70108204015,2,2,-6.80266305619,39.2559010258
70110201004,2,2,-6.80956793018,39.2285379781
70110205003,2,2,-6.80443005465,39.2436994404
70111204032,2,2,-6.78287176721,39.2216217328
70112203004,2,2,-6.76690481479,39.2161195997
70114201007,2,2,-6.7500837802,39.1652815047
70115202026,2,2,-6.73384534694,39.2237028759
70116202001,2,2,-6.6489233785,39.1704461596
70117202020,2,2,-6.57469212729,39.1393902648
70119201006,2,2,-6.80062129803,39.200925382
70120201023,2,2,-6.80179182151,39.2259355326
70121203018,2,2,-6.78454870405,39.2432013676
70122203015,2,2,-6.78320319031,39.2371001389
70123206009,2,2,-6.77524316978,39.2425440975
70124205037,2,2,-6.81749671795,39.1634744475
70126201021,2,2,-6.79861230502,39.1085943425
70126206053,2,2,-6.7715941634,39.1158431721
70128203007,2,2,-6.80597020765,39.1630061278
70128207036,2,2,-6.7802982892,39.1542959643
70129205050,2,2,-6.79126585361,39.0902665104
70130204030,2,2,-6.8121835911,39.112141073
70132203038,2,2,-6.75009997716,39.2062311372
70134203030,2,2,-6.65957446831,39.1789724696
70134206050,2,2,-6.68695542787,39.1770943039
70201203023,2,2,-6.89021011056,39.1909820305
70202206008,2,2,-6.86444735195,39.1243580365
70204203066,2,2,-6.83101929397,39.2262653573
70205202037,2,2,-6.86703976157,39.1541856532
70207202031,2,2,-6.82416356423,39.2689677155
70208203024,2,2,-6.82870678062,39.2233928551
70209201005,2,2,-6.85480649719,39.180871061
70209203039,2,2,-6.88777248832,39.1782947509
70210204001,2,2,-6.83419357169,39.2442852079
70214202014,2,2,-6.80911775133,39.2897474324
70219202045,2,2,-6.85367507661,39.233995109
70219204037,2,2,-6.86665200001,39.2276647176
70220205008,2,2,-6.82915315983,39.2195008525
70221202048,2,2,-6.90285937921,39.2138754831
70223201031,2,2,-6.89141349255,39.1806510277
70224201025,2,2,-6.86245458731,39.158926986
70225202012,2,2,-6.91267845796,39.150289474
70225206022,2,2,-6.95439287494,39.0837347527
70226204011,2,2,-6.82411489309,39.2167427481
70302202023,2,2,-6.85169960515,39.3107913622
70307201033,2,2,-6.88381951097,39.2723383699
70308201042,2,2,-6.93055897645,39.2377106622
70309201067,2,2,-6.88153775845,39.2125102148
70310201007,2,2,-6.9113766978,39.2511900009
70310205032,2,2,-6.93361349066,39.2652930732
70311211001,2,2,-6.94910084618,39.2788498674
70313201007,2,2,-6.84691781754,39.2706653851
70314202112,2,2,-6.87445121282,39.2746921453
70317204024,2,2,-6.88333197761,39.2760157008
70318202032,2,2,-6.87072485727,39.2584511389
70319206003,2,2,-6.84131113922,39.2573796896
70321202018,2,2,-6.89804424335,39.288483926
70321205089,2,2,-6.9081056572,39.2646862845
70323207002,2,2,-7.10263324737,39.5285200002
70326201027,2,2,-6.87863985823,39.2781544708
70327201007,2,2,-6.93363401287,39.2595041435
70327205043,2,2,-6.90406973466,39.2852229434
70328202108,2,2,-6.90320619048,39.246134241
70329201020,2,2,-6.89327579407,39.2627093461
70330201048,2,2,-6.87538424712,39.2502576768
80101103001,1,1,-8.54101818841,39.2423740129
80113102002,1,1,-9.60536197998,39.4828278652
80118302301,3,2,-8.75634557019,39.419454368
80203101009,1,1,-9.63154043645,39.713459666
80214103007,1,1,-10.2512625024,39.4254679808
80225102006,1,1,-9.87505551567,39.3000983626
80311103003,1,1,-10.3302615579,38.1864481399
80321103002,1,1,-10.2761020995,38.4596452985
80415101002,1,1,-9.85839905611,37.9849638913
80510101004,1,1,-10.131453704,38.944759845
80603201001,2,2,-10.0005826103,39.7050602332
90104105003,1,1,-10.5425273253,40.2787369628
90113104004,1,1,-10.386693784,39.729020686
90123101005,1,1,-10.2230680537,40.2248285482
90204104001,1,1,-10.9684589654,39.3676375135
90213105001,1,1,-10.736282966,39.1931575919
90223101002,1,1,-10.7911457904,39.1978301331
90303102004,1,1,-10.7460866093,38.6969870839
90308305008,3,1,-10.4618047362,39.0419611432
90308307315,3,2,-10.4946267337,39.0220595748
90315107002,1,1,-10.8793578858,39.0693554061
90403101002,1,1,-10.8011107637,39.863194918
90411101003,1,1,-10.8807744679,39.5071799401
90422101003,1,1,-10.4227344203,39.3714618417
90505205003,2,2,-10.2659447243,40.1756417019
90602103002,1,1,-10.9639918027,38.5300396029
90609102002,1,1,-10.8531666918,38.8352469326
90704302002,3,1,-10.6774330502,38.897796522
90705201002,2,2,-10.7450270458,38.800829594
100109103002,1,1,-11.0901302521,37.4814963678
100127102004,1,1,-11.0057748679,37.4874964775
100215102002,1,1,-10.3847756408,35.6326552784
100306301316,3,2,-10.94031286,35.0006249306
100319104001,1,1,-10.7213748211,35.1486434295
100407205006,2,2,-10.6797403629,35.6544304755
100420202003,2,2,-10.6878777247,35.6586785373
100503106002,1,1,-10.8809270808,36.1742900042
100604101005,1,1,-11.3493715591,34.8673122098
110108301006,3,1,-8.08496958585,35.4405558417
110118104003,1,1,-7.42580292763,35.842000222
110204103005,1,1,-8.63640567958,35.1140163085
110211305307,3,2,-8.51126236265,35.0576851304
110217301001,3,1,-8.56005112607,35.3195585534
110226105002,1,1,-8.5389757044,35.6097706469
110305210004,2,2,-7.80284079687,35.7176366798
110313211001,2,2,-7.74163359127,35.6530491305
110409105003,1,1,-8.11942834042,35.7171407268
110420104003,1,1,-7.51228164313,36.101559442
110502204005,2,2,-8.28937610763,35.2775702444
120121101003,1,1,-7.87168786297,32.490648763
120210101006,1,1,-8.9129278148,33.3459061708
120222302301,3,2,-8.93295895242,33.3530078031
120303102001,1,1,-9.48096545044,34.0423293564
120403101002,1,1,-9.22918254483,33.6631252592
120421102008,1,1,-9.24163468187,33.5230601669
120506102004,1,1,-9.31620000288,33.452820059
120605101005,1,1,-8.86904269803,32.7841887773
120612101014,1,1,-8.94170853685,32.9382649293
120704303001,3,1,-8.84852909132,34.0505701403
120718101001,1,1,-8.26352743329,34.7331999747
120720224001,2,2,-8.76818809992,34.3369635503
120825201005,2,2,-8.91983407497,33.4174762998
120912104004,1,1,-8.70889978539,32.262899485
130201103002,1,1,-4.50435017495,34.951514591
130301302318,3,2,-5.73389020009,34.8406423579
130304104001,1,1,-5.85240527228,35.0734459759
130330304001,3,1,-5.69285433445,34.4846810052
130413301309,3,2,-4.80845307625,34.7267628084
130518102005,1,1,-5.12520327351,34.4655765444
130612103005,1,1,-4.27458808555,34.6960064474
140105101004,1,1,-4.58570829093,33.3636225688
140115102012,1,1,-4.44718006703,33.2602408403
140123105002,1,1,-4.01570001334,33.0579110275
140132108005,1,1,-4.5799798339,32.6239935913
140201303350,3,2,-4.29001680541,33.8689636094
140205101006,1,1,-4.23717211925,33.5650641332
140216303007,3,1,-4.13590263175,33.3888768072
140223104003,1,1,-4.78569544241,33.7036267348
140305308001,3,1,-5.24133480818,32.7237781843
140313103006,1,1,-4.92225799217,32.9691554773
140321104001,1,1,-5.049547078,32.9848587777
140408102002,1,1,-5.10663520694,32.2962622127
140503102005,1,1,-5.88520773255,33.0100259989
140515101008,1,1,-5.34995851363,32.5890729178
140607205001,2,2,-4.99045616128,32.8209738485
140702104002,1,1,-5.25948370924,31.7237450993
140708102002,1,1,-4.8705932783,31.7266933708
140714103001,1,1,-4.44847286706,32.2399331993
150110105001,1,1,-8.88438565649,31.9598389899
150209106001,1,1,-8.18134254649,31.9886059865
150312301005,3,1,-7.40381822038,30.6762925418
150312301301,3,2,-7.36293150711,30.625976852
150405205005,2,2,-7.93476244069,31.6137746742
160107101005,1,1,-3.89225107208,30.6292285884
160201101006,1,1,-3.90458891992,30.3394404333
160209101010,1,1,-4.51287997048,30.6044611278
160301102011,1,1,-4.48045108121,29.6687274403
160310101008,1,1,-4.80935986272,29.6035629093
160406203005,2,2,-4.9144575188,29.7037579458
160418203020,2,2,-4.89393190766,29.637410106
160506101006,1,1,-5.07087319311,29.7887308035
160510302003,3,1,-5.07662114547,30.6765164263
160606102007,1,1,-4.2526601283,30.0730651778
160614104007,1,1,-4.48478069035,29.7689398624
160708102018,1,1,-3.4060013454,30.8919806818
160807102004,1,1,-4.58793628428,30.1257503687
160808205005,2,2,-4.59375211247,30.0876737778
170102102003,1,1,-3.61759874402,33.5421680476
170203305309,3,2,-3.55225260091,33.5450340413
170204108006,1,1,-3.31546514055,33.4501132517
170213102003,1,1,-3.8660887972,33.9944479028
170303103001,1,1,-3.72171141045,32.9923106156
170310106002,1,1,-3.55187069156,33.1285617086
170320104001,1,1,-3.71349461199,33.1380616313
170402303014,3,1,-3.31933929623,32.4080180332
170411101001,1,1,-3.47103953289,32.6563390606
170418103004,1,1,-4.22198963466,32.6798417124
170428102003,1,1,-3.85958798206,32.1597916546
170434302002,3,1,-4.17448512548,32.0867850568
170510302004,3,1,-3.88122290854,32.689967845
170514301305,3,2,-3.85067151631,32.6104579184
180102103015,1,1,-1.36819349062,31.1395079776
180106302306,3,2,-1.53929960404,31.1448183856
180112103001,1,1,-1.77382260309,31.1494534901
180119102003,1,1,-1.58103693856,30.9668685502
180205102011,1,1,-1.26161426721,31.8518329578
180216103006,1,1,-1.57239788769,31.5113803949
180226304004,3,1,-1.41756458729,31.4887542482
180308105003,1,1,-1.68020210285,31.7205073403
180319106001,1,1,-2.09640678526,31.3816755477
180326102004,1,1,-2.04100379733,31.5183586341
180334302009,3,1,-1.80250281755,31.5510915821
180342103002,1,1,-1.59545532093,31.6401471375
180407104004,1,1,-2.78889002588,31.4353955751
180414101003,1,1,-3.15804787919,31.3277360618
180505105012,1,1,-2.89870196537,30.7514215322
180511105004,1,1,-2.59884781302,30.5871120159
180520101027,1,1,-2.52109435436,30.7901566148
180605202006,2,2,-1.31533744762,31.8173536288
180709101002,1,1,-1.15384251705,31.7792941359
180801106007,1,1,-1.33469678343,30.6959461012
180809101009,1,1,-1.11682035242,30.9090296316
180815102005,1,1,-1.51687215588,30.8870482204
190103202002,2,2,-2.10275850891,33.072612939
190107101007,1,1,-2.1112887812,33.0395846508
190114102004,1,1,-1.99625747019,32.9286954932
190201301003,3,1,-2.56289630106,33.0343877208
190210102002,1,1,-2.65320306441,33.4369651743
190306202006,2,2,-2.50748938855,32.9021979777
190309210003,2,2,-2.56306314551,32.9728803812
190403104001,1,1,-2.77348190738,33.1916842141
190416104003,1,1,-3.20575461434,33.4337265847
190425214004,2,2,-2.96376293538,33.341335904
190429103004,1,1,-3.20869399946,33.333070805
190509104003,1,1,-2.82839136591,32.819702071
190517103006,1,1,-2.36019154965,32.2026977087
190523102008,1,1,-2.34041854753,32.4950967705
190602211007,2,2,-2.53265942614,32.9390530313
190606206006,2,2,-2.48042587788,32.9073832741
190701103002,1,1,-2.77532793075,33.0063719701
190714101006,1,1,-3.08442763264,32.9590940458
200112103013,1,1,-1.53315959985,34.5718691668
200201104006,1,1,-1.72689514944,34.2739266679
200222101001,1,1,-1.77940991099,34.4453660723
200310104009,1,1,-1.88648094021,33.7345018234
200401301304,3,2,-1.90388194134,34.0050395537
200412103003,1,1,-2.12053160611,33.533694212
200509204001,2,2,-1.50069385923,33.8096243771
200602102004,1,1,-1.29884337678,33.9918776729
200613103002,1,1,-1.18284412388,34.3257487062
200706102005,1,1,-1.81016321507,34.0882554207
200718103011,1,1,-1.6249622081,33.9257996788
210107101002,1,1,-4.33590455691,35.7036859851
210201101006,1,1,-4.70622925147,35.1988913374
210223102002,1,1,-4.57907423015,35.5247921276
210323102003,1,1,-3.98618964837,35.5675486132
210326202001,2,2,-3.85176766839,35.5426855472
210416101011,1,1,-3.57628418933,37.0078853237
210513104004,1,1,-5.51099531764,36.4568967639
210606304301,3,2,-4.20405757652,35.7561071254
220103201008,2,2,-9.3170774417,34.7485274997
220201106004,1,1,-8.73752521692,34.7647189986
220216104001,1,1,-9.1191788608,34.5322834693
220403104006,1,1,-9.05321499993,34.8479178596
220518103004,1,1,-10.1416470718,34.5873377147
220602201003,2,2,-8.8553293045,34.8159606388
230106201004,2,2,-6.34261733128,31.0582535932
230202109002,1,1,-6.12035439723,30.9417311814
230207104007,1,1,-6.72934439486,30.4156002424
230208301307,3,2,-6.82123040254,30.4229241043
230308102002,1,1,-6.72782001484,32.0340344634
230316101003,1,1,-7.09372627888,31.0665263845
230322101007,1,1,-7.24617782198,31.3858000113
240101101001,1,1,-2.49708682593,34.1864318633
240107302002,3,1,-2.75795155434,34.0387886943
240114102007,1,1,-2.62034814158,33.7742557869
240121104003,1,1,-2.44063748026,34.127938965
240125205007,2,2,-2.79748564151,33.9947499249
240208101007,1,1,-2.93119265725,34.4117978875
240215304006,3,1,-3.01235019361,33.9139392561
240302104002,1,1,-3.64255887552,34.2970410209
240312103002,1,1,-3.94621789082,34.3035960766
240323103001,1,1,-3.18041048511,34.3184095674
240408102004,1,1,-3.45213107162,34.0165335175
240416101002,1,1,-3.11190737778,33.7727699061
240424102006,1,1,-3.19969137202,33.5128522251
240506302006,3,1,-2.3739440167,33.6127490954
240506304313,3,2,-2.32954191481,33.6665598883
250101102016,1,1,-2.74385633744,32.0398351063
250108101016,1,1,-2.55594845787,32.1341453938
250121102008,1,1,-3.19047429803,32.3447586762
250128302003,3,1,-2.97836980262,31.94330477
250135212001,2,2,-2.88551486983,32.2190782971
250202101001,1,1,-3.01351765768,32.5372311043
250304101001,1,1,-3.28291447346,31.9444144203
250402101008,1,1,-3.3566220978,31.5733048802
250413304329,3,2,-3.47294997059,31.8754657018
250501303006,3,1,-2.36500176609,31.7722718956
250515302002,3,1,-2.94848853536,31.6204653639
510108102001,1,1,-5.8835482104,39.3222304098
510116203003,2,2,-5.72717085098,39.2976819744
510121104001,1,1,-5.90333456763,39.2521922498
510136102002,1,1,-5.85828003421,39.3388582179
510212101001,1,1,-5.94352988268,39.2911584895
510227101001,1,1,-5.93973910431,39.2275126277
510228303301,3,2,-5.98430256802,39.2566281078
520113101001,1,1,-6.05386569456,39.3334792169
520128102001,1,1,-6.21914925559,39.4014559782
520209101002,1,1,-6.44358713174,39.4664084602
530101305301,3,2,-6.16021160278,39.252350974
530102304303,3,2,-6.13182729551,39.218202888
530103304302,3,2,-6.09715294434,39.2213305483
530104104001,1,1,-6.06238419723,39.2209903774
530109303302,3,2,-6.13602041966,39.2370033606
530111103002,1,1,-6.110986127,39.2712201768
530116305305,3,2,-6.19563106402,39.2084288386
530122201005,2,2,-6.1694527887,39.2407582651
530122206001,2,2,-6.16911695716,39.2360439173
530123303303,3,2,-6.14844920328,39.2339841086
530124201003,2,2,-6.15838378072,39.2512977561
530124205009,2,2,-6.15709382381,39.2383915546
530125307303,3,2,-6.14005520352,39.218511409
530126303302,3,2,-6.11559720469,39.2198310482
530127305303,3,2,-6.20261355331,39.2623358893
530128301303,3,2,-6.18850954985,39.2221103455
530128304304,3,2,-6.19948807001,39.2290329538
530129202003,2,2,-6.13878043718,39.2255971316
530130301304,3,2,-6.15760352826,39.2480678861
530130302001,3,1,-6.17120201039,39.2757166698
530132303301,3,2,-6.11407728267,39.2255712823
530133307301,3,2,-6.08931208376,39.224328175
530134203001,2,2,-6.20654812232,39.2040287246
530135304302,3,2,-6.21502935567,39.2314310007
530136204001,2,2,-6.17860234735,39.2255883227
530137303301,3,2,-6.18817006466,39.2618347805
530137306305,3,2,-6.17027243439,39.2542125239
530138302301,3,2,-6.17909799075,39.2533442266
530207203003,2,1,-6.16259796994,39.2023469995
530213203002,2,1,-6.16285550838,39.2226978643
530218203001,2,1,-6.16868524162,39.198382013
530224202002,2,1,-6.17370225302,39.2086981533
530234203001,2,1,-6.18231090047,39.2053624824
530241204003,2,1,-6.14917973106,39.2021371856
540101202002,2,2,-5.06310023193,39.7219207393
540107101001,1,1,-5.17730291457,39.8028384266
540119201001,2,2,-5.07054022678,39.7318998897
540120101002,1,1,-5.13731167721,39.8018037215
540131203001,2,2,-5.06479698281,39.7574077463
540204101001,1,1,-4.95369696177,39.7495984388
540208307303,3,2,-4.9448468515,39.7455344786
540213105002,1,1,-4.97266093256,39.8661706399
540224102001,1,1,-4.93475120415,39.6840073391
550109102001,1,1,-5.27678967338,39.7520910563
550113203002,2,2,-5.23207525391,39.762066318
550125102005,1,1,-5.26004997367,39.8199001841
550126202001,2,2,-5.25848791785,39.7768427575
550211104001,1,1,-5.38054750824,39.7508013538
550213305302,3,2,-5.37543032813,39.7071877761
550227101002,1,1,-5.43420657831,39.7566674955
