"clusterid","wardtype","clustertype","lat_modified","lon_modified"
10112101001,1,1,-4.89647430765,35.633310147
10213104005,1,1,-6.65871537708,36.0826374592
10310104002,1,1,-6.29139745502,36.6808797635
10410102002,1,1,-6.15822805087,36.2086810441
10504205005,2,2,-6.15941968171,35.7367850389
10510101002,1,1,-5.8435526877,35.9631276652
10536203002,2,2,-6.1257671933,35.7343025005
10607103007,1,1,-5.95674033733,35.2538264144
10709102017,1,1,-5.01558522944,36.2511673412
20106102001,1,1,-3.49966978267,36.5316215396
20203304004,3,1,-3.3646767196,37.0461802548
20210303304,3,2,-3.37468934538,36.8331376997
20213102005,1,1,-3.37086282602,36.7972381276
20310207005,2,2,-3.39593512931,36.6873860512
20318204003,2,2,-3.35515776775,36.6077888251
20406105001,1,1,-3.91261559182,34.7587649295
20505101001,1,1,-2.27917524498,35.6971967069
20601102004,1,1,-3.18444835032,36.7138302081
20611102003,1,1,-3.25584629666,36.5996743676
20702102003,1,1,-3.06364447645,36.7432114236
30111102004,1,1,-3.19285996847,37.5941825636
30119301009,3,1,-2.98140299048,37.5401058691
30216302302,3,2,-3.66489051916,37.4491748102
30217102005,1,1,-3.88177844444,37.6596977578
30318103005,1,1,-4.35388260435,37.9753287534
30326201009,2,2,-4.07998822741,37.7707583915
30403102003,1,1,-3.31522262182,37.5300899478
30411103004,1,1,-3.30397593614,37.4566342022
30419106001,1,1,-3.26141616504,37.3314975545
30426103001,1,1,-3.33203734277,37.3306605029
30503103001,1,1,-3.22645247206,37.2136646832
30512103005,1,1,-3.39667807305,37.29576622
30602202009,2,2,-3.34754222437,37.3419511132
30611201003,2,2,-3.37301760301,37.3412474393
30619204004,2,2,-3.36347191768,37.3441139192
30711102008,1,1,-3.1999797957,36.9717920653
40105302005,3,1,-4.85992221196,38.3995556601
40119103003,1,1,-4.6272311175,38.2303796204
40133103003,1,1,-4.60976165083,38.3953895544
40205104003,1,1,-5.16200432816,38.5769619299
40220101001,1,1,-4.94259689235,38.205289783
40323104002,1,1,-4.95424962972,38.674338721
40403201002,2,2,-5.08785908928,39.0739557316
40502202005,2,2,-5.42358123836,38.9791911255
