"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
382,2,4.92039655800909,-7.49532521702349,6,85,"2019-04-14T17:59:27"
102,2,6.92059869412333,-6.52749954722822,5,273,"2019-05-14T09:35:24"
384,2,4.75197139196098,-7.5046566221863,6,93,"2019-04-27T07:32:17"
190,2,7.70514633972198,-5.04828499630094,4,401,"2019-05-04T18:16:57"
184,2,7.67734059132636,-5.01272485591471,11,367,"2019-05-06T08:48:14"
64,2,5.42540488298982,-4.00776802562177,10,124,"2019-05-12T16:50:35"
96,2,6.87688040547073,-6.44331355579197,6,289,"2019-04-16T17:04:55"
322,2,7.9458994,-3.0058603,38,312,"2019-05-04T19:05:38"
730,2,6.43183458130807,-4.81849579140544,5,150,"2019-04-28T13:36:37"
8,2,5.27788208797574,-3.99285930208862,4,26,"2019-05-10T15:24:53"
954,2,6.11302813980728,-3.85519458912313,18,143,"2019-05-12T14:02:40"
380,2,4.9259145,-7.4923644,14,66,"2019-04-12T14:24:08"
182,2,7.73384526371956,-5.26274126954377,6,325,"2019-04-28T15:55:10"
602,2,5.82988036796451,-5.98632163368165,8,232,"2019-05-17T20:29:42"
100,2,6.72662586439401,-6.24813918024302,4,283,"2019-05-03T17:40:58"
736,2,6.51226355228573,-4.8623432032764,3,162,"2019-05-02T07:42:45"
174,2,7.6690734,-5.5986098,18,255,"2019-05-10T07:25:27"
806,2,10.3175233304501,-7.40361822769046,6,401,"2019-05-16T08:50:49"
934,2,7.0508887,-3.8343908,20,197,"2019-04-28T11:13:31"
710,2,10.5330762080848,-6.57810419797897,37,418,"2019-04-28T08:15:02"
918,2,8.1276619,-5.1036026,19,334,"2019-05-16T20:45:11"
312,2,6.89418098889291,-5.29555541463196,14,279,"2019-05-17T15:33:50"
926,2,9.06507857143879,-5.1657899748534,6,427,"2019-04-26T15:54:26"
800,2,9.9950498,-7.8362303,16,439,"2019-05-06T16:02:55"
962,2,5.9470764733851,-3.83947307243943,4,91,"2019-05-15T10:57:27"
360,2,5.06472065113485,-6.46375617943704,42,117,"2019-05-09T20:45:15"
802,2,10.0724502,-7.6811791,22,419,"2019-05-09T08:28:20"
94,2,6.86529938131571,-6.44629416055977,16,275,"2019-04-14T10:08:40"
108,2,6.49801041930914,-6.58643882721663,7,262,"2019-05-11T11:31:33"
978,2,5.82622020039707,-3.61602963879704,6,106,"2019-05-09T19:11:31"
854,2,5.2860387,-4.9248648,14,81,"2019-05-15T16:00:30"
320,2,8.0389506,-2.7972019,23,382,"2019-04-28T13:02:08"
452,2,6.5891257,-6.121633,32,281,"2019-04-16T18:26:01"
328,2,8.1053737,-3.0381198,39,401,"2019-05-11T14:39:02"
846,2,5.5061704,-4.8588271,16,46,"2019-05-04T08:20:50"
340,2,8.1031109,-3.8818524,20,256,"2019-05-15T16:39:39"
922,2,9.25218616146594,-5.32468956895173,4,387,"2019-05-02T20:09:20"
804,2,10.2744806,-7.7426606,24,395,"2019-04-30T08:24:20"
844,2,5.3202876,-4.5675254,26,80,"2019-04-28T16:14:01"
350,2,5.1177658,-6.8731959,16,125,"2019-05-04T18:00:21"
362,2,4.70887135248631,-7.25915688090026,25,179,"2019-05-10T08:52:30"
848,2,5.3677531,-4.7919879,19,59,"2019-05-10T09:56:33"
996,2,5.7956353481859,-6.67969864793122,7,189,"2019-05-14T17:49:04"
704,2,10.3015856863931,-6.25035895965993,19,363,"2019-04-15T07:39:31"
1026,2,5.7332767,-6.6273942,16,179,"2019-04-26T08:50:11"
104,2,7.06048528198153,-6.71567277051508,40,261,"2019-05-19T08:31:50"
614,2,6.0004241,-6.2245279,16,257,"2019-05-17T12:56:50"
146,2,9.4868074497208,-5.65063110552728,3,420,"2019-05-15T10:00:15"
20,2,5.43230138719082,-4.04569513164461,23,133,"2019-05-06T10:32:08"
548,2,5.27968151494861,-5.34785991534591,24,43,"2019-04-26T17:35:55"
1068,2,6.751172,-4.1112748,15,176,"2019-05-01T16:28:49"
1066,2,6.91028870176524,-4.05432522296906,24,282,"2019-05-17T07:49:44"
290,2,6.92132607568055,-5.13411920517683,5,233,"2019-04-28T16:17:39"
262,2,7.2234391188249,-8.0212370865047,7,411,"2019-05-07T07:34:26"
136,2,9.06572988722473,-5.76830741018057,10,429,"2019-05-15T09:06:26"
260,2,7.45390876661986,-8.2069340441376,7,397,"2019-05-19T08:17:41"
776,2,9.68455360271037,-3.48332466557622,2,392,"2019-05-05T12:16:56"
478,2,5.6645416,-3.0787057,34,139,"2019-05-02T16:58:46"
774,2,9.75371545180678,-3.40413386933506,24,365,"2019-05-11T08:52:19"
924,2,8.62262191716582,-5.38512401282787,3,415,"2019-04-10T08:28:27"
86,2,7.13955164887011,-6.3156153447926,3,315,"2019-04-28T19:55:31"
894,2,7.67601423896849,-7.08381065167487,4,282,"2019-05-02T09:28:12"
172,2,9.63130592834204,-5.46898419968784,26,361,"2019-04-27T08:02:34"
958,2,6.22087393887341,-3.77024844288826,3,143,"2019-04-27T11:37:45"
700,2,10.1320125767961,-6.37619613669813,4,378,"2019-05-16T08:51:07"
234,2,7.12126267142594,-3.20113314315677,18,259,"2019-05-03T17:45:32"
814,2,5.24280361365527,-6.06983028352261,6,91,"2019-05-17T09:04:08"
144,2,9.46140521205962,-5.6452701240778,3,405,"2019-05-09T08:49:44"
162,2,9.27680955268443,-6.10198267735541,30,381,"2019-05-09T08:41:50"
596,2,6.46414220798761,-5.99866256117821,20,259,"2019-05-03T10:09:43"
550,2,5.25711676105857,-5.17558003775775,10,84,"2019-05-03T17:49:52"
480,2,6.1092181,-3.2082155,47,167,"2019-05-08T16:08:33"
672,2,8.0452707,-7.8988665,16,494,"2019-05-09T12:01:40"
626,2,6.47678588982671,-5.70336693897843,19,274,"2019-04-04T08:30:13"
966,2,6.28629289101809,-3.98016348481178,4,131,"2019-04-04T09:55:48"
828,2,5.47848470974714,-5.83806135691702,6,223,"2019-05-10T09:07:54"
892,2,7.47357434593141,-7.34811368398368,6,304,"2019-04-26T09:55:58"
528,2,5.83879401907325,-5.35145516507328,29,138,"2019-04-27T11:21:53"
836,2,5.3350141,-4.3837141,19,33,"2019-04-05T17:40:00"
396,2,9.50572381261736,-7.57804638706148,5,454,"2019-04-09T19:50:13"
622,2,6.42753407824785,-5.78291178680956,20,294,"2019-05-09T09:35:07"
476,2,5.35600180272013,-3.34797176532447,38,74,"2019-04-27T16:14:25"
274,2,7.4121585,-7.5915814,20,481,"2019-04-05T17:51:56"
398,2,9.5077879820019,-7.56874549202621,4,447,"2019-04-07T20:51:58"
722,2,7.1551655,-5.227307,25,197,"2019-05-14T09:16:06"
606,2,6.13527903333306,-5.97053993493319,5,254,"2019-05-05T16:38:08"
726,2,7.0121401,-4.8991235,29,204,"2019-04-04T18:35:01"
1028,2,5.9402609,-6.5992763,24,206,"2019-04-04T18:10:19"
194,2,7.72873821202666,-5.03608245402575,6,356,"2019-05-05T19:37:58"
432,2,6.99908008798957,-6.09386103227735,13,264,"2019-04-03T08:11:27"
264,2,7.09350889082998,-7.98818053677678,10,338,"2019-05-09T11:42:39"
564,2,5.94770561903715,-4.22405356541276,6,78,"2019-04-09T09:43:32"
44,2,5.387811,-3.986553,14,112,"2019-07-05T14:09:56"
192,2,7.71760511677712,-5.02201854251325,6,366,"2019-05-04T16:19:26"
790,2,9.7357601,-7.4823846,34,416,"2019-04-02T08:49:39"
448,2,6.7276298,-5.5055952,24,235,"2019-04-05T08:41:38"
720,2,7.0221854,-5.0465854,14,228,"2019-04-08T10:31:57"
604,2,6.1322681,-5.951189,29,209,"2019-04-04T16:28:50"
232,2,6.47951650433242,-3.34444499574602,38,177,"2019-04-28T16:14:07"
634,2,6.36197963263839,-5.71245753206313,20,313,"2019-04-10T09:08:51"
470,2,5.47075504437089,-3.18295313045382,47,60,"2019-04-04T09:47:07"
