"case_id","ea_id","dist_road","dist_agmrkt","dist_auction","dist_admarc","dist_border","dist_popcenter","dist_boma","ssa_aez09","twi_mwi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","af_bio_1_x","af_bio_8_x","af_bio_12_x","af_bio_13_x","af_bio_16_x","afmnslp_pct","srtm_1k","popdensity","cropshare","h2018_tot","h2018_wetQstart","h2018_wetQ","h2019_tot","h2019_wetQstart","h2019_wetQ","anntot_avg","wetQ_avgstart","wetQ_avg","h2018_ndvi_avg","h2018_ndvi_max","h2019_ndvi_avg","h2019_ndvi_max","ndvi_avg","ndvi_max","ea_lat_mod","ea_lon_mod"
"101011000014","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000023","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000040","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000071","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000095","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000115","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000126","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000135","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000183","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000190","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000199","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000229","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000253","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
"101011000254","10101100",3.59999990463257,4.09999990463257,213.199996948242,12.8000001907349,3.40000009536743,4.09999990463257,4.05473804473877,323,16,2,2,1,1,1,1,1,211,218,1096,219,652,3,1292,610,43,1191,17,834,1158,17,809,1007,17,743,0.187999993562698,0.437999993562698,0.135000005364418,0.238000005483627,0.24099999666214,0.439999997615814,-9.70057010650635,33.2391700744629
