"occ","y4_hhid","indidy4","ag01_01","ag01_02","ag01_03","ag01_04"
2,"1231-001",2,"**CONFIDENTIAL**",21,2,
1,"1233-001",1,"**CONFIDENTIAL**",53,1,"X"
2,"1233-001",2,"**CONFIDENTIAL**",42,2,
3,"1233-001",3,"**CONFIDENTIAL**",22,1,
4,"1233-001",4,"**CONFIDENTIAL**",19,2,
5,"1233-001",5,"**CONFIDENTIAL**",0,1,
6,"1233-001",6,"**CONFIDENTIAL**",20,1,
7,"1233-001",7,"**CONFIDENTIAL**",21,2,
8,"1233-001",8,"**CONFIDENTIAL**",26,2,
1,"1287-001",1,"**CONFIDENTIAL**",42,1,
2,"1287-001",2,"**CONFIDENTIAL**",26,2,"X"
3,"1287-001",3,"**CONFIDENTIAL**",2,1,
4,"1287-001",4,"**CONFIDENTIAL**",15,2,
1,"1305-001",1,"**CONFIDENTIAL**",60,1,"X"
2,"1305-001",2,"**CONFIDENTIAL**",53,2,
1,"1307-001",1,"**CONFIDENTIAL**",63,1,"X"
2,"1307-001",2,"**CONFIDENTIAL**",40,2,
3,"1307-001",3,"**CONFIDENTIAL**",17,1,
1,"1308-001",1,"**CONFIDENTIAL**",44,1,"X"
2,"1308-001",2,"**CONFIDENTIAL**",31,2,"X"
3,"1308-001",3,"**CONFIDENTIAL**",15,2,
4,"1308-001",4,"**CONFIDENTIAL**",9,2,
5,"1308-001",5,"**CONFIDENTIAL**",5,2,
1,"1331-001",1,"**CONFIDENTIAL**",51,2,"X"
2,"1331-001",2,"**CONFIDENTIAL**",18,2,
1,"1333-001",1,"**CONFIDENTIAL**",43,1,"X"
2,"1333-001",2,"**CONFIDENTIAL**",36,2,
3,"1333-001",3,"**CONFIDENTIAL**",13,2,
4,"1333-001",4,"**CONFIDENTIAL**",11,2,
5,"1333-001",5,"**CONFIDENTIAL**",4,1,
1,"1399-001",1,"**CONFIDENTIAL**",34,1,"X"
2,"1399-001",2,"**CONFIDENTIAL**",26,2,
3,"1399-001",3,"**CONFIDENTIAL**",14,1,
4,"1399-001",4,"**CONFIDENTIAL**",11,2,
5,"1399-001",5,"**CONFIDENTIAL**",6,1,
6,"1399-001",6,"**CONFIDENTIAL**",15,2,
1,"1400-001",1,"**CONFIDENTIAL**",41,1,
2,"1400-001",2,"**CONFIDENTIAL**",40,2,"X"
3,"1400-001",3,"**CONFIDENTIAL**",21,2,
4,"1400-001",4,"**CONFIDENTIAL**",16,2,
5,"1400-001",5,"**CONFIDENTIAL**",13,2,
6,"1400-001",6,"**CONFIDENTIAL**",1,2,
7,"1400-001",7,"**CONFIDENTIAL**",13,2,
8,"1400-001",8,"**CONFIDENTIAL**",20,2,
9,"1400-001",9,"**CONFIDENTIAL**",20,2,
1,"1403-001",1,"**CONFIDENTIAL**",28,1,"X"
2,"1403-001",2,"**CONFIDENTIAL**",28,2,
3,"1403-001",3,"**CONFIDENTIAL**",3,1,
4,"1403-001",4,"**CONFIDENTIAL**",0,1,
5,"1403-001",5,"**CONFIDENTIAL**",6,1,
6,"1403-001",6,"**CONFIDENTIAL**",24,1,
1,"1405-001",1,"**CONFIDENTIAL**",39,2,
2,"1405-001",2,"**CONFIDENTIAL**",60,1,"X"
3,"1405-001",3,"**CONFIDENTIAL**",22,1,
4,"1405-001",4,"**CONFIDENTIAL**",20,1,
5,"1405-001",5,"**CONFIDENTIAL**",8,2,
6,"1405-001",6,"**CONFIDENTIAL**",8,2,
7,"1405-001",7,"**CONFIDENTIAL**",5,1,
1,"1420-001",1,"**CONFIDENTIAL**",47,1,"X"
2,"1420-001",2,"**CONFIDENTIAL**",41,2,
3,"1420-001",3,"**CONFIDENTIAL**",19,1,
4,"1420-001",4,"**CONFIDENTIAL**",13,2,
5,"1420-001",5,"**CONFIDENTIAL**",9,1,
6,"1420-001",6,"**CONFIDENTIAL**",2,1,
7,"1420-001",7,"**CONFIDENTIAL**",0,2,
8,"1420-001",8,"**CONFIDENTIAL**",12,2,
1,"1421-001",1,"**CONFIDENTIAL**",52,2,"X"
2,"1421-001",2,"**CONFIDENTIAL**",26,1,
3,"1421-001",3,"**CONFIDENTIAL**",20,1,
1,"1426-001",1,"**CONFIDENTIAL**",54,1,"X"
2,"1426-001",2,"**CONFIDENTIAL**",51,2,
