"occ","y4_hhid","indidy4","ag01_01","ag01_02","ag01_03","ag01_04"
3,"3626-001",3,"**CONFIDENTIAL**",9,2,
4,"3626-001",4,"**CONFIDENTIAL**",8,1,
5,"3626-001",5,"**CONFIDENTIAL**",19,2,
1,"3627-001",1,"**CONFIDENTIAL**",56,1,"X"
2,"3627-001",2,"**CONFIDENTIAL**",40,2,"X"
3,"3627-001",3,"**CONFIDENTIAL**",22,2,
4,"3627-001",4,"**CONFIDENTIAL**",15,2,
5,"3627-001",5,"**CONFIDENTIAL**",0,1,
1,"3628-001",1,"**CONFIDENTIAL**",34,2,"X"
2,"3628-001",2,"**CONFIDENTIAL**",18,1,
3,"3628-001",3,"**CONFIDENTIAL**",9,2,
4,"3628-001",4,"**CONFIDENTIAL**",17,2,
1,"3630-001",1,"**CONFIDENTIAL**",21,2,"X"
1,"3641-001",1,"**CONFIDENTIAL**",35,1,"X"
2,"3641-001",2,"**CONFIDENTIAL**",30,2,"X"
3,"3641-001",3,"**CONFIDENTIAL**",9,1,
4,"3641-001",4,"**CONFIDENTIAL**",7,1,
5,"3641-001",5,"**CONFIDENTIAL**",4,1,
6,"3641-001",6,"**CONFIDENTIAL**",1,1,
1,"3642-001",1,"**CONFIDENTIAL**",20,1,"X"
2,"3642-001",2,"**CONFIDENTIAL**",18,2,
1,"3643-001",1,"**CONFIDENTIAL**",43,1,"X"
2,"3643-001",2,"**CONFIDENTIAL**",35,2,
3,"3643-001",3,"**CONFIDENTIAL**",10,2,
4,"3643-001",4,"**CONFIDENTIAL**",5,2,
5,"3643-001",5,"**CONFIDENTIAL**",1,2,
1,"3644-001",1,"**CONFIDENTIAL**",54,1,"X"
2,"3644-001",2,"**CONFIDENTIAL**",47,2,
3,"3644-001",3,"**CONFIDENTIAL**",11,1,
4,"3644-001",4,"**CONFIDENTIAL**",6,1,
1,"3645-001",1,"**CONFIDENTIAL**",23,2,"X"
2,"3645-001",2,"**CONFIDENTIAL**",4,2,
3,"3645-001",3,"**CONFIDENTIAL**",1,1,
1,"3646-001",1,"**CONFIDENTIAL**",26,1,
2,"3646-001",2,"**CONFIDENTIAL**",22,2,"X"
3,"3646-001",3,"**CONFIDENTIAL**",5,1,
4,"3646-001",4,"**CONFIDENTIAL**",1,2,
1,"3647-001",1,"**CONFIDENTIAL**",56,2,"X"
1,"3648-001",1,"**CONFIDENTIAL**",25,2,"X"
2,"3648-001",2,"**CONFIDENTIAL**",10,2,
3,"3648-001",3,"**CONFIDENTIAL**",6,1,
4,"3648-001",4,"**CONFIDENTIAL**",1,1,
1,"3660-001",1,"**CONFIDENTIAL**",60,1,"X"
2,"3660-001",2,"**CONFIDENTIAL**",51,2,"X"
3,"3660-001",3,"**CONFIDENTIAL**",34,1,
4,"3660-001",4,"**CONFIDENTIAL**",28,1,
5,"3660-001",5,"**CONFIDENTIAL**",21,2,
6,"3660-001",6,"**CONFIDENTIAL**",18,1,
7,"3660-001",7,"**CONFIDENTIAL**",16,1,
8,"3660-001",8,"**CONFIDENTIAL**",12,1,
9,"3660-001",9,"**CONFIDENTIAL**",51,1,
10,"3660-001",10,"**CONFIDENTIAL**",18,1,
11,"3660-001",11,"**CONFIDENTIAL**",18,1,
1,"3662-001",1,"**CONFIDENTIAL**",51,1,
2,"3662-001",2,"**CONFIDENTIAL**",46,2,"X"
3,"3662-001",3,"**CONFIDENTIAL**",19,2,
4,"3662-001",4,"**CONFIDENTIAL**",12,2,
5,"3662-001",5,"**CONFIDENTIAL**",9,1,
1,"3663-001",1,"**CONFIDENTIAL**",32,1,"X"
2,"3663-001",2,"**CONFIDENTIAL**",26,2,
3,"3663-001",3,"**CONFIDENTIAL**",7,1,
4,"3663-001",4,"**CONFIDENTIAL**",4,2,
1,"3664-001",1,"**CONFIDENTIAL**",38,1,"X"
2,"3664-001",2,"**CONFIDENTIAL**",15,1,"X"
3,"3664-001",3,"**CONFIDENTIAL**",13,1,
1,"3665-001",1,"**CONFIDENTIAL**",30,1,"X"
2,"3665-001",2,"**CONFIDENTIAL**",26,2,
3,"3665-001",3,"**CONFIDENTIAL**",6,2,
4,"3665-001",4,"**CONFIDENTIAL**",2,2,
5,"3665-001",5,"**CONFIDENTIAL**",19,1,
6,"3665-001",6,"**CONFIDENTIAL**",26,1,
1,"3666-001",1,"**CONFIDENTIAL**",48,1,"X"
2,"3666-001",2,"**CONFIDENTIAL**",46,2,"X"
3,"3666-001",3,"**CONFIDENTIAL**",16,1,
4,"3666-001",4,"**CONFIDENTIAL**",14,1,
5,"3666-001",5,"**CONFIDENTIAL**",10,2,
6,"3666-001",6,"**CONFIDENTIAL**",3,2,
1,"3667-001",1,"**CONFIDENTIAL**",50,2,"X"
2,"3667-001",2,"**CONFIDENTIAL**",29,1,
3,"3667-001",3,"**CONFIDENTIAL**",26,2,"X"
4,"3667-001",4,"**CONFIDENTIAL**",70,2,
5,"3667-001",5,"**CONFIDENTIAL**",0,2,
1,"3682-001",1,"**CONFIDENTIAL**",61,1,"X"
2,"3682-001",2,"**CONFIDENTIAL**",53,2,
3,"3682-001",3,"**CONFIDENTIAL**",21,1,
4,"3682-001",4,"**CONFIDENTIAL**",19,1,
5,"3682-001",5,"**CONFIDENTIAL**",18,2,
1,"3687-001",1,"**CONFIDENTIAL**",50,1,
2,"3687-001",2,"**CONFIDENTIAL**",43,2,
3,"3687-001",3,"**CONFIDENTIAL**",16,1,
4,"3687-001",4,"**CONFIDENTIAL**",12,1,
5,"3687-001",5,"**CONFIDENTIAL**",14,2,
1,"3698-001",1,"**CONFIDENTIAL**",50,1,"X"
2,"3698-001",2,"**CONFIDENTIAL**",38,2,
3,"3698-001",3,"**CONFIDENTIAL**",22,2,
4,"3698-001",4,"**CONFIDENTIAL**",19,2,
5,"3698-001",5,"**CONFIDENTIAL**",14,1,
6,"3698-001",6,"**CONFIDENTIAL**",18,2,
7,"3698-001",7,"**CONFIDENTIAL**",0,1,
8,"3698-001",8,"**CONFIDENTIAL**",0,2,
1,"3699-001",1,"**CONFIDENTIAL**",20,1,"X"
2,"3699-001",2,"**CONFIDENTIAL**",16,2,
3,"3699-001",3,"**CONFIDENTIAL**",0,2,
1,"3702-001",1,"**CONFIDENTIAL**",56,2,"X"
2,"3702-001",2,"**CONFIDENTIAL**",20,1,"X"
3,"3702-001",3,"**CONFIDENTIAL**",18,2,
4,"3702-001",4,"**CONFIDENTIAL**",8,2,
5,"3702-001",5,"**CONFIDENTIAL**",5,1,
6,"3702-001",6,"**CONFIDENTIAL**",3,1,
7,"3702-001",7,"**CONFIDENTIAL**",22,2,
8,"3702-001",8,"**CONFIDENTIAL**",14,1,
9,"3702-001",9,"**CONFIDENTIAL**",8,2,
1,"3703-001",1,"**CONFIDENTIAL**",46,1,"X"
2,"3703-001",2,"**CONFIDENTIAL**",39,2,
3,"3703-001",3,"**CONFIDENTIAL**",14,2,
4,"3703-001",4,"**CONFIDENTIAL**",11,2,
5,"3703-001",5,"**CONFIDENTIAL**",7,1,
6,"3703-001",6,"**CONFIDENTIAL**",39,1,
1,"3704-001",1,"**CONFIDENTIAL**",32,2,"X"
2,"3704-001",2,"**CONFIDENTIAL**",6,2,
1,"3705-001",1,"**CONFIDENTIAL**",54,2,"X"
2,"3705-001",2,"**CONFIDENTIAL**",18,2,
3,"3705-001",3,"**CONFIDENTIAL**",0,1,
1,"3717-001",1,"**CONFIDENTIAL**",32,2,"X"
2,"3717-001",2,"**CONFIDENTIAL**",11,1,
3,"3717-001",3,"**CONFIDENTIAL**",2,2,
1,"3718-001",1,"**CONFIDENTIAL**",34,1,"X"
2,"3718-001",2,"**CONFIDENTIAL**",33,2,
3,"3718-001",3,"**CONFIDENTIAL**",11,2,
4,"3718-001",4,"**CONFIDENTIAL**",9,2,
5,"3718-001",5,"**CONFIDENTIAL**",4,2,
1,"3719-001",1,"**CONFIDENTIAL**",31,1,"X"
2,"3719-001",2,"**CONFIDENTIAL**",25,2,
3,"3719-001",3,"**CONFIDENTIAL**",7,2,
4,"3719-001",4,"**CONFIDENTIAL**",4,2,
5,"3719-001",5,"**CONFIDENTIAL**",1,2,
1,"3720-001",1,"**CONFIDENTIAL**",39,1,"X"
2,"3720-001",2,"**CONFIDENTIAL**",38,2,
3,"3720-001",3,"**CONFIDENTIAL**",10,1,
4,"3720-001",4,"**CONFIDENTIAL**",6,2,
5,"3720-001",5,"**CONFIDENTIAL**",3,2,
6,"3720-001",6,"**CONFIDENTIAL**",0,1,
1,"3721-001",1,"**CONFIDENTIAL**",43,1,"X"
2,"3721-001",2,"**CONFIDENTIAL**",43,2,"X"
3,"3721-001",3,"**CONFIDENTIAL**",8,2,
4,"3721-001",4,"**CONFIDENTIAL**",1,1,
1,"3722-001",1,"**CONFIDENTIAL**",28,1,"X"
2,"3722-001",2,"**CONFIDENTIAL**",25,2,
3,"3722-001",3,"**CONFIDENTIAL**",7,2,
4,"3722-001",4,"**CONFIDENTIAL**",3,1,
1,"3723-001",1,"**CONFIDENTIAL**",41,1,"X"
2,"3723-001",2,"**CONFIDENTIAL**",35,2,
3,"3723-001",3,"**CONFIDENTIAL**",16,1,
4,"3723-001",4,"**CONFIDENTIAL**",9,2,
5,"3723-001",5,"**CONFIDENTIAL**",5,1,
6,"3723-001",6,"**CONFIDENTIAL**",2,1,
1,"3724-001",1,"**CONFIDENTIAL**",47,1,"X"
2,"3724-001",2,"**CONFIDENTIAL**",39,2,"X"
3,"3724-001",3,"**CONFIDENTIAL**",15,1,
4,"3724-001",4,"**CONFIDENTIAL**",11,2,
5,"3724-001",5,"**CONFIDENTIAL**",8,2,
6,"3724-001",6,"**CONFIDENTIAL**",5,1,
1,"3737-001",1,"**CONFIDENTIAL**",56,1,"X"
2,"3737-001",2,"**CONFIDENTIAL**",54,2,
1,"3738-001",1,"**CONFIDENTIAL**",55,1,"X"
2,"3738-001",2,"**CONFIDENTIAL**",40,2,
1,"3739-001",1,"**CONFIDENTIAL**",79,1,"X"
2,"3739-001",2,"**CONFIDENTIAL**",75,2,"X"
3,"3739-001",3,"**CONFIDENTIAL**",44,1,"X"
4,"3739-001",4,"**CONFIDENTIAL**",24,1,
5,"3739-001",5,"**CONFIDENTIAL**",11,1,
1,"3740-001",1,"**CONFIDENTIAL**",63,1,"X"
2,"3740-001",2,"**CONFIDENTIAL**",57,2,
3,"3740-001",3,"**CONFIDENTIAL**",26,2,
4,"3740-001",4,"**CONFIDENTIAL**",11,1,
5,"3740-001",5,"**CONFIDENTIAL**",11,2,
6,"3740-001",6,"**CONFIDENTIAL**",8,2,
7,"3740-001",7,"**CONFIDENTIAL**",4,2,
1,"3741-001",1,"**CONFIDENTIAL**",49,1,"X"
2,"3741-001",2,"**CONFIDENTIAL**",42,2,
3,"3741-001",3,"**CONFIDENTIAL**",22,2,
4,"3741-001",4,"**CONFIDENTIAL**",16,2,
5,"3741-001",5,"**CONFIDENTIAL**",8,2,
6,"3741-001",6,"**CONFIDENTIAL**",6,1,
1,"3742-001",1,"**CONFIDENTIAL**",47,1,"X"
2,"3742-001",2,"**CONFIDENTIAL**",42,2,
3,"3742-001",3,"**CONFIDENTIAL**",7,2,
1,"3743-001",1,"**CONFIDENTIAL**",60,2,"X"
2,"3743-001",2,"**CONFIDENTIAL**",64,1,
3,"3743-001",3,"**CONFIDENTIAL**",6,1,
1,"3755-001",1,"**CONFIDENTIAL**",53,2,"X"
2,"3755-001",2,"**CONFIDENTIAL**",2,2,
1,"3758-001",1,"**CONFIDENTIAL**",58,1,
2,"3758-001",2,"**CONFIDENTIAL**",49,2,"X"
3,"3758-001",3,"**CONFIDENTIAL**",20,1,
4,"3758-001",4,"**CONFIDENTIAL**",15,1,
5,"3758-001",5,"**CONFIDENTIAL**",10,1,
1,"3760-001",1,"**CONFIDENTIAL**",39,2,"X"
2,"3760-001",2,"**CONFIDENTIAL**",6,1,
3,"3760-001",3,"**CONFIDENTIAL**",3,2,
1,"3762-001",1,"**CONFIDENTIAL**",45,1,"X"
2,"3762-001",2,"**CONFIDENTIAL**",26,2,"X"
3,"3762-001",3,"**CONFIDENTIAL**",6,2,
4,"3762-001",4,"**CONFIDENTIAL**",0,1,
1,"3774-001",1,"**CONFIDENTIAL**",75,1,"X"
2,"3774-001",2,"**CONFIDENTIAL**",68,2,
1,"3775-001",1,"**CONFIDENTIAL**",34,1,"X"
2,"3775-001",2,"**CONFIDENTIAL**",29,2,
3,"3775-001",3,"**CONFIDENTIAL**",11,1,
4,"3775-001",4,"**CONFIDENTIAL**",3,1,
1,"3776-001",1,"**CONFIDENTIAL**",30,1,"X"
2,"3776-001",2,"**CONFIDENTIAL**",26,2,
3,"3776-001",3,"**CONFIDENTIAL**",7,1,
4,"3776-001",4,"**CONFIDENTIAL**",0,2,
1,"3777-001",1,"**CONFIDENTIAL**",29,1,
2,"3777-001",2,"**CONFIDENTIAL**",24,2,"X"
3,"3777-001",3,"**CONFIDENTIAL**",4,1,
1,"3778-001",1,"**CONFIDENTIAL**",66,1,"X"
2,"3778-001",2,"**CONFIDENTIAL**",60,2,
3,"3778-001",3,"**CONFIDENTIAL**",12,1,
1,"3779-001",1,"**CONFIDENTIAL**",52,1,
2,"3779-001",2,"**CONFIDENTIAL**",54,2,"X"
3,"3779-001",3,"**CONFIDENTIAL**",25,2,
4,"3779-001",4,"**CONFIDENTIAL**",3,2,
1,"3780-001",1,"**CONFIDENTIAL**",37,2,"X"
2,"3780-001",2,"**CONFIDENTIAL**",12,2,
1,"3781-001",1,"**CONFIDENTIAL**",30,1,"X"
2,"3781-001",2,"**CONFIDENTIAL**",28,2,
3,"3781-001",3,"**CONFIDENTIAL**",35,2,
4,"3781-001",4,"**CONFIDENTIAL**",9,1,
5,"3781-001",5,"**CONFIDENTIAL**",2,2,
1,"3794-001",1,"**CONFIDENTIAL**",37,1,
2,"3794-001",2,"**CONFIDENTIAL**",32,2,"X"
3,"3794-001",3,"**CONFIDENTIAL**",13,1,
4,"3794-001",4,"**CONFIDENTIAL**",13,2,
5,"3794-001",5,"**CONFIDENTIAL**",9,2,
6,"3794-001",6,"**CONFIDENTIAL**",5,2,
1,"3795-001",1,"**CONFIDENTIAL**",38,1,"X"
2,"3795-001",2,"**CONFIDENTIAL**",39,2,
3,"3795-001",3,"**CONFIDENTIAL**",13,2,
4,"3795-001",4,"**CONFIDENTIAL**",9,1,
5,"3795-001",5,"**CONFIDENTIAL**",1,2,
1,"3796-001",1,"**CONFIDENTIAL**",30,2,"X"
2,"3796-001",2,"**CONFIDENTIAL**",10,1,
1,"3797-001",1,"**CONFIDENTIAL**",46,1,"X"
2,"3797-001",2,"**CONFIDENTIAL**",41,2,"X"
3,"3797-001",3,"**CONFIDENTIAL**",21,1,
4,"3797-001",4,"**CONFIDENTIAL**",14,1,
5,"3797-001",5,"**CONFIDENTIAL**",1,2,
6,"3797-001",6,"**CONFIDENTIAL**",21,1,
1,"3798-001",1,"**CONFIDENTIAL**",20,1,"X"
2,"3798-001",2,"**CONFIDENTIAL**",20,2,
3,"3798-001",3,"**CONFIDENTIAL**",0,1,
1,"3799-001",1,"**CONFIDENTIAL**",64,2,"X"
1,"3800-001",1,"**CONFIDENTIAL**",47,1,"X"
1,"3812-001",1,"**CONFIDENTIAL**",67,1,"X"
2,"3812-001",2,"**CONFIDENTIAL**",56,2,"X"
3,"3812-001",3,"**CONFIDENTIAL**",22,1,
4,"3812-001",4,"**CONFIDENTIAL**",17,2,
5,"3812-001",5,"**CONFIDENTIAL**",11,2,
6,"3812-001",6,"**CONFIDENTIAL**",11,2,
7,"3812-001",7,"**CONFIDENTIAL**",7,1,
8,"3812-001",8,"**CONFIDENTIAL**",6,1,
1,"3815-001",1,"**CONFIDENTIAL**",43,2,"X"
2,"3815-001",2,"**CONFIDENTIAL**",20,1,
1,"3816-001",1,"**CONFIDENTIAL**",32,1,"X"
2,"3816-001",2,"**CONFIDENTIAL**",25,2,"X"
3,"3816-001",3,"**CONFIDENTIAL**",3,1,
1,"3817-001",1,"**CONFIDENTIAL**",42,1,"X"
2,"3817-001",2,"**CONFIDENTIAL**",30,2,
3,"3817-001",3,"**CONFIDENTIAL**",11,2,
4,"3817-001",4,"**CONFIDENTIAL**",13,1,
1,"3818-001",1,"**CONFIDENTIAL**",48,2,"X"
1,"3819-001",1,"**CONFIDENTIAL**",52,1,"X"
1,"3831-001",1,"**CONFIDENTIAL**",22,1,"X"
2,"3831-001",2,"**CONFIDENTIAL**",22,2,
3,"3831-001",3,"**CONFIDENTIAL**",3,1,
1,"3832-001",1,"**CONFIDENTIAL**",24,1,"X"
2,"3832-001",2,"**CONFIDENTIAL**",25,2,"X"
3,"3832-001",3,"**CONFIDENTIAL**",1,1,
4,"3832-001",4,"**CONFIDENTIAL**",0,2,
1,"3833-001",1,"**CONFIDENTIAL**",49,1,"X"
2,"3833-001",2,"**CONFIDENTIAL**",45,2,
3,"3833-001",3,"**CONFIDENTIAL**",24,2,
4,"3833-001",4,"**CONFIDENTIAL**",9,2,
5,"3833-001",5,"**CONFIDENTIAL**",9,2,
1,"3834-001",1,"**CONFIDENTIAL**",41,1,"X"
2,"3834-001",2,"**CONFIDENTIAL**",28,2,"X"
3,"3834-001",3,"**CONFIDENTIAL**",3,1,
4,"3834-001",4,"**CONFIDENTIAL**",0,1,
5,"3834-001",5,"**CONFIDENTIAL**",8,2,
6,"3834-001",6,"**CONFIDENTIAL**",11,1,
7,"3834-001",7,"**CONFIDENTIAL**",64,1,
1,"3835-001",1,"**CONFIDENTIAL**",59,2,"X"
2,"3835-001",2,"**CONFIDENTIAL**",23,1,
1,"3836-001",1,"**CONFIDENTIAL**",61,1,"X"
2,"3836-001",2,"**CONFIDENTIAL**",47,2,"X"
3,"3836-001",3,"**CONFIDENTIAL**",83,1,
1,"3837-001",1,"**CONFIDENTIAL**",52,1,"X"
2,"3837-001",2,"**CONFIDENTIAL**",36,2,"X"
3,"3837-001",3,"**CONFIDENTIAL**",7,1,
4,"3837-001",4,"**CONFIDENTIAL**",3,2,
5,"3837-001",5,"**CONFIDENTIAL**",1,2,
1,"3838-001",1,"**CONFIDENTIAL**",78,1,"X"
2,"3838-001",2,"**CONFIDENTIAL**",72,2,
1,"3850-001",1,"**CONFIDENTIAL**",33,1,"X"
2,"3850-001",2,"**CONFIDENTIAL**",28,2,
3,"3850-001",3,"**CONFIDENTIAL**",8,2,
4,"3850-001",4,"**CONFIDENTIAL**",5,1,
1,"3851-001",1,"**CONFIDENTIAL**",63,1,"X"
2,"3851-001",2,"**CONFIDENTIAL**",45,2,
1,"3852-001",1,"**CONFIDENTIAL**",56,1,"X"
2,"3852-001",2,"**CONFIDENTIAL**",47,2,
3,"3852-001",3,"**CONFIDENTIAL**",9,1,
4,"3852-001",4,"**CONFIDENTIAL**",18,1,
5,"3852-001",5,"**CONFIDENTIAL**",16,1,
6,"3852-001",6,"**CONFIDENTIAL**",10,1,
7,"3852-001",7,"**CONFIDENTIAL**",19,1,
1,"3854-001",1,"**CONFIDENTIAL**",46,1,"X"
2,"3854-001",2,"**CONFIDENTIAL**",42,2,
3,"3854-001",3,"**CONFIDENTIAL**",15,1,
4,"3854-001",4,"**CONFIDENTIAL**",10,2,
5,"3854-001",5,"**CONFIDENTIAL**",8,1,
6,"3854-001",6,"**CONFIDENTIAL**",3,2,
7,"3854-001",7,"**CONFIDENTIAL**",0,1,
1,"3855-001",1,"**CONFIDENTIAL**",52,1,"X"
2,"3855-001",2,"**CONFIDENTIAL**",36,2,
3,"3855-001",3,"**CONFIDENTIAL**",9,1,
1,"3856-001",1,"**CONFIDENTIAL**",35,2,"X"
2,"3856-001",2,"**CONFIDENTIAL**",16,2,
3,"3856-001",3,"**CONFIDENTIAL**",9,1,
4,"3856-001",4,"**CONFIDENTIAL**",0,2,
1,"3857-001",1,"**CONFIDENTIAL**",66,2,"X"
2,"3857-001",2,"**CONFIDENTIAL**",15,2,
1,"3859-001",1,"**CONFIDENTIAL**",73,2,"X"
2,"3859-001",2,"**CONFIDENTIAL**",18,1,"X"
3,"3859-001",3,"**CONFIDENTIAL**",14,2,
1,"3869-001",1,"**CONFIDENTIAL**",29,1,"X"
2,"3869-001",2,"**CONFIDENTIAL**",21,2,
3,"3869-001",3,"**CONFIDENTIAL**",1,2,
1,"3870-001",1,"**CONFIDENTIAL**",50,1,"X"
2,"3870-001",2,"**CONFIDENTIAL**",50,2,
1,"3871-001",1,"**CONFIDENTIAL**",49,1,"X"
2,"3871-001",2,"**CONFIDENTIAL**",40,2,"X"
3,"3871-001",3,"**CONFIDENTIAL**",15,2,
4,"3871-001",4,"**CONFIDENTIAL**",8,2,
5,"3871-001",5,"**CONFIDENTIAL**",5,2,
1,"3872-001",1,"**CONFIDENTIAL**",42,1,"X"
2,"3872-001",2,"**CONFIDENTIAL**",41,2,"X"
3,"3872-001",3,"**CONFIDENTIAL**",18,2,
4,"3872-001",4,"**CONFIDENTIAL**",16,1,
5,"3872-001",5,"**CONFIDENTIAL**",14,2,
6,"3872-001",6,"**CONFIDENTIAL**",10,2,
7,"3872-001",7,"**CONFIDENTIAL**",7,2,
8,"3872-001",8,"**CONFIDENTIAL**",0,1,
1,"3873-001",1,"**CONFIDENTIAL**",74,1,"X"
2,"3873-001",2,"**CONFIDENTIAL**",66,2,
1,"3874-001",1,"**CONFIDENTIAL**",67,2,"X"
2,"3874-001",2,"**CONFIDENTIAL**",93,2,
1,"3875-001",1,"**CONFIDENTIAL**",42,2,"X"
2,"3875-001",2,"**CONFIDENTIAL**",22,2,
3,"3875-001",3,"**CONFIDENTIAL**",0,1,
1,"3876-001",1,"**CONFIDENTIAL**",26,1,"X"
2,"3876-001",2,"**CONFIDENTIAL**",23,2,
3,"3876-001",3,"**CONFIDENTIAL**",3,1,
4,"3876-001",4,"**CONFIDENTIAL**",3,2,
1,"3888-001",1,"**CONFIDENTIAL**",26,2,"X"
2,"3888-001",2,"**CONFIDENTIAL**",4,2,
1,"3889-001",1,"**CONFIDENTIAL**",43,1,"X"
2,"3889-001",2,"**CONFIDENTIAL**",42,2,"X"
3,"3889-001",3,"**CONFIDENTIAL**",8,2,
4,"3889-001",4,"**CONFIDENTIAL**",14,2,
5,"3889-001",5,"**CONFIDENTIAL**",9,1,
1,"3890-001",1,"**CONFIDENTIAL**",68,1,"X"
2,"3890-001",2,"**CONFIDENTIAL**",59,2,
3,"3890-001",3,"**CONFIDENTIAL**",12,1,
4,"3890-001",4,"**CONFIDENTIAL**",9,1,
1,"3891-001",1,"**CONFIDENTIAL**",45,1,"X"
2,"3891-001",2,"**CONFIDENTIAL**",44,2,"X"
3,"3891-001",3,"**CONFIDENTIAL**",15,1,
4,"3891-001",4,"**CONFIDENTIAL**",10,1,
5,"3891-001",5,"**CONFIDENTIAL**",6,2,
1,"3892-001",1,"**CONFIDENTIAL**",29,2,"X"
2,"3892-001",2,"**CONFIDENTIAL**",23,2,"X"
3,"3892-001",3,"**CONFIDENTIAL**",18,1,
4,"3892-001",4,"**CONFIDENTIAL**",5,2,
5,"3892-001",5,"**CONFIDENTIAL**",4,1,
1,"3893-001",1,"**CONFIDENTIAL**",73,1,"X"
2,"3893-001",2,"**CONFIDENTIAL**",59,2,"X"
3,"3893-001",3,"**CONFIDENTIAL**",21,2,
4,"3893-001",4,"**CONFIDENTIAL**",2,2,
1,"3894-001",1,"**CONFIDENTIAL**",44,1,"X"
2,"3894-001",2,"**CONFIDENTIAL**",44,2,"X"
1,"3895-001",1,"**CONFIDENTIAL**",55,1,"X"
2,"3895-001",2,"**CONFIDENTIAL**",49,2,
3,"3895-001",3,"**CONFIDENTIAL**",13,1,
4,"3895-001",4,"**CONFIDENTIAL**",11,1,
5,"3895-001",5,"**CONFIDENTIAL**",7,2,
6,"3895-001",6,"**CONFIDENTIAL**",5,2,
1,"3907-001",1,"**CONFIDENTIAL**",29,2,"X"
2,"3907-001",2,"**CONFIDENTIAL**",3,2,
1,"3909-001",1,"**CONFIDENTIAL**",58,1,"X"
2,"3909-001",2,"**CONFIDENTIAL**",46,2,
3,"3909-001",3,"**CONFIDENTIAL**",16,2,
4,"3909-001",4,"**CONFIDENTIAL**",9,1,
5,"3909-001",5,"**CONFIDENTIAL**",5,2,
1,"3911-001",1,"**CONFIDENTIAL**",30,1,"X"
2,"3911-001",2,"**CONFIDENTIAL**",21,2,
3,"3911-001",3,"**CONFIDENTIAL**",5,2,
1,"3914-001",1,"**CONFIDENTIAL**",40,2,"X"
2,"3914-001",2,"**CONFIDENTIAL**",22,2,
3,"3914-001",3,"**CONFIDENTIAL**",16,2,
4,"3914-001",4,"**CONFIDENTIAL**",10,1,
5,"3914-001",5,"**CONFIDENTIAL**",9,2,
6,"3914-001",6,"**CONFIDENTIAL**",5,2,
1,"3926-001",1,"**CONFIDENTIAL**",70,1,"X"
2,"3926-001",2,"**CONFIDENTIAL**",69,2,
3,"3926-001",3,"**CONFIDENTIAL**",10,1,
4,"3926-001",4,"**CONFIDENTIAL**",7,1,
1,"3931-001",1,"**CONFIDENTIAL**",53,1,"X"
2,"3931-001",2,"**CONFIDENTIAL**",53,2,
3,"3931-001",3,"**CONFIDENTIAL**",19,2,
4,"3931-001",4,"**CONFIDENTIAL**",9,2,
5,"3931-001",5,"**CONFIDENTIAL**",8,1,
1,"3932-001",1,"**CONFIDENTIAL**",48,1,"X"
2,"3932-001",2,"**CONFIDENTIAL**",39,2,"X"
3,"3932-001",3,"**CONFIDENTIAL**",16,1,
4,"3932-001",4,"**CONFIDENTIAL**",11,2,
5,"3932-001",5,"**CONFIDENTIAL**",8,2,
6,"3932-001",6,"**CONFIDENTIAL**",6,2,
1,"3933-001",1,"**CONFIDENTIAL**",41,1,
2,"3933-001",2,"**CONFIDENTIAL**",34,2,"X"
3,"3933-001",3,"**CONFIDENTIAL**",14,1,
4,"3933-001",4,"**CONFIDENTIAL**",5,2,
5,"3933-001",5,"**CONFIDENTIAL**",3,2,
6,"3933-001",6,"**CONFIDENTIAL**",0,1,
1,"3945-001",1,"**CONFIDENTIAL**",48,2,"X"
2,"3945-001",2,"**CONFIDENTIAL**",85,2,
3,"3945-001",3,"**CONFIDENTIAL**",2,1,
1,"3946-001",1,"**CONFIDENTIAL**",80,2,"X"
2,"3946-001",2,"**CONFIDENTIAL**",20,1,
3,"3946-001",3,"**CONFIDENTIAL**",18,1,
4,"3946-001",4,"**CONFIDENTIAL**",14,1,
5,"3946-001",5,"**CONFIDENTIAL**",13,2,
6,"3946-001",6,"**CONFIDENTIAL**",7,2,
7,"3946-001",7,"**CONFIDENTIAL**",2,1,
8,"3946-001",8,"**CONFIDENTIAL**",3,1,
9,"3946-001",9,"**CONFIDENTIAL**",1,2,
1,"3947-001",1,"**CONFIDENTIAL**",40,2,"X"
2,"3947-001",2,"**CONFIDENTIAL**",12,2,
3,"3947-001",3,"**CONFIDENTIAL**",6,1,
4,"3947-001",4,"**CONFIDENTIAL**",3,1,
1,"3948-001",1,"**CONFIDENTIAL**",46,1,
2,"3948-001",2,"**CONFIDENTIAL**",43,2,"X"
3,"3948-001",3,"**CONFIDENTIAL**",24,1,"X"
4,"3948-001",4,"**CONFIDENTIAL**",23,1,
5,"3948-001",5,"**CONFIDENTIAL**",18,2,
6,"3948-001",6,"**CONFIDENTIAL**",15,1,
7,"3948-001",7,"**CONFIDENTIAL**",12,2,
8,"3948-001",8,"**CONFIDENTIAL**",10,1,
9,"3948-001",9,"**CONFIDENTIAL**",7,1,
10,"3948-001",10,"**CONFIDENTIAL**",3,2,
11,"3948-001",11,"**CONFIDENTIAL**",0,1,
1,"3949-001",1,"**CONFIDENTIAL**",60,1,"X"
2,"3949-001",2,"**CONFIDENTIAL**",50,2,
3,"3949-001",3,"**CONFIDENTIAL**",19,1,
