"Sample","Element","Category","Unit","Type","Transformation","mean","sd","se"
"M1","Pb","Heavy Metal","μg/kg","Mixed","Dried",465.634838101161,69.3883872253453,40.0614040431871
"M1","Se","Micromineral","μg/kg","Mixed","Dried",2562.68149971345,175.279091254648,101.197430519184
"M1","Vitamin A","Vitamin","μg/100g","Mixed","Dried",0,0,0
"M2","As","Heavy Metal","μg/kg","Mixed","Dried",2755.0483627899,55.4329306631064,32.0042174403143
"M2","Ca","Macromineral","mg/kg","Mixed","Dried",45632.1811804708,9830.9462296632,5675.89945208478
"M2","Cd","Heavy Metal","μg/kg","Mixed","Dried",136.406663724337,15.3884744250804,8.88453985173784
"M2","Fe","Micromineral","μg/kg","Mixed","Dried",1112955.39688729,227818.639800283,131531.153015108
"M2","Hg","Heavy Metal","μg/kg","Mixed","Dried",62.4996846931399,20.1876206734695,11.6553282301257
"M2","Pb","Heavy Metal","μg/kg","Mixed","Dried",721.570813070994,419.840490928691,242.395020454384
"M2","Se","Micromineral","μg/kg","Mixed","Dried",2446.53925375162,807.702396272616,466.327195913101
"M2","Vitamin A","Vitamin","μg/100g","Mixed","Dried",0,0,0
"F1","As","Heavy Metal","μg/kg","Freshwater","Dried",535.929327663659,235.638379659904,136.045881928053
"F1","Ca","Macromineral","mg/kg","Freshwater","Dried",46788.0509656383,4471.65524978446,2581.71136218626
"F1","Cd","Heavy Metal","μg/kg","Freshwater","Dried",53.8128031489583,35.5243983608971,20.5100209564635
"F1","Fe","Micromineral","μg/kg","Freshwater","Dried",592204.797203987,20258.642476757,11696.3326873721
"F1","Hg","Heavy Metal","μg/kg","Freshwater","Dried",86.8834061431667,37.6515628326509,21.7381399368411
"F1","Pb","Heavy Metal","μg/kg","Freshwater","Dried",355.56887321497,117.239887980987,67.6884808855846
"F1","Se","Micromineral","μg/kg","Freshwater","Dried",1258.81077685714,376.815124311376,217.554313455895
"F1","Vitamin A","Vitamin","μg/100g","Freshwater","Dried",0,0,0
"F2","As","Heavy Metal","μg/kg","Freshwater","Smoked",89.4747484094471,23.1217758294786,13.3493634992916
"F2","Ca","Macromineral","mg/kg","Freshwater","Smoked",33751.9245523247,2211.12570202012,1276.59401927342
"F2","Cd","Heavy Metal","μg/kg","Freshwater","Smoked",76.9011415901752,4.75785303125442,2.74694772835942
"F2","Fe","Micromineral","μg/kg","Freshwater","Smoked",596850.804077143,7581.17844155326,4376.99541400536
"F2","Hg","Heavy Metal","μg/kg","Freshwater","Smoked",298.16878979806,2.53722688291871,1.46486862384827
"F2","Pb","Heavy Metal","μg/kg","Freshwater","Smoked",596.023740542673,38.520406936613,22.2397673141475
"F2","Se","Micromineral","μg/kg","Freshwater","Smoked",2502.79355600743,130.194497474929,75.1678281641581
"F2","Vitamin A","Vitamin","μg/100g","Freshwater","Smoked",131.666666666667,3.75011110946507,2.16512765854066
