"HHID","region","urban","regurb","stratum","comm","h1aq1","h1aq2b","h1aq3b","h1aq4b","day","month","year","interview_result","reason","hh_status","spitoff09_10","spitoff10_11","wgt10"
"1021001102",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",1,4,2011,1,,1,0,0,2421.603515625
"1021001105",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",2,4,2011,1,,1,0,0,1576.47521972656
"1021001107",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",2,4,2011,1,,1,0,0,837.905456542969
"1021001109",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",1,4,2011,1,,1,0,0,465.642181396484
"102100110901",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","SALAAMA",9,8,2011,1,,1,1,0,440.040252685547
"102100110904",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",12,9,2011,1,,1,1,0,1205.50463867188
"1021001110",0,1,11,1,"1020011","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",1,4,2011,1,,1,0,0,537.691589355469
"1021001202",0,1,11,1,"1020012","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",13,4,2011,1,,1,0,0,1375.67321777344
"1021001205",0,1,11,1,"1020012","KAMPALA","KCCA","MAKINDYE DIVISION","KABALAGALA",3,4,2011,1,,1,0,0,1405.46020507813
"1021001206",0,1,11,1,"1020012","KAMPALA","KCCA","MAKINDYE DIVISION","KABALAGALA",3,4,2011,1,,1,0,0,2359.318359375
"1021001208",0,1,11,1,"1020012","KAMPALA","KCCA","MAKINDYE DIVISION","KABALAGALA",6,4,2011,1,,1,0,0,1179.6591796875
"1021001210",0,1,11,1,"1020012","KAMPALA","KCCA","MAKINDYE DIVISION","KABALAGALA",2,4,2011,1,,1,0,0,902.15283203125
"1021001211",0,1,11,1,"1020012","KAMPALA","KCCA","MAKINDYE DIVISION","KABALAGALA",3,4,2011,1,,1,0,0,1903.62219238281
"1021001301",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",31,10,2010,1,,1,0,0,2841.72412109375
"1021001302",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",30,10,2010,1,,1,0,0,2841.72412109375
"1021001304",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",31,5,2011,1,,1,0,0,1274.90185546875
"1021001305",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",31,10,2010,1,,1,0,0,3023.79614257813
"1021001306",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",30,10,2010,1,,1,0,0,3214.32885742188
"1021001307",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",31,4,2011,1,,1,0,0,3023.79614257813
"1021001308",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",30,10,2010,1,,1,0,0,1274.90185546875
"1021001309",0,1,11,1,"1020013","KAMPALA","KCCA","MAKINDYE DIVISION","KIBULI",30,5,2011,1,,1,0,0,2396.96240234375
"1021001402",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","KIBUYE I",1,12,2010,1,,1,0,0,3679.8740234375
"102100140202",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","LUKULI",2,6,2011,1,,1,1,0,6022.107421875
"102100140204",1,1,11,2,"1020014","WAKISO","KYADONDO","NANSANA TOWN COUNCIL","NANSANA 7/8 OCHIENG WARD",3,12,2010,1,,1,1,0,7126.99755859375
"1021001403",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","KIBUYE I",1,12,2010,1,,1,0,0,1476.97021484375
"1021001405",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","KIBUYE I",3,12,2010,1,,1,0,0,3266.748046875
"1021001406",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","KIBUYE I",1,5,2011,1,,1,0,0,796.118896484375
"1021001407",1,1,11,2,"1020014","WAKISO","KYADONDO","MAKINDYE","BUSABALA",3,12,2010,1,,1,0,0,2253.78100585938
"1021001408",0,1,11,1,"1020014","KAMPALA","KCCA","MAKINDYE DIVISION","KIBUYE I",2,5,2011,1,,1,0,0,1476.97021484375
"1021001501",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",7,12,2010,1,,1,0,0,1639.23132324219
"102100150102",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",7,6,2011,1,,1,1,0,6022.107421875
"1021001504",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",17,12,2010,1,,1,0,0,2811.91552734375
"102100150406",1,1,11,2,"1020015","WAKISO","BUSIRO","NSANGI(MUKONO)","KYENGERA",28,7,2011,1,,1,1,0,1939.98486328125
"1021001505",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",7,12,2010,1,,1,0,0,1302
"1021001507",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",7,12,2010,1,,1,0,0,716.810913085938
"1021001512",0,1,11,1,"1020015","KAMPALA","KCCA","MAKINDYE DIVISION","KISUGU",20,12,2010,1,,1,0,0,889.289428710938
"1021001607",0,1,11,1,"1020016","KAMPALA","KCCA","MAKINDYE DIVISION","NSAMBYA CENTRAL",2,4,2011,1,,1,0,0,2262.99682617188
"102100160707",0,1,11,1,"1020016","KAMPALA","KCCA","MAKINDYE DIVISION","BUKASA",28,1,2011,1,,1,1,0,1218.45483398438
"1021001701",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,8,2011,1,,1,0,0,1789.46069335938
"1021001704",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,2,2011,1,,1,0,0,894.730346679688
"1021001705",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,8,2011,1,,1,0,0,926.78271484375
"1021001706",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,2,2011,1,,1,0,0,417.357727050781
"1021001709",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,8,2011,1,,1,0,0,926.78271484375
"1021001710",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,2,2011,1,,1,0,0,1848.83239746094
"102100171003",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",8,4,2011,1,,1,1,0,2883.97802734375
"1021001711",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,2,2011,1,,1,0,0,1855.41320800781
"1021001713",0,1,11,1,"1020017","KAMPALA","KCCA","MAKINDYE DIVISION","BUZIGA",4,8,2011,1,,1,0,0,1080.55249023438
"1021001802",0,1,11,1,"1020018","KAMPALA","KCCA","MAKINDYE DIVISION","NSAMBYA CENTRAL",6,4,2011,1,,1,0,0,1626.44274902344
"1021001804",0,1,11,1,"1020018","KAMPALA","KCCA","MAKINDYE DIVISION","NSAMBYA CENTRAL",9,4,2011,1,,1,0,0,1388.17602539063
"1021001809",0,1,11,1,"1020018","KAMPALA","KCCA","MAKINDYE DIVISION","NSAMBYA CENTRAL",9,4,2011,1,,1,0,0,1585.48095703125
"1021001810",1,1,11,2,"1020018","KAMPALA","MAKINDYE DIVISION","MAKINDYE DIVISION","NSAMBYA CENTRAL",11,4,2011,1,,1,0,0,1378.92504882813
"1021001901",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","MAKINDYE II",16,5,2011,1,,1,0,0,1614.28869628906
"1021001902",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","KANSANGA",14,5,2011,1,,1,0,0,2458.62841796875
"1021001907",1,1,11,2,"1020019","WAKISO","BUSIRO","WAKISO TOWN COUNCIL","KISIMBIRI WARD",9,9,2011,1,,1,0,0,431.452209472656
"1021001908",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","KANSANGA",15,5,2011,1,,1,0,0,858.003601074219
"1021001909",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","KANSANGA",2,5,2011,1,,1,0,0,2458.62841796875
"1021001910",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","KANSANGA",15,5,2011,1,,1,0,0,582.716857910156
"1021001915",0,1,11,1,"1020019","KAMPALA","KCCA","MAKINDYE DIVISION","KANSANGA",14,5,2011,1,,1,0,0,3967.50122070313
"1021002003",0,1,11,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",4,12,2010,1,,1,0,0,625.559997558594
"1021002007",0,1,,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",,,,2,99,1,0,0,1506.1298828125
"1021002008",0,1,11,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",1,12,2010,1,,1,0,0,1506.1298828125
"1021002010",0,1,11,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",1,12,2010,1,,1,0,0,1297.91149902344
"1021002011",0,1,11,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",1,5,2011,1,,1,0,0,1602.62902832031
"1021002013",0,1,11,1,"1020020","KAMPALA","KCCA","NAKAWA","BUKOTO I",1,12,2010,1,,1,0,0,1703.61254882813
"1021002103",0,1,11,1,"1020021","KAMPALA","KCCA","NAKAWA","KYANJA",7,12,2010,1,,1,0,0,1530.54907226563
"1021002106",0,1,11,1,"1020021","KAMPALA","KCCA","NAKAWA","BUKOTO II",7,12,2010,1,,1,0,0,642.610534667969
"1021002107",0,1,11,1,"1020021","KAMPALA","KCCA","NAKAWA","BUKOTO II",7,12,2010,1,,1,0,0,1153.81848144531
"1021002201",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",16,7,2011,1,,1,0,0,2671.95751953125
"1021002203",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",17,1,2011,1,,1,0,0,596.263061523438
"1021002204",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",16,7,2011,1,,1,0,0,2671.95751953125
"1021002205",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",16,1,2011,1,,1,0,0,1215.87658691406
"1021002208",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",17,1,2011,1,,1,0,0,2671.95751953125
"1021002210",0,1,11,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",16,1,2011,1,,1,0,0,1417.61218261719
"1021002211",0,1,,1,"1020022","KAMPALA","KCCA","NAKAWA","KYANJA",,,,2,1,1,0,0,5343.9150390625
"1021002301",0,1,11,1,"1020023","KAMPALA","KCCA","NAKAWA","MBUYA I",7,4,2011,1,,1,0,0,1307.13195800781
"1021002307",0,1,11,1,"1020023","KAMPALA","KCCA","NAKAWA","MBUYA I",6,4,2011,1,,1,0,0,1210.92041015625
"1021002308",0,1,11,1,"1020023","KAMPALA","KCCA","NAKAWA","MBUYA I",5,4,2011,1,,1,0,0,1606.29504394531
"1021002309",0,1,11,1,"1020023","KAMPALA","KCCA","NAKAWA","MBUYA I",5,4,2011,1,,1,0,0,4918.6015625
"1021002312",0,1,11,1,"1020023","KAMPALA","KCCA","NAKAWA","MBUYA I",5,4,2011,1,,1,0,0,2864.48706054688
