"grappe","hhweight"
81,1398.4765625
35,1176.11865234375
80,2852.15380859375
52,1108.39526367188
73,19.1257438659668
83,2539.48071289063
22,644.208618164063
46,955.887756347656
37,2013.40258789063
66,3313.05078125
2,394.732330322266
11,795.477905273438
57,1377.49548339844
64,542.767822265625
63,2108.44409179688
41,679.322937011719
65,3994.83374023438
23,1948.75769042969
34,1271.08349609375
27,1095.87194824219
78,1250.02563476563
31,1130.42944335938
47,1785.056640625
43,4054.53295898438
13,1098.904296875
8,1757.43664550781
39,1412.33569335938
79,1155.06323242188
42,1018.66595458984
69,1185.40710449219
61,1140.55920410156
25,1381.12622070313
32,327.432037353516
58,477.932312011719
17,950.5810546875
24,722.70068359375
29,1575.2744140625
26,686.261291503906
72,21.1496315002441
5,1779.94506835938
74,977.756530761719
21,1803.54455566406
10,614.876342773438
48,1007.77807617188
82,1048.90222167969
20,1232.34924316406
40,1108.61413574219
49,315.594360351563
44,625.991394042969
16,1380.19079589844
77,1097.29736328125
4,964.937927246094
56,1020.38537597656
30,1093.87048339844
9,1237.15551757813
12,1022.32092285156
54,1452.27514648438
59,2496.66137695313
33,1223.78161621094
75,2171.23486328125
38,1283.31518554688
45,1979.66809082031
15,1385.79296875
18,620.533630371094
76,1324.02807617188
68,1611.42822265625
62,608.226501464844
60,1267.03149414063
36,1663.30444335938
3,754.3974609375
1,1155.59753417969
14,773.035400390625
50,1048.05603027344
70,2333.20629882813
84,2658.27563476563
71,26.7153244018555
28,1453.48852539063
55,1967.38525390625
6,1247.04833984375
53,1186.17602539063
51,818.374267578125
19,646.433837890625
67,2394.4169921875
7,2237.1787109375
99,419.810150146484
130,699.872131347656
114,237.768920898438
102,15.3322086334229
112,549.066345214844
123,548.6591796875
91,1097.05187988281
90,18.5777130126953
96,735.969116210938
119,19.9206790924072
120,35.5886306762695
117,1534.09313964844
97,433.177368164063
103,412.862152099609
101,711.12060546875
94,665.298889160156
111,457.085540771484
113,670.722229003906
109,608.943969726563
122,253.635635375977
110,193.794052124023
132,498.135406494141
128,435.964660644531
134,141.218200683594
108,765.803100585938
131,349.829895019531
88,411.616027832031
127,962.772644042969
89,675.331298828125
129,724.092346191406
126,710.6083984375
100,416.635711669922
125,1062.70910644531
106,723.971618652344
107,468.092437744141
133,533.814514160156
86,284.848297119141
98,406.277557373047
95,554.122680664063
104,264.491821289063
116,849.384460449219
118,8.72928619384766
115,605.27001953125
121,114.956260681152
85,799.545959472656
124,450.891876220703
93,1216.28625488281
105,677.533813476563
92,781.310363769531
87,11.639048576355
163,411.648986816406
156,114.615341186523
141,143.149719238281
155,347.980407714844
164,531.977172851563
149,422.610412597656
171,182.815719604492
170,395.14306640625
168,337.444183349609
142,522.598205566406
160,461.377014160156
157,676.094787597656
158,393.6572265625
137,488.849060058594
140,287.770874023438
136,337.953430175781
152,388.828826904297
161,412.625579833984
151,493.77001953125
167,547.832824707031
135,446.446502685547
139,309.986022949219
148,413.313446044922
162,580.558410644531
172,88.5471038818359
