"sample_id","dry_matter_g_100g","date","location","type","total_length_mm","mass_g","local_name","latin_name","nutrient","value","unit"
"T_002_W","20.2","20-01-2022","Kisumu","Wild","314","630","tilapia","Oreochromis niloticus","protein",18,"g_100g"
"T_002_W","20.2","20-01-2022","Kisumu","Wild","314","630","tilapia","Oreochromis niloticus","iodine",68,"mug_100g"
"T_002_W","20.2","20-01-2022","Kisumu","Wild","314","630","tilapia","Oreochromis niloticus","folate",6.2,"mug_100g"
"T_002_W","20.2","20-01-2022","Kisumu","Wild","314","630","tilapia","Oreochromis niloticus","vitamin_b12",0.33,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","vanadium", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","chromium", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","manganese",0.0087,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","iron",0.13,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","copper",0.0093,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","zinc",0.25,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","arsenic",5e-04,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","selenium",12,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","mercury",0.0016,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","calcium",9.2,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","sodium",36,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","potassium",400,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","magnesium",27,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","phosphorus",180,"mg_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","vitamin_d3",46,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","vitamin_a1",0.9,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","vitamin_a2", ,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","protein",20,"g_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","iodine",77,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","folate",8,"mug_100g"
"T_003_W","21.1","20-01-2022","Kisumu","Wild","334","720","tilapia","Oreochromis niloticus","vitamin_b12",0.37,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","vanadium",2e-04,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","chromium",0.0015,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","manganese",0.015,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","iron",0.14,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","copper",0.0087,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","zinc",0.26,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","arsenic",4e-04,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","selenium",9.8,"mug_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_004_W","20.3","20-01-2022","Kisumu","Wild","325","630","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
