"sample_id","dry_matter_g_100g","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","mercury",8e-04,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","lead",5e-04,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","iodine",14,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","calcium",830,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","sodium",41,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","potassium",170,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","magnesium",34,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","phosphorus",530,"mg_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","folate",19,"mug_100g"
"K_002_W","20.8","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Omena","Rastrineobola argenteus","vitamin_b12",12,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_d3",7,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_a1",170,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_a2",36,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","protein",16.4,"g_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vanadium",0.0053,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","chromium",0.0031,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","manganese",0.33,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","iron",2.5,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","cobalt",0.0016,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","nickel", ,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","copper",0.056,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","zinc",3.5,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","arsenic",0.0046,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","selenium",21,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","molybdenum",0.003,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","silver", ,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","cadmium",3e-04,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","mercury",0.001,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","lead", ,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","iodine",13,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","calcium",1400,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","sodium",75,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","potassium",280,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","magnesium",42,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","phosphorus",800,"mg_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","folate",22,"mug_100g"
"K_003_W","24.9","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_b12",8,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","vitamin_d3",34,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","vitamin_a1",200,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","vitamin_a2",23,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","protein",21,"g_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","vanadium",0.0013,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","chromium",9e-04,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","manganese",0.079,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","iron",3.1,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","cobalt",8e-04,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","nickel", ,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","copper",0.2,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","zinc",1.8,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","arsenic",0.12,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","selenium",77,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","molybdenum", ,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","silver",0.0027,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","cadmium",0.0042,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","mercury",0.0016,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","lead", ,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","iodine",66,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","calcium",740,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","sodium",160,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","potassium",390,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","magnesium",46,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","phosphorus",610,"mg_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","folate",82,"mug_100g"
"A_001_W","26.2","31-01-2022","Accra","Fresh","0","Accra","Tuna fingerling","","vitamin_b12",12,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","vitamin_d3",13,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","vitamin_a1",200,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","vitamin_a2",18,"mug_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","protein",21,"g_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","vanadium",0.0021,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","chromium",0.0017,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","manganese",0.098,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","iron",2.4,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","cobalt",0.0019,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","nickel", ,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","copper",0.11,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","zinc",1.5,"mg_100g"
"A_002_W","28.5","31-01-2022","Accra","Fresh","0","Accra","Horse mackerel","Trachurus sp.","arsenic",0.18,"mg_100g"
