"region","item_name","item_code","unit_name","Otherunit","unit_code","factor","source"
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"OTHER (SPECIFY)","BASIN","23",3.40000009536743,4
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"OTHER (SPECIFY)","BASIN","23",3.40000009536743,4
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"OTHER (SPECIFY)","BASIN","23",3.40000009536743,4
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"OTHER (SPECIFY)","CUP","23",0.444999992847443,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"OTHER (SPECIFY)","3LITRE BUCKET","23",2.32800006866455,2
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"TINA ",,"25",0.323000013828278,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"TINA ",,"25",0.245000004768372,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"TINA ",,"25",0.300000011920929,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"5 LITRE BUCKET(Chigoba)",,"26",3.88000011444092,2
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"5 LITRE BUCKET(Chigoba)",,"26",3.88000011444092,2
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"5 LITRE BUCKET(Chigoba)",,"26",3.88000011444092,2
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL",,"4",1.93333327770233,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL",,"4",5.13224983215332,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL",,"4",5.14900016784668,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL SMALL",,"4A",3.66149997711182,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL SMALL",,"4A",3.94000005722046,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL SMALL",,"4A",4,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL MEDIUM",,"4B",6.3604998588562,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL MEDIUM",,"4B",5.9850001335144,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL MEDIUM",,"4B",6.61699962615967,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL LARGE",,"4C",12.8999996185303,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL LARGE",,"4C",12.914999961853,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"PAIL LARGE",,"4C",13.5,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 10 PLATE ",,"6",0.0799999982118607,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 10 PLATE ",,"6",0.135000005364418,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 10 PLATE ",,"6",0.127499997615814,1
1,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 12 PLATE ",,"7",0.144999995827675,1
2,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 12 PLATE ",,"7",0.215000003576279,1
3,"MAIZE UFA MGAIWA (NORMAL FLOUR)",101,"NO. 12 PLATE ",,"7",0.231499999761581,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"OTHER (SPECIFY)","BASIN","23",3.40499997138977,4
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"OTHER (SPECIFY)","BASIN","23",3.40499997138977,4
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"OTHER (SPECIFY)","PIECE","23",0.129999995231628,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"OTHER (SPECIFY)","CUP","23",0.490000009536743,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"OTHER (SPECIFY)","BASIN","23",3.40499997138977,4
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"TINA ",,"25",0.287999987602234,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"TINA ",,"25",0.217500001192093,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"TINA ",,"25",0.324000000953674,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"5 LITRE BUCKET(Chigoba)",,"26",3.06599998474121,4
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"5 LITRE BUCKET(Chigoba)",,"26",3.06599998474121,4
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"5 LITRE BUCKET(Chigoba)",,"26",3.06599998474121,4
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL",,"4",1.83333337306976,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL",,"4",5.01550006866455,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL",,"4",3.1061999797821,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL SMALL",,"4A",3.46199989318848,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL SMALL",,"4A",3.50500011444092,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL SMALL",,"4A",4.30800008773804,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL MEDIUM",,"4B",7.71700000762939,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL MEDIUM",,"4B",5.22499990463257,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL MEDIUM",,"4B",7.11649990081787,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL LARGE",,"4C",12.9820003509521,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL LARGE",,"4C",10.8309993743896,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"PAIL LARGE",,"4C",15,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"No 10 PLATE",,"6",0.213815793395042,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"NO. 10 PLATE ",,"6",0.104999996721745,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"No 10 PLATE",,"6",0.167999997735024,1
1,"MAIZE UFA REFINED (FINE FLOUR)",102,"NO. 12 PLATE ",,"7",0.125,1
2,"MAIZE UFA REFINED (FINE FLOUR)",102,"NO. 12 PLATE ",,"7",0.143999993801117,1
3,"MAIZE UFA REFINED (FINE FLOUR)",102,"No 12 PLATE",,"7",0.266178578138351,1
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)",103,"OTHER (SPECIFY)","PAIL (SMALL)","23",2.28500008583069,2
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"TINA ",,"25",0.165999993681908,1
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"TINA ",,"25",0.198000013828278,1
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)",103,"5 LITRE BUCKET(Chigoba)",,"26",2.28500008583069,4
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)",103,"5 LITRE BUCKET(Chigoba)",,"26",2.28500008583069,4
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR - PROCESSED)",103,"5 LITRE BUCKET(Chigoba)",,"26",2.28500008583069,4
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL",,"4",1.63999998569489,4
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL",,"4",1.63999998569489,4
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL",,"4",1.63999998569489,4
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL SMALL",,"4A",1.63999998569489,1
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL SMALL",,"4A",3.27250003814697,1
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL SMALL",,"4A",3.2279999256134,1
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL MEDIUM",,"4B",11.3819999694824,1
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL MEDIUM",,"4B",4.80000019073486,1
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL MEDIUM",,"4B",5.82000017166138,1
1,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL LARGE",,"4C",17.6666660308838,1
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL LARGE",,"4C",9.8149995803833,1
3,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"PAIL LARGE",,"4C",10.3999996185303,1
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"NO. 10 PLATE ",,"6",0.0640000030398369,1
2,"MAIZE UFA PROCESSED MADEYA (BRAN FLOUR  PROCESSED)",103,"NO. 12 PLATE ",,"7",0.143999993801117,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","PIECE","23",0.129999995231628,2
2,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","COB","23",0.129999995231628,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","CUP","23",0.469999998807907,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","PIECE","23",0.129999995231628,2
3,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","PIECE","23",0.129999995231628,2
3,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","CUP","23",0.469999998807907,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"OTHER (SPECIFY)","COB","23",0.129999995231628,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"5 LITRE BUCKET (CHIGOBA) ",,"26",5.22399997711182,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"5 LITRE BUCKET (CHIGOBA) ",,"26",5.09999990463257,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"5 LITRE BUCKET (CHIGOBA) ",,"26",5.14649963378906,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"BASIN  SMALL",,"27A",4.13299989700317,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"BASIN  SMALL",,"27A",4,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"BASIN  SMALL",,"27A",4.19399976730347,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL",,"4",4.37874984741211,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL",,"4",4.47457122802734,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL",,"4",4.25966644287109,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL SMALL",,"4A",4.37200021743774,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL SMALL",,"4A",5.29374980926514,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL SMALL",,"4A",5.25,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL MEDIUM",,"4B",10.0419998168945,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL MEDIUM",,"4B",8.08500003814697,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL MEDIUM",,"4B",8.93899917602539,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL LARGE",,"4C",18.6870002746582,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL LARGE",,"4C",16.75,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"PAIL LARGE",,"4C",18,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 10 PLATE ",,"6",0.119999997317791,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 10 PLATE ",,"6",0.115000002086163,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 10 PLATE ",,"6",0.118000000715256,1
1,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 12 PLATE ",,"7",0.21000000834465,1
2,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 12 PLATE ",,"7",0.25,1
3,"MAIZE GRAIN (NOT AS UFA)",104,"NO. 12 PLATE ",,"7",0.287500023841858,1
1,"GREEN MAIZE",105,"PAIL",,"4",3.88000011444092,4
2,"GREEN MAIZE",105,"PAIL",,"4",3.88000011444092,4
3,"GREEN MAIZE",105,"PAIL",,"4",3.88000011444092,4
1,"GREEN MAIZE",105,"PIECE",,"9",0.382727265357971,1
2,"GREEN MAIZE",105,"PIECE",,"9",0.334380954504013,1
3,"GREEN MAIZE",105,"PIECE",,"9",0.336800009012222,1
1,"GREEN MAIZE",105,"PIECE SMALL",,"9A",0.28600001335144,1
2,"GREEN MAIZE",105,"PIECE SMALL",,"9A",0.310000002384186,1
3,"GREEN MAIZE",105,"PIECE SMALL",,"9A",0.275000005960464,1
1,"GREEN MAIZE",105,"PIECE MEDIUM",,"9B",0.333000004291534,1
2,"GREEN MAIZE",105,"PIECE MEDIUM",,"9B",0.360000014305115,1
3,"GREEN MAIZE",105,"PIECE MEDIUM",,"9B",0.317999988794327,1
1,"GREEN MAIZE",105,"PIECE LARGE",,"9C",0.392699986696243,1
2,"GREEN MAIZE",105,"PIECE LARGE",,"9C",0.432000011205673,1
3,"GREEN MAIZE",105,"PIECE LARGE",,"9C",0.869157910346985,1
1,"RICE",106,"OTHER (SPECIFY)","BASIN","23",3.46000003814697,1
2,"RICE",106,"OTHER (SPECIFY)","CUP","23",0.560000002384186,1
3,"RICE",106,"OTHER (SPECIFY)","CUP","23",0.560000002384186,1
3,"RICE",106,"OTHER (SPECIFY)","BASIN","23",3.46000003814697,1
1,"RICE UNSPECIFIED",106,"TINA ",,"25",0.32600000500679,1
