"speccode","species","fbname"
268,"Abramis brama","Freshwater bream"
8245,"Abudefduf troschelii","Panamic sergeant major"
12103,"Acanthodoras spinosissimus","Talking catfish"
54894,"Acanthodraco dewitti", 
7633,"Acantholabrus palloni","Scale-rayed wrasse"
14601,"Acanthopagrus butcheri","Black bream"
2504,"Acipenser naccarii","Adriatic sturgeon"
6085,"Acipenser schrenckii","Amur sturgeon"
23291,"Acromycter nezumi", 
644,"Aculeola nigra","Hooktooth dogfish"
7850,"Aesopia cornuta","Unicorn sole"
1250,"Aetobatus narinari","Whitespotted eagle ray"
12600,"Aetobatus ocellatus","Ocellated eagle ray"
10120,"Aetomylaeus nichofii","Banded eagle ray"
47969,"Ageneiosus inermis","Manduba"
53698,"Ageneiosus militaris", 
 ,"Agonostomus monticola", 
13334,"Ailia coila","Gangetic ailia"
58326,"Albula argentea","Longjaw bonefish"
7334,"Albula nemoptera","Threadfin bonefish"
9635,"Alburnus tarichi","Tarek"
1890,"Alepes melanoptera","Blackfin scad"
2405,"Alestes baremoze","Silversides"
5229,"Alestes dentex","Characin"
5230,"Alestes macrophthalmus","Torpedo robber"
50225,"Algansea popoche","Popoche chub"
5891,"Alopias pelagicus","Pelagic thresher"
8728,"Alphestes multiguttatus","Rivulated mutton hamlet"
13152,"Amblyeleotris diagonalis","Diagonal shrimp goby"
1499,"Amblygaster clupeoides","Bleeker smoothbelly sardinella"
1500,"Amblygaster leiogaster","Smoothbelly sardinella"
24301,"Amblypharyngodon mola","Mola carplet"
13209,"Amblyraja badia","Broad skate"
54121,"Amblyraja frerichsi","Thickbody skate"
2565,"Amblyraja radiata","Starry ray"
47425,"Ambophthalmos angustus","Pale toadfish"
3018,"Ameiurus catus","White catfish"
291,"Ameiurus melas","Black bullhead"
38,"Ammodytes tobianus","Small sandeel"
957,"Amphiarius rugispinis","Softhead sea catfish"
495,"Anabas testudineus","Climbing perch"
3287,"Anarchopterus criniger","Fringed pipefish"
1680,"Anchoa argentivittata","Regan's anchovy"
1686,"Anchoa compressa","Deep body anchovy"
536,"Anchoa pectoralis","Bigfin anchovy"
543,"Anchovia clupeoides","Zabaleta anchovy"
544,"Anchovia macrolepidota","Bigscale anchovy"
1675,"Anchoviella lepidentostole","Broadband anchovy"
8225,"Ancylopsetta dendritica","Three-spot flounder"
16123,"Anematichthys repasson", 
1272,"Anguilla bengalensis","Indian mottled eel"
1274,"Anguilla bicolor","Indonesian shortfin eel"
295,"Anguilla japonica","Japanese eel"
296,"Anguilla rostrata","American eel"
23774,"Anisarchus macrops", 
3568,"Anisotremus davidsonii","Xantic sargo"
51222,"Anodus elongatus", 
3258,"Antigonia capros","Deepbody boarfish"
13535,"Apocryptes bato", 
1693,"Apogon imberbis","Cardinal fish"
776,"Apristurus nasutus","Largenose catshark"
780,"Apristurus riveri","Broadgill catshark"
85,"Apsilus dentatus","Black snapper"
54808,"Arabibarbus grypus","Shabout"
2076,"Arapaima gigas","Arapaima"
4040,"Archistes biseriatus","Scaled sculpin"
13142,"Argentina elongata", 
10367,"Argyrosomus amoyensis","Amoy croaker"
17270,"Argyrosomus inodorus","Mild meagre"
11979,"Argyrosomus japonicus","Japanese meagre"
47414,"Arhynchobatis asperrimus","Longtail skate"
945,"Ariopsis assimilis","Mayan sea catfish"
13471,"Ariopsis guatemalensis","Blue sea catfish"
 ,"Arius gigas", 
 ,"Arius latiscutatus", 
42,"Arnoglossus imperialis","Imperial scaldfish"
1809,"Arnoglossus kessleri","Scaldback"
43,"Arnoglossus thori","Thor's scaldfish"
59315,"Artedidraco glareobarbatus", 
58410,"Aspistor luniscutis", 
3908,"Assurger anzac","Razorback scabbardfish"
3612,"Astronotus ocellatus","Oscar"
4305,"Atelomycterus marmoratus","Coral catshark"
1696,"Atherina boyeri","Big-scale sand smelt"
1697,"Atherina hepsetus","Mediterranean sand smelt"
3236,"Atherinopsis californiensis","Jack silverside"
1929,"Atropus atropos","Cleftbelly trevally"
5464,"Auchenoglanis biscutatus", 
2438,"Auchenoglanis occidentalis","Bubu"
60045,"Aulonocara gertrudae", 
47486,"Aulotrachichthys novaezelandicus","New Zealand roughy"
11799,"Awaous grammepomus","Scribbled goby"
12006,"Bagarius bagarius","Goonch"
23314,"Bagarius yarrelli", 
13481,"Bagre pinnimaculatus","Red sea catfish"
5462,"Bagrus bajad","Bayad"
6519,"Bagrus docmak","Semutundu"
4721,"Bagrus meridionalis","Kampoyo"
4931,"Balistes punctatus","Bluespotted triggerfish"
16830,"Barathronus maculatus","Spotted gelatinous cusk"
7993,"Barbichthys laevis","Sucker barb"
5180,"Barbodes binotatus","Spotted barb"
8171,"Barbonymus altus","Red tailed tinfoil"
17363,"Barbonymus balleroides", 
286,"Barbonymus gonionotus","Silver barb"
 ,"Barbonymus schwanenfeldii", 
4472,"Barbus barbus","Barbel"
25855,"Basilichthys australis", 
13295,"Batasio tengana", 
5045,"Bathygadus melanobranchus","Vaillant's grenadier"
8259,"Bathygobius ramosus","Panamic frillfin"
22679,"Bathylagus pacificus","Slender blacksmelt"
7673,"Bathymyrus smithi","Maputo conger"
2559,"Bathyraja interrupta","Sandpaper skate"
6950,"Bathyraja maccaini","McCain's skate"
54022,"Bathyraja schroederi","Whitemouth skate"
2571,"Bathyraja trachura","Roughtail skate"
22958,"Bathysauroides gigas","Pale deepsea lizardfish"
8840,"Bathysolea profundicola","Deepwater sole"
2572,"Bathytoshia centroura","Roughtail stingray"
4933,"Batrachoides liberiensis","Hairy toadfish"
969,"Batrachoides surinamensis","Pacuma toadfish"
14255,"Bellator loxias","Barred searobin"
 ,"Bembrops greyi", 
4934,"Bembrops heterurus","Squaretail duckbill"
8156,"Benitochromis batesii", 
 ,"Benthalbella macropinna", 
3909,"Benthodesmus elongatus","Elongate frostfish"
8546,"Benthodesmus macrophthalmus","Bigeye frostfish"
8563,"Benthodesmus tenuis","Slender frostfish"
16261,"Benthophiloides brauneri", 
47930,"Benthophilus baeri","Baer pugolovka"
