sample_unit,sample_id,interview_sheet,date,location,market,stall,type,days_processed,catch_source,local_name,latin_name,mean_total_length_mm,mass_g,sample_mass_inbag_g,bag_mass_g,sample_mass_g,number_fish
A_001,A_001_W,dried_008,31/01/2022,Accra,Tema,1,Fresh,0,Accra,Tuna fingerling,,204.2857143,,558,3,555,7
A_002,A_002_W,dried_008,31/01/2022,Accra,Tema,1,Fresh,0,Accra,Horse mackerel,Trachurus sp.,149.8461538,,503,3,500,13
A_003,A_003_W,dried_008,31/01/2022,Accra,Tema,1,Fresh,0,Accra,Herring,Sardinella maderensis,214.4285714,,566,3,563,7
A_004,A_004_W,dried_009,31/01/2022,Accra,Tema,2,Fresh,0,Accra,Anchovy,Engraulis encrasicolus,79.4,,666,3,663,
A_005,A_005_A,dried_009,31/01/2022,Accra,Tema,2,Sun-dried,2,Accra,Anchovy,Engraulis encrasicolus,57.6,,157,3,154,
A_005,A_005_B,dried_009,31/01/2022,Accra,Tema,2,Sun-dried,2,Accra,Anchovy,Engraulis encrasicolus,57.6,,178,3,175,
A_005,A_005_C,dried_009,31/01/2022,Accra,Tema,2,Sun-dried,2,Accra,Anchovy,Engraulis encrasicolus,57.6,,149,3,146,
A_005,A_005_W,NA,31/01/2022,Accra,Tema,3,"Fresh, gutted",0,Accra,Mackerel,Scomberomorus tritor,315,,341,3,338,1
A_006,A_006_W,NA,31/01/2022,Accra,Tema,3,"Fresh, gutted",0,Accra,Mackerel,Scomberomorus tritor,295,,228,3,225,1
A_007,A_007_W,NA,31/01/2022,Accra,Tema,3,"Fresh, gutted",0,Accra,Mackerel,Scomberomorus tritor,285,,231,3,228,1
A_008,A_008_W,dried_009,31/01/2022,Accra,Tema,2,"Fresh, gutted",0,Accra,Flying fish,Cheilopogon melanurus,251.8,,574,3,571,5
A_009,A_009_A,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Tuna fingerling,,150.4,,203,5,198,9
A_009,A_009_B,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Tuna fingerling,,150.4,,248,5,243,12
A_009,A_009_C,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Tuna fingerling,,150.4,,228,5,223,11
A_010,A_010_A,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Herring,Sardinella maderensis,164.5,,203,5,198,6
A_010,A_010_B,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Herring,Sardinella maderensis,164.5,,214,5,209,6
A_010,A_010_C,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Herring,Sardinella maderensis,164.5,,274,5,269,7
A_011,A_011_A,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Horse mackerel,Trachurus sp.,130.2,,158,5,153,12
A_011,A_011_B,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Horse mackerel,Trachurus sp.,130.2,,161,5,156,11
A_011,A_011_C,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Horse mackerel,Trachurus sp.,130.2,,137,5,132,10
A_012,A_012_A,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Flying fish,Cheilopogon melanurus,Curled,,140,3,137,4
A_012,A_012_B,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Flying fish,Cheilopogon melanurus,Curled,,139,3,136,4
A_013,A_013,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Mackerel,Scomberomorus tritor,226,,182,3,179,1
A_014,A_014,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Mackerel,Scomberomorus tritor,230,,190,3,187,1
A_015,A_015,dried_009,01/02/2022,Accra,Tema,,Smoked,1,Accra,Mackerel,Scomberomorus tritor,226,,155,3,152,1
