sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
acipenser transmontanus,white sturgeon,acipenser,acipenserinae,acipenseridae,acipenseriformes,actinopterygii,osteichthyes,chordata,animalia,"Sturgeons, paddlefishes"
acipenseridae,sturgeons nei,NA,NA,acipenseridae,acipenseriformes,actinopterygii,osteichthyes,chordata,animalia,"Sturgeons, paddlefishes"
actinopteri,ray-finned fish,NA,NA,NA,NA,NA,NA,NA,NA,Multiple ISSCAAP groups
actinopterygii,ray-finned fishes,NA,NA,NA,NA,actinopterygii,NA,chordata,animalia,Multiple ISSCAAP groups
actinopyga mauritiana,surf redfish,actinopyga,NA,holothuriidae,holothuriida,holothuroidea,NA,echinodermata,animalia,NA
aequipecten opercularis,queen scallop,aequipecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
aequipecten tehuelchus,tehuelche scallop,aequipecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
aethaloperca rogaa,redmouth grouper,aethaloperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
aethotaxis mitopteryx,longfin icedevil,aethotaxis,pleuragrammatinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
aetobatus narinari,spotted eagle ray,aetobatus,NA,aetobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
aetomylaeus bovinus,bull ray,aetomylaeus,NA,myliobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
aetomylaeus maculatus,mottled eagle ray,aetomylaeus,NA,myliobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
aetomylaeus nichofii,banded eagle ray,aetomylaeus,NA,myliobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
ageneiosus inermis,manduba,ageneiosus,auchenipterinae,auchenipteridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
agonus cataphractus,hooknose,agonus,agoninae,agonidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
agrostichthys parkeri,streamer fish,agrostichthys,NA,regalecidae,lampriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
albula vulpes,bonefish,albula,albulinae,albulidae,albuliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
albulidae,bonefishes nei,NA,NA,albulidae,albuliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
alburnus alburnus,bleak,alburnus,leuciscinae,leuciscidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
