sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
apsilus dentatus,black snapper,apsilus,apsilinae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
apsilus fuscus,african forktail snapper,apsilus,apsilinae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
arapaima gigas,arapaima,arapaima,herorotidinae,osteoglossidae,osteoglossiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
arbacia lixula,black sea urchin,arbacia,NA,arbaciidae,arbacioida,echinoidea,NA,echinodermata,animalia,Sea-urchins and other echinoderms
arca,ark clams nei,arca,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
arca noae,noah's ark,arca,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
arca zebra,turkey wing,arca,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,NA
archaeogastropoda,"abalones, winkles",NA,NA,NA,archaeogastropoda,gastropoda,NA,mollusca,animalia,NA
archosargus probatocephalus,sheepshead,archosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
archosargus rhomboidalis,western atlantic seabream,archosargus,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
arcidae,ark clams,NA,NA,arcidae,arcida,bivalvia,NA,mollusca,animalia,NA
arctica islandica,ocean quahog,arctica,NA,arcticidae,venerida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
arctoscopus japonicus,japanese sandfish,arctoscopus,NA,trichodontidae,perciformes/uranoscopoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
arctozenus risso,spotted barracudina,arctozenus,NA,paralepididae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argentina,argentines,argentina,NA,argentinidae,argentiniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argentina elongata,,argentina,NA,argentinidae,argentiniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argentina silus,greater argentine,argentina,NA,argentinidae,argentiniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argentina sphyraena,argentine,argentina,NA,argentinidae,argentiniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argentinidae,argentines nei,NA,NA,argentinidae,argentiniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
argopecten gibbus,calico scallop,argopecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
argopecten irradians,atlantic bay scallop,argopecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
argopecten purpuratus,peruvian calico scallop,argopecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
argopecten ventricosus,pacific calico scallop,argopecten,NA,pectinidae,pectinida,bivalvia,NA,mollusca,animalia,"Scallops, pectens"
argyrops spinifer,king soldier bream,argyrops,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
argyrosomus heinii,arabian sea meagre,argyrosomus,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
argyrosomus hololepidotus,southern meagre(=mulloway),argyrosomus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
argyrosomus japonicus,japanese meagre,argyrosomus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
argyrosomus regius,meagre,argyrosomus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
argyrosomus thorpei,squaretail kob,argyrosomus,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
argyrozona argyrozona,carpenter seabream,argyrozona,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
ariidae,sea catfishes nei,NA,NA,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
ariomma bondi,silver-rag driftfish,ariomma,NA,ariommatidae,scombriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
